gene	tissue	rsq	pval	chr
ENSG00000097096.8	Adipose_Visceral_Omentum	0.0461528252623054	2.66599476283037e-06	1
ENSG00000116981.3	Adipose_Visceral_Omentum	0.0889584310341585	4.32123187456224e-11	1
ENSG00000117091.9	Adipose_Visceral_Omentum	0.129473960490748	8.78986481431819e-16	1
ENSG00000117614.9	Adipose_Visceral_Omentum	0.0496677562752433	1.08825530208549e-06	1
ENSG00000122435.9	Adipose_Visceral_Omentum	0.0371694556646742	2.62725998934951e-05	1
ENSG00000134253.9	Adipose_Visceral_Omentum	0.174012027444744	3.59611844645345e-21	1
ENSG00000143520.6	Adipose_Visceral_Omentum	0.321661052585558	2.84600279351445e-41	1
ENSG00000158292.6	Adipose_Visceral_Omentum	0.0376768424537404	2.30873633651335e-05	1
ENSG00000160803.7	Adipose_Visceral_Omentum	0.109409545105717	1.95032088204565e-13	1
ENSG00000186603.5	Adipose_Visceral_Omentum	0.135149703791704	1.86901976232346e-16	1
ENSG00000188060.7	Adipose_Visceral_Omentum	0.293002604162791	4.68237831505151e-37	1
ENSG00000189280.3	Adipose_Visceral_Omentum	0.169437595181865	1.32294651645022e-20	1
ENSG00000214114.8	Adipose_Visceral_Omentum	0.229758564349056	2.5747694025471e-28	1
ENSG00000272482.1	Adipose_Visceral_Omentum	0.118106994512232	1.9004820578896e-14	1
ENSG00000272645.3	Adipose_Visceral_Omentum	0.381871622533552	9.80565083901406e-51	1
ENSG00000007968.6	Adipose_Visceral_Omentum	0.297983200769407	8.91129218890311e-38	1
ENSG00000023572.8	Adipose_Visceral_Omentum	0.0409618472278782	1.00012799624624e-05	1
ENSG00000023909.9	Adipose_Visceral_Omentum	0.24273416772826	4.74387925341621e-30	1
ENSG00000027644.4	Adipose_Visceral_Omentum	0.0887443761107122	4.57016159141771e-11	1
ENSG00000035687.9	Adipose_Visceral_Omentum	0.0802014314661791	4.23808965124025e-10	1
ENSG00000049249.8	Adipose_Visceral_Omentum	0.0613748274919062	5.45530176203588e-08	1
ENSG00000053372.4	Adipose_Visceral_Omentum	0.223154993462535	1.91715434285702e-27	1
ENSG00000057468.6	Adipose_Visceral_Omentum	0.507295897538155	8.55847395924023e-74	1
ENSG00000059588.9	Adipose_Visceral_Omentum	0.180201174123206	6.10530573555302e-22	1
ENSG00000066557.5	Adipose_Visceral_Omentum	0.148203882438152	5.1265616436138e-18	1
ENSG00000067533.5	Adipose_Visceral_Omentum	0.2849607412499	6.65873636543393e-36	1
ENSG00000067704.9	Adipose_Visceral_Omentum	0.0734395723946426	2.44408298685597e-09	1
ENSG00000073754.5	Adipose_Visceral_Omentum	0.29469644099556	2.66677580452844e-37	1
ENSG00000076258.9	Adipose_Visceral_Omentum	0.174529505196253	3.10207872609429e-21	1
ENSG00000076356.6	Adipose_Visceral_Omentum	0.0687733910626615	8.14751111862173e-09	1
ENSG00000077152.9	Adipose_Visceral_Omentum	0.265128662459226	4.10328252073464e-33	1
ENSG00000090432.6	Adipose_Visceral_Omentum	0.435496504671125	5.76134631887708e-60	1
ENSG00000116273.5	Adipose_Visceral_Omentum	0.0345951178863642	5.06278998852626e-05	1
ENSG00000116652.6	Adipose_Visceral_Omentum	0.0752545252861692	1.5284524347327e-09	1
ENSG00000116661.9	Adipose_Visceral_Omentum	0.280112221188425	3.25361282075554e-35	1
ENSG00000116704.7	Adipose_Visceral_Omentum	0.0564793722212308	1.91101623227288e-07	1
ENSG00000116711.9	Adipose_Visceral_Omentum	0.0897101866456951	3.54933561830292e-11	1
ENSG00000116741.7	Adipose_Visceral_Omentum	0.0699505179634519	6.01551450284132e-09	1
ENSG00000116752.5	Adipose_Visceral_Omentum	0.0639911816735777	2.78758853329379e-08	1
ENSG00000116819.6	Adipose_Visceral_Omentum	0.153695654230687	1.11228160788942e-18	1
ENSG00000116824.4	Adipose_Visceral_Omentum	0.13930129908505	5.98782949852734e-17	1
ENSG00000116954.7	Adipose_Visceral_Omentum	0.215597021192964	1.86996106181682e-26	1
ENSG00000117016.9	Adipose_Visceral_Omentum	0.274068306922868	2.31664721506401e-34	1
ENSG00000117472.9	Adipose_Visceral_Omentum	0.176848904499269	1.59777923840172e-21	1
ENSG00000117592.8	Adipose_Visceral_Omentum	0.059645340567094	8.49818513224553e-08	1
ENSG00000117593.9	Adipose_Visceral_Omentum	0.159557541678441	2.15504617486335e-19	1
ENSG00000117594.9	Adipose_Visceral_Omentum	0.123208587988128	4.80456431708714e-15	1
ENSG00000117748.9	Adipose_Visceral_Omentum	0.556231742362635	2.01681600290729e-84	1
ENSG00000118217.5	Adipose_Visceral_Omentum	0.12017428411588	1.08949966572994e-14	1
ENSG00000118292.8	Adipose_Visceral_Omentum	0.157114658230038	4.27614136797796e-19	1
ENSG00000118655.4	Adipose_Visceral_Omentum	0.0593092513109894	9.2622088011992e-08	1
ENSG00000120333.4	Adipose_Visceral_Omentum	0.108157994078084	2.72221718277422e-13	1
ENSG00000120337.8	Adipose_Visceral_Omentum	0.158787143267059	2.6754359170269e-19	1
ENSG00000121454.5	Adipose_Visceral_Omentum	0.0620471577977516	4.59125365407056e-08	1
ENSG00000121769.7	Adipose_Visceral_Omentum	0.140420748861446	4.40150771861224e-17	1
ENSG00000122420.9	Adipose_Visceral_Omentum	0.316515651790689	1.67492852789932e-40	1
ENSG00000122484.8	Adipose_Visceral_Omentum	0.16821524577228	1.87158739732098e-20	1
ENSG00000123091.4	Adipose_Visceral_Omentum	0.139829596512951	5.17854565373115e-17	1
ENSG00000123689.5	Adipose_Visceral_Omentum	0.0812329471018591	3.24144158492476e-10	1
ENSG00000130764.9	Adipose_Visceral_Omentum	0.247223738932676	1.17278868512458e-30	1
ENSG00000130766.4	Adipose_Visceral_Omentum	0.231863781242434	1.35284132546605e-28	1
ENSG00000131791.7	Adipose_Visceral_Omentum	0.10922189221422	2.05036129508244e-13	1
ENSG00000132718.8	Adipose_Visceral_Omentum	0.143693936977725	1.78587901019979e-17	1
ENSG00000134198.9	Adipose_Visceral_Omentum	0.285775918702002	5.09454166699871e-36	1
ENSG00000134259.3	Adipose_Visceral_Omentum	0.126531790100377	1.95422400182744e-15	1
ENSG00000135744.7	Adipose_Visceral_Omentum	0.0844645962909172	1.39746569754557e-10	1
ENSG00000135845.9	Adipose_Visceral_Omentum	0.249270279584159	6.18573092632257e-31	1
ENSG00000135862.5	Adipose_Visceral_Omentum	0.230581293723999	2.00262664697355e-28	1
ENSG00000142615.7	Adipose_Visceral_Omentum	0.0424484413544912	6.84933765042315e-06	1
ENSG00000142686.7	Adipose_Visceral_Omentum	0.156809124918859	4.6581771010161e-19	1
ENSG00000142694.6	Adipose_Visceral_Omentum	0.116631678102259	2.82490776693235e-14	1
ENSG00000143001.4	Adipose_Visceral_Omentum	0.10032171390942	2.17660647448841e-12	1
ENSG00000143028.8	Adipose_Visceral_Omentum	0.234034361454731	6.95501626919032e-29	1
ENSG00000143125.5	Adipose_Visceral_Omentum	0.246766505166052	1.35266750035185e-30	1
ENSG00000143162.7	Adipose_Visceral_Omentum	0.394472085730742	7.86972010286254e-53	1
ENSG00000143184.4	Adipose_Visceral_Omentum	0.138818894165329	6.83631655586715e-17	1
ENSG00000143196.4	Adipose_Visceral_Omentum	0.0556666685356024	2.35243033018283e-07	1
ENSG00000143256.4	Adipose_Visceral_Omentum	0.0575862503792071	1.43974534932326e-07	1
ENSG00000143315.6	Adipose_Visceral_Omentum	0.09780635899441	4.22863975080854e-12	1
ENSG00000143320.8	Adipose_Visceral_Omentum	0.0380870350065849	2.07970170280715e-05	1
ENSG00000143333.6	Adipose_Visceral_Omentum	0.27285482562949	3.42911855652446e-34	1
ENSG00000143340.6	Adipose_Visceral_Omentum	0.0676073521729969	1.10010119339618e-08	1
ENSG00000143368.9	Adipose_Visceral_Omentum	0.0467407359794936	2.29508134240217e-06	1
ENSG00000143536.7	Adipose_Visceral_Omentum	0.0299176551702839	0.000167041833361766	1
ENSG00000143545.8	Adipose_Visceral_Omentum	0.0991108141228905	2.99715430536563e-12	1
ENSG00000143630.9	Adipose_Visceral_Omentum	0.0747279340891317	1.75157715256968e-09	1
ENSG00000143653.9	Adipose_Visceral_Omentum	0.326768775807913	4.83497096624547e-42	1
ENSG00000143751.9	Adipose_Visceral_Omentum	0.124694105724139	3.21497497940998e-15	1
ENSG00000143786.7	Adipose_Visceral_Omentum	0.0741858550569143	2.01522242845829e-09	1
ENSG00000143862.7	Adipose_Visceral_Omentum	0.211493202815135	6.38388202507176e-26	1
ENSG00000150681.9	Adipose_Visceral_Omentum	0.172216211233108	6.00163271792861e-21	1
ENSG00000152078.9	Adipose_Visceral_Omentum	0.218348093358475	8.18176737002616e-27	1
ENSG00000152760.9	Adipose_Visceral_Omentum	0.245410273789178	2.0643951421842e-30	1
ENSG00000154309.8	Adipose_Visceral_Omentum	0.10563912502392	5.31934740524327e-13	1
ENSG00000156876.9	Adipose_Visceral_Omentum	0.180530821856998	5.55308632637178e-22	1
ENSG00000157911.9	Adipose_Visceral_Omentum	0.0890428467570333	4.22682070593903e-11	1
ENSG00000158008.9	Adipose_Visceral_Omentum	0.111326835363746	1.16928222858947e-13	1
ENSG00000158156.7	Adipose_Visceral_Omentum	0.0862585389373741	8.75155313530642e-11	1
ENSG00000158246.7	Adipose_Visceral_Omentum	0.115902339482769	3.4356680855375e-14	1
ENSG00000158615.8	Adipose_Visceral_Omentum	0.0253451172759149	0.000538916908017506	1
ENSG00000158825.5	Adipose_Visceral_Omentum	0.385789236843312	2.21070204754386e-51	1
ENSG00000158828.7	Adipose_Visceral_Omentum	0.0348820907248069	4.70566853408617e-05	1
ENSG00000158859.9	Adipose_Visceral_Omentum	0.0312986898178008	0.000117383256527678	1
ENSG00000159164.9	Adipose_Visceral_Omentum	0.107179785671346	3.53175676792383e-13	1
ENSG00000159596.6	Adipose_Visceral_Omentum	0.109555340161186	1.87596562054028e-13	1
ENSG00000160716.5	Adipose_Visceral_Omentum	0.216556190034096	1.40219873114162e-26	1
ENSG00000162366.7	Adipose_Visceral_Omentum	0.15277837552047	1.43659078179589e-18	1
