gene	tissue	rsq	pval	chr
ENSG00000116981.3	Adrenal_Gland	0.18483284567381	6.72045083441752e-12	1
ENSG00000132855.4	Adrenal_Gland	0.0714674390631781	3.56156514712447e-05	1
ENSG00000134253.9	Adrenal_Gland	0.0928779451447516	2.13541435547228e-06	1
ENSG00000158292.6	Adrenal_Gland	0.21387914543183	9.4840549889185e-14	1
ENSG00000160803.7	Adrenal_Gland	0.0616029248099055	0.000129031714122755	1
ENSG00000163191.5	Adrenal_Gland	0.379717946604139	9.35393312945415e-26	1
ENSG00000171517.5	Adrenal_Gland	0.0866473408724559	4.86085685369763e-06	1
ENSG00000172339.9	Adrenal_Gland	0.229316102414638	9.28117165429946e-15	1
ENSG00000186603.5	Adrenal_Gland	0.109617969097114	2.30029112427901e-07	1
ENSG00000188783.5	Adrenal_Gland	0.167894446653308	7.56759760269324e-11	1
ENSG00000189280.3	Adrenal_Gland	0.193495292917225	1.91414519753936e-12	1
ENSG00000197769.5	Adrenal_Gland	0.0963110540655635	1.35519510502949e-06	1
ENSG00000203786.6	Adrenal_Gland	0.350483869513053	1.98645857446851e-23	1
ENSG00000228127.2	Adrenal_Gland	0.119080146075036	6.44251355219574e-08	1
ENSG00000233008.5	Adrenal_Gland	0.347486606378588	3.39501245945651e-23	1
ENSG00000233775.1	Adrenal_Gland	0.195418106247705	1.44604500861332e-12	1
ENSG00000235021.1	Adrenal_Gland	0.268061179558993	2.22553686000797e-17	1
ENSG00000235919.4	Adrenal_Gland	0.0641313922115156	9.28006543275915e-05	1
ENSG00000260360.1	Adrenal_Gland	0.284533969954775	1.5597709536992e-18	1
ENSG00000272645.3	Adrenal_Gland	0.390540154193082	1.20816964564073e-26	1
ENSG00000007968.6	Adrenal_Gland	0.0480777512782204	0.000751517856515232	1
ENSG00000027644.4	Adrenal_Gland	0.0842377678836634	6.67554915786489e-06	1
ENSG00000035687.9	Adrenal_Gland	0.278862529625786	3.92067473236905e-18	1
ENSG00000053372.4	Adrenal_Gland	0.405593724917614	6.60023091268714e-28	1
ENSG00000057468.6	Adrenal_Gland	0.272997298529288	1.00963686569804e-17	1
ENSG00000067533.5	Adrenal_Gland	0.347856365721822	3.17821410818109e-23	1
