gene	tissue	rsq	pval	chr
ENSG00000008118.9	Artery_Aorta	0.0665804872768528	2.64566273597552e-07	1
ENSG00000132854.18	Artery_Aorta	0.185096411387471	7.21721869548674e-19	1
ENSG00000132855.4	Artery_Aorta	0.145261271418335	7.93246841832059e-15	1
ENSG00000132879.13	Artery_Aorta	0.397025401886532	3.27635715640819e-44	1
ENSG00000132881.11	Artery_Aorta	0.269651901568192	4.16911516743071e-28	1
ENSG00000132906.17	Artery_Aorta	0.0982555335640193	2.86132675918454e-10	1
ENSG00000133048.12	Artery_Aorta	0.0790778361768795	1.82222600291667e-08	1
ENSG00000133056.13	Artery_Aorta	0.0657124847254744	3.18346523347019e-07	1
ENSG00000133059.16	Artery_Aorta	0.285835466830367	5.42347946299806e-30	1
ENSG00000133063.15	Artery_Aorta	0.0623482761162707	6.51661750855565e-07	1
ENSG00000133065.10	Artery_Aorta	0.225189569532932	3.97191499216255e-23	1
ENSG00000133067.17	Artery_Aorta	0.271773147196485	2.37249410695011e-28	1
ENSG00000133069.15	Artery_Aorta	0.450073642076017	6.15954268194992e-52	1
ENSG00000133216.16	Artery_Aorta	0.05819510370388	1.57539819518509e-06	1
ENSG00000133226.16	Artery_Aorta	0.0753817500447247	4.02948264863457e-08	1
ENSG00000134184.12	Artery_Aorta	0.577508620976476	4.98044005155131e-74	1
ENSG00000134186.11	Artery_Aorta	0.0997430621792272	2.06744342714583e-10	1
ENSG00000134201.10	Artery_Aorta	0.565359960441613	1.17999446136985e-71	1
ENSG00000134202.10	Artery_Aorta	0.689516427154883	8.06468249424019e-100	1
ENSG00000134207.14	Artery_Aorta	0.0566854626595065	2.1705400143208e-06	1
ENSG00000134215.15	Artery_Aorta	0.26934112938559	4.5274706571124e-28	1
ENSG00000134222.16	Artery_Aorta	0.298599407818153	1.64917024446185e-31	1
ENSG00000134243.11	Artery_Aorta	0.127811848158707	4.12813703913454e-13	1
ENSG00000134245.17	Artery_Aorta	0.156223853809632	6.38167075795342e-16	1
ENSG00000134248.13	Artery_Aorta	0.11845397424937	3.34062831047502e-12	1
ENSG00000134250.19	Artery_Aorta	0.166608997727407	5.70204081119949e-17	1
ENSG00000134253.9	Artery_Aorta	0.344907413844387	2.99389885991299e-37	1
ENSG00000134255.13	Artery_Aorta	0.0346731933256673	0.000230010602284349	1
ENSG00000134258.16	Artery_Aorta	0.207665935265004	3.06137574176679e-21	1
ENSG00000134262.12	Artery_Aorta	0.0654249592870335	3.38464048939388e-07	1
ENSG00000134369.15	Artery_Aorta	0.0861012124033724	4.00973974058547e-09	1
ENSG00000134375.10	Artery_Aorta	0.264966885928133	1.43996396410997e-27	1
ENSG00000134686.18	Artery_Aorta	0.110755662043122	1.83959107134703e-11	1
ENSG00000134697.12	Artery_Aorta	0.18192423572271	1.5375456297119e-18	1
ENSG00000134698.10	Artery_Aorta	0.0915405968381487	1.23432999772416e-09	1
ENSG00000134709.10	Artery_Aorta	0.0647587864071582	3.90081299606866e-07	1
ENSG00000134744.13	Artery_Aorta	0.335056795717594	5.37273354413406e-36	1
ENSG00000134748.12	Artery_Aorta	0.19204861831663	1.36231820334999e-19	1
ENSG00000135744.7	Artery_Aorta	0.0387675978676144	9.65576500600354e-05	1
ENSG00000135749.18	Artery_Aorta	0.380173830483418	6.74657133944579e-42	1
ENSG00000135750.14	Artery_Aorta	0.251960126440628	4.32021479985905e-26	1
ENSG00000135773.12	Artery_Aorta	0.189748265729217	2.36873065361954e-19	1
