gene	tissue	rsq	pval	chr
ENSG00000134253.9	Artery_Coronary	0.112552190239054	5.3438953544633e-07	1
ENSG00000170075.8	Artery_Coronary	0.0737729811617461	5.90726760877527e-05	1
ENSG00000189280.3	Artery_Coronary	0.191994419649941	2.09728718890639e-11	1
ENSG00000204624.7	Artery_Coronary	0.354757995486645	7.69879181588222e-22	1
ENSG00000260360.1	Artery_Coronary	0.371881720767645	4.40630122130752e-23	1
ENSG00000272645.3	Artery_Coronary	0.279703151392853	9.51257578094767e-17	1
ENSG00000272931.1	Artery_Coronary	0.352505832107556	1.11536228787076e-21	1
ENSG00000008118.9	Artery_Coronary	0.102069783044994	1.92990161790069e-06	1
ENSG00000023572.8	Artery_Coronary	0.0789839366299803	3.15876983832388e-05	1
ENSG00000035687.9	Artery_Coronary	0.200898390140287	6.37590507850692e-12	1
ENSG00000049249.8	Artery_Coronary	0.426590395129801	2.75190340176866e-27	1
ENSG00000067533.5	Artery_Coronary	0.135992808894187	2.90398019667636e-08	1
ENSG00000076258.9	Artery_Coronary	0.166692584893789	5.80256775263001e-10	1
ENSG00000076356.6	Artery_Coronary	0.296883205961703	7.23913854790173e-18	1
ENSG00000084073.8	Artery_Coronary	0.167495744198267	5.22934834785334e-10	1
ENSG00000090432.6	Artery_Coronary	0.213814967196163	1.10898987274922e-12	1
ENSG00000116157.5	Artery_Coronary	0.655654451184847	9.61168041741562e-51	1
ENSG00000116251.9	Artery_Coronary	0.0623568259075632	0.000231867951084144	1
ENSG00000116273.5	Artery_Coronary	0.0642116143043806	0.000185726558514707	1
ENSG00000116649.9	Artery_Coronary	0.133128402390644	4.1589240356944e-08	1
ENSG00000116652.6	Artery_Coronary	0.225075512771422	2.36170689425824e-13	1
ENSG00000116661.9	Artery_Coronary	0.276127058778249	1.61404456118992e-16	1
ENSG00000116704.7	Artery_Coronary	0.112929148997724	5.10172915748965e-07	1
ENSG00000116741.7	Artery_Coronary	0.310198227356228	9.42879789024688e-19	1
ENSG00000116903.7	Artery_Coronary	0.116981353472789	3.0961225829039e-07	1
ENSG00000117318.8	Artery_Coronary	0.0717929888751511	7.49089394225847e-05	1
ENSG00000117592.8	Artery_Coronary	0.153987706275234	2.97314893332582e-09	1
ENSG00000117593.9	Artery_Coronary	0.14271402930795	1.24543759559006e-08	1
ENSG00000117594.9	Artery_Coronary	0.679176904743105	5.41200625253084e-54	1
ENSG00000117691.9	Artery_Coronary	0.552512817370319	1.05640465441419e-38	1
ENSG00000117748.9	Artery_Coronary	0.610289154880909	4.66183433727657e-45	1
ENSG00000118217.5	Artery_Coronary	0.53215044062832	1.17679045009603e-36	1
ENSG00000118292.8	Artery_Coronary	0.234287081176957	6.56058219030701e-14	1
ENSG00000118655.4	Artery_Coronary	0.349899257054207	1.7102625832544e-21	1
ENSG00000121769.7	Artery_Coronary	0.138586045638073	2.09610483267118e-08	1
ENSG00000122420.9	Artery_Coronary	0.46300341346472	2.6070796861342e-30	1
ENSG00000123685.8	Artery_Coronary	0.367691336109584	8.93567032717825e-23	1
ENSG00000123689.5	Artery_Coronary	0.153947951889658	2.98828928470565e-09	1
ENSG00000127125.8	Artery_Coronary	0.170748911069288	3.4283581307956e-10	1
ENSG00000127129.9	Artery_Coronary	0.193973632770329	1.61124186241756e-11	1
ENSG00000130764.9	Artery_Coronary	0.0713444831638822	7.90474542202555e-05	1
ENSG00000131791.7	Artery_Coronary	0.298046704423055	6.06710767410762e-18	1
ENSG00000132718.8	Artery_Coronary	0.278715723075954	1.1010548555053e-16	1
ENSG00000132855.4	Artery_Coronary	0.092019902505886	6.54915263305181e-06	1
ENSG00000133055.8	Artery_Coronary	0.414241997006857	2.64297631618226e-26	1
ENSG00000134198.9	Artery_Coronary	0.18861985099303	3.28315867755228e-11	1
ENSG00000134200.3	Artery_Coronary	0.087223095182757	1.17010846683278e-05	1
ENSG00000135744.7	Artery_Coronary	0.367544365511632	9.1592581127783e-23	1
ENSG00000135763.9	Artery_Coronary	0.691444620064448	8.77293376768747e-56	1
ENSG00000135766.8	Artery_Coronary	0.0967314381962813	3.69714885219499e-06	1
ENSG00000137975.7	Artery_Coronary	0.078271190604789	3.44145021702713e-05	1
ENSG00000142677.3	Artery_Coronary	0.0799327567717724	2.818029204468e-05	1
ENSG00000143028.8	Artery_Coronary	0.53183143518707	1.26490443286058e-36	1
ENSG00000143067.4	Artery_Coronary	0.206260047248969	3.09462441592014e-12	1
ENSG00000143125.5	Artery_Coronary	0.466280559902258	1.36201158124451e-30	1
ENSG00000143126.7	Artery_Coronary	0.139207708521369	1.93830066262782e-08	1
ENSG00000143162.7	Artery_Coronary	0.470484413600757	5.88781360314973e-31	1
ENSG00000143196.4	Artery_Coronary	0.291290783277373	1.68529366136885e-17	1
ENSG00000143217.8	Artery_Coronary	0.0786476462476235	3.28914097592806e-05	1
ENSG00000143320.8	Artery_Coronary	0.257322610070569	2.49900553454229e-15	1
ENSG00000143333.6	Artery_Coronary	0.272160316527449	2.89300030044345e-16	1
ENSG00000143368.9	Artery_Coronary	0.388586831506512	2.51020306900722e-24	1
ENSG00000143536.7	Artery_Coronary	0.176187060363848	1.68714105912182e-10	1
ENSG00000143545.8	Artery_Coronary	0.0674433818652941	0.000126147186882513	1
ENSG00000143546.9	Artery_Coronary	0.398554421810418	4.37753032993011e-25	1
ENSG00000143552.9	Artery_Coronary	0.40611682440871	1.1415211822128e-25	1
ENSG00000143614.9	Artery_Coronary	0.397086272787426	5.67178069995332e-25	1
