gene	tissue	rsq	pval	chr
ENSG00000016602.9	Artery_Tibial	0.0379882051140765	2.0788771291131e-06	1
ENSG00000097096.8	Artery_Tibial	0.0316284613706876	1.53856530619953e-05	1
ENSG00000134253.9	Artery_Tibial	0.188243085698066	3.32466248958178e-28	1
ENSG00000162526.6	Artery_Tibial	0.0633697782673168	6.82834282081128e-10	1
ENSG00000188783.5	Artery_Tibial	0.455569367263298	7.05364305299068e-79	1
ENSG00000189280.3	Artery_Tibial	0.205238131057441	6.74998560458728e-31	1
ENSG00000269967.1	Artery_Tibial	0.0434583096894396	3.71563221950895e-07	1
ENSG00000272645.3	Artery_Tibial	0.364856906042423	2.35817215487078e-59	1
ENSG00000023572.8	Artery_Tibial	0.0240969299301652	0.000165775527777115	1
ENSG00000023909.9	Artery_Tibial	0.0795456626151949	3.84964968174828e-12	1
ENSG00000027644.4	Artery_Tibial	0.190462293069943	1.49029749401256e-28	1
ENSG00000035687.9	Artery_Tibial	0.0627285911081192	8.37341256780051e-10	1
ENSG00000053372.4	Artery_Tibial	0.0867003678782749	3.81274119593802e-13	1
ENSG00000057468.6	Artery_Tibial	0.44921382925127	2.08074728165099e-77	1
ENSG00000059588.9	Artery_Tibial	0.446783059809238	7.51466317447632e-77	1
ENSG00000067533.5	Artery_Tibial	0.292122107716027	1.3261895379641e-45	1
ENSG00000076258.9	Artery_Tibial	0.454427494817068	1.29939671904089e-78	1
ENSG00000076356.6	Artery_Tibial	0.053615063397557	1.50703640049767e-08	1
ENSG00000077152.9	Artery_Tibial	0.105721788080606	7.58006020159293e-16	1
ENSG00000084073.8	Artery_Tibial	0.164628616931003	1.49384652691835e-24	1
ENSG00000090432.6	Artery_Tibial	0.442225447520953	8.22276425748934e-76	1
ENSG00000116273.5	Artery_Tibial	0.0496421277254978	5.28819743246104e-08	1
ENSG00000116649.9	Artery_Tibial	0.0570778044944181	5.03515420845191e-09	1
ENSG00000116652.6	Artery_Tibial	0.0994566778255987	5.95422406890663e-15	1
ENSG00000116704.7	Artery_Tibial	0.108041553206422	3.52245009624105e-16	1
ENSG00000116741.7	Artery_Tibial	0.12217690043156	3.17722105210793e-18	1
ENSG00000116745.6	Artery_Tibial	0.0287234993145545	3.84313030622639e-05	1
ENSG00000116752.5	Artery_Tibial	0.06447663819267	4.8006291189612e-10	1
ENSG00000116771.5	Artery_Tibial	0.18798715373374	3.64650410909521e-28	1
ENSG00000116819.6	Artery_Tibial	0.0610560060536385	1.42497957613852e-09	1
ENSG00000116903.7	Artery_Tibial	0.0311020625274094	1.81601647353791e-05	1
ENSG00000116981.3	Artery_Tibial	0.197627108886215	1.10125527602711e-29	1
