gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Amygdala	0.433928534477672	2.15531947916058e-17	1
ENSG00000143520.6	Brain_Amygdala	0.494238293665643	1.58271264776512e-20	1
ENSG00000186092.4	Brain_Amygdala	0.145833403887682	7.98580621981734e-06	1
ENSG00000186207.4	Brain_Amygdala	0.359896906951156	5.78318581159206e-14	1
ENSG00000189280.3	Brain_Amygdala	0.100039814537303	0.000260599637863965	1
ENSG00000226476.3	Brain_Amygdala	0.16471630800878	1.82642805086543e-06	1
ENSG00000226828.1	Brain_Amygdala	0.10528189583104	0.000175820383304305	1
ENSG00000228127.2	Brain_Amygdala	0.203107723201538	8.35321139802463e-08	1
ENSG00000253831.1	Brain_Amygdala	0.355334827925626	9.13432856432167e-14	1
ENSG00000260360.1	Brain_Amygdala	0.751189571457956	3.53065391816826e-40	1
ENSG00000016602.9	Brain_Amygdala	0.411382014089338	2.64117573935261e-16	1
ENSG00000023909.9	Brain_Amygdala	0.195259910773228	1.58520427459207e-07	1
ENSG00000053372.4	Brain_Amygdala	0.570549326508087	4.55545507411547e-25	1
ENSG00000057468.6	Brain_Amygdala	0.421246061998866	8.92835617630646e-17	1
ENSG00000059588.9	Brain_Amygdala	0.274039340077948	1.94872252402522e-10	1
ENSG00000067533.5	Brain_Amygdala	0.288473084018594	5.31293576709345e-11	1
ENSG00000084073.8	Brain_Amygdala	0.325482433579638	1.68760567594935e-12	1
ENSG00000084628.9	Brain_Amygdala	0.567055574049987	7.64325055652468e-25	1
ENSG00000090432.6	Brain_Amygdala	0.195003898680758	1.61853581781087e-07	1
ENSG00000097096.8	Brain_Amygdala	0.126136231876162	3.62746978730272e-05	1
ENSG00000116157.5	Brain_Amygdala	0.448861618780276	3.88273226525056e-18	1
ENSG00000116273.5	Brain_Amygdala	0.68975535026431	4.48288223478052e-34	1
ENSG00000116652.6	Brain_Amygdala	0.559677181858721	2.24944325535153e-24	1
ENSG00000116704.7	Brain_Amygdala	0.149073381439438	6.21096397953884e-06	1
ENSG00000117228.9	Brain_Amygdala	0.236587861821513	5.09474774874687e-09	1
ENSG00000117318.8	Brain_Amygdala	0.628731167209245	4.19956147270395e-29	1
ENSG00000117592.8	Brain_Amygdala	0.333118921284978	8.09946772924329e-13	1
ENSG00000117593.9	Brain_Amygdala	0.348991149796097	1.71582314361542e-13	1
ENSG00000117594.9	Brain_Amygdala	0.270042505195143	2.78092690365553e-10	1
ENSG00000117748.9	Brain_Amygdala	0.731253172641821	4.77774686556965e-38	1
