gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Anterior_cingulate_cortex_BA24	0.129996503867521	7.25909427735246e-06	1
ENSG00000177212.3	Brain_Anterior_cingulate_cortex_BA24	0.13867749680968	3.40626681559784e-06	1
ENSG00000186092.4	Brain_Anterior_cingulate_cortex_BA24	0.079052198273359	0.000561277298665976	1
ENSG00000228127.2	Brain_Anterior_cingulate_cortex_BA24	0.763651754560778	2.88866819041212e-47	1
ENSG00000233304.6	Brain_Anterior_cingulate_cortex_BA24	0.331561538521038	2.35186104853561e-14	1
ENSG00000235021.1	Brain_Anterior_cingulate_cortex_BA24	0.182607610267128	6.7392446663048e-08	1
ENSG00000260360.1	Brain_Anterior_cingulate_cortex_BA24	0.475534860794569	4.55167459950849e-22	1
ENSG00000016602.9	Brain_Anterior_cingulate_cortex_BA24	0.212271007991372	4.30555087891246e-09	1
ENSG00000023909.9	Brain_Anterior_cingulate_cortex_BA24	0.446624496553836	2.29558513844466e-20	1
ENSG00000035687.9	Brain_Anterior_cingulate_cortex_BA24	0.0864318172682739	0.000301214985877079	1
ENSG00000053372.4	Brain_Anterior_cingulate_cortex_BA24	0.617424571111066	4.68156608162036e-32	1
ENSG00000059588.9	Brain_Anterior_cingulate_cortex_BA24	0.111539013722616	3.56511866797385e-05	1
ENSG00000067533.5	Brain_Anterior_cingulate_cortex_BA24	0.372322242657725	2.32334698042296e-16	1
ENSG00000076258.9	Brain_Anterior_cingulate_cortex_BA24	0.185370685204785	5.23535752952508e-08	1
ENSG00000076356.6	Brain_Anterior_cingulate_cortex_BA24	0.585960039332898	1.47935906320482e-29	1
ENSG00000084073.8	Brain_Anterior_cingulate_cortex_BA24	0.311045643371299	2.170629419843e-13	1
ENSG00000084628.9	Brain_Anterior_cingulate_cortex_BA24	0.509643194137674	3.35900782874731e-24	1
ENSG00000090432.6	Brain_Anterior_cingulate_cortex_BA24	0.479048506021043	2.7858939933381e-22	1
ENSG00000116661.9	Brain_Anterior_cingulate_cortex_BA24	0.113893318298715	2.91362817064779e-05	1
ENSG00000116752.5	Brain_Anterior_cingulate_cortex_BA24	0.216033100389615	3.01783788493301e-09	1
