gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Caudate_basal_ganglia	0.190758294264908	1.93180695304004e-10	1
ENSG00000156150.6	Brain_Caudate_basal_ganglia	0.0947299008942052	1.26743505825674e-05	1
ENSG00000162526.6	Brain_Caudate_basal_ganglia	0.0998317608640035	7.19276366973409e-06	1
ENSG00000163263.6	Brain_Caudate_basal_ganglia	0.0914434608286671	1.82382911530618e-05	1
ENSG00000189181.4	Brain_Caudate_basal_ganglia	0.221369537714853	4.44047640125819e-12	1
ENSG00000228208.6	Brain_Caudate_basal_ganglia	0.187425237356101	2.89047651144045e-10	1
ENSG00000235021.1	Brain_Caudate_basal_ganglia	0.266258049421439	1.35915169324341e-14	1
ENSG00000260360.1	Brain_Caudate_basal_ganglia	0.735172401792441	2.69276114437581e-57	1
ENSG00000016602.9	Brain_Caudate_basal_ganglia	0.524722828514939	7.66764198373131e-33	1
ENSG00000023572.8	Brain_Caudate_basal_ganglia	0.898000518618619	4.05729199560825e-97	1
ENSG00000023909.9	Brain_Caudate_basal_ganglia	0.204746150355447	3.50242787684707e-11	1
ENSG00000035687.9	Brain_Caudate_basal_ganglia	0.225461338089438	2.65427397030008e-12	1
ENSG00000053372.4	Brain_Caudate_basal_ganglia	0.463389832714532	9.36374611447656e-28	1
ENSG00000057468.6	Brain_Caudate_basal_ganglia	0.254074916851741	6.75523432041449e-14	1
ENSG00000076258.9	Brain_Caudate_basal_ganglia	0.168725689728398	2.69886891565946e-09	1
ENSG00000084073.8	Brain_Caudate_basal_ganglia	0.37672106484856	1.80967395969774e-21	1
ENSG00000084628.9	Brain_Caudate_basal_ganglia	0.589889952328766	5.14321830706666e-39	1
ENSG00000091483.6	Brain_Caudate_basal_ganglia	0.172791400082619	1.66677151705509e-09	1
ENSG00000097096.8	Brain_Caudate_basal_ganglia	0.104831359956561	4.1206315949952e-06	1
ENSG00000116157.5	Brain_Caudate_basal_ganglia	0.179740551021468	7.27845559970717e-10	1
ENSG00000116273.5	Brain_Caudate_basal_ganglia	0.37593194970099	2.04548201441167e-21	1
ENSG00000116652.6	Brain_Caudate_basal_ganglia	0.306191465567161	5.8992761988675e-17	1
ENSG00000116704.7	Brain_Caudate_basal_ganglia	0.530491449550595	2.36157576093144e-33	1
ENSG00000116711.9	Brain_Caudate_basal_ganglia	0.160667677558948	6.97294121549306e-09	1
ENSG00000116741.7	Brain_Caudate_basal_ganglia	0.294012135627774	3.19783293657292e-16	1
ENSG00000116752.5	Brain_Caudate_basal_ganglia	0.102308816740872	5.45930120664508e-06	1
ENSG00000116771.5	Brain_Caudate_basal_ganglia	0.208172414107111	2.29570112118551e-11	1
ENSG00000116819.6	Brain_Caudate_basal_ganglia	0.214233010367832	1.08299158229326e-11	1
ENSG00000116824.4	Brain_Caudate_basal_ganglia	0.403226054568518	2.70049088031685e-23	1
ENSG00000116954.7	Brain_Caudate_basal_ganglia	0.135949169252214	1.22343570496903e-07	1
ENSG00000116981.3	Brain_Caudate_basal_ganglia	0.172773405253086	1.67033825244699e-09	1
ENSG00000117000.8	Brain_Caudate_basal_ganglia	0.348157008630643	1.38825303281941e-19	1
ENSG00000117118.9	Brain_Caudate_basal_ganglia	0.236538409486182	6.5071910430101e-13	1
ENSG00000117228.9	Brain_Caudate_basal_ganglia	0.346422995410074	1.7959050622078e-19	1
ENSG00000117318.8	Brain_Caudate_basal_ganglia	0.0703744503005017	0.000185289451630462	1
ENSG00000117560.7	Brain_Caudate_basal_ganglia	0.165784138020522	3.81999592273178e-09	1
ENSG00000117593.9	Brain_Caudate_basal_ganglia	0.323773203696886	4.88555997264956e-18	1
ENSG00000117748.9	Brain_Caudate_basal_ganglia	0.512369455899532	9.11073726641844e-32	1
ENSG00000118217.5	Brain_Caudate_basal_ganglia	0.422684639771593	1.09488469828071e-24	1
ENSG00000118292.8	Brain_Caudate_basal_ganglia	0.282293705001774	1.58395873680673e-15	1
ENSG00000118655.4	Brain_Caudate_basal_ganglia	0.232827941996987	1.04429515517446e-12	1
ENSG00000120337.8	Brain_Caudate_basal_ganglia	0.0635191373608384	0.000392484303714299	1
ENSG00000121769.7	Brain_Caudate_basal_ganglia	0.11787050742082	9.54402307075183e-07	1
ENSG00000121905.9	Brain_Caudate_basal_ganglia	0.309333477983798	3.79676604946836e-17	1
ENSG00000122180.4	Brain_Caudate_basal_ganglia	0.215318783498735	9.46074731627871e-12	1
ENSG00000122420.9	Brain_Caudate_basal_ganglia	0.14299824272393	5.44231277497584e-08	1
ENSG00000122435.9	Brain_Caudate_basal_ganglia	0.0853996835942108	3.55513788700082e-05	1
ENSG00000122484.8	Brain_Caudate_basal_ganglia	0.177836244218964	9.13928799798752e-10	1
ENSG00000123091.4	Brain_Caudate_basal_ganglia	0.331283037461153	1.65379166235944e-18	1
ENSG00000123685.8	Brain_Caudate_basal_ganglia	0.46363743845379	8.95558194883857e-28	1
ENSG00000130764.9	Brain_Caudate_basal_ganglia	0.321684037892572	6.58999071486845e-18	1
ENSG00000131233.9	Brain_Caudate_basal_ganglia	0.0632801439506803	0.000402883756751138	1
ENSG00000132718.8	Brain_Caudate_basal_ganglia	0.26411360150836	1.8056472896555e-14	1
ENSG00000133055.8	Brain_Caudate_basal_ganglia	0.137095907948667	1.07277217000445e-07	1
ENSG00000134198.9	Brain_Caudate_basal_ganglia	0.121953068573607	6.01833342050116e-07	1
ENSG00000134247.9	Brain_Caudate_basal_ganglia	0.112621713912662	1.72271656104095e-06	1
ENSG00000134716.9	Brain_Caudate_basal_ganglia	0.457108742232368	2.88089839930861e-27	1
ENSG00000135744.7	Brain_Caudate_basal_ganglia	0.331654581436109	1.56701675993684e-18	1
ENSG00000135763.9	Brain_Caudate_basal_ganglia	0.481178916760353	3.6131028914812e-29	1
ENSG00000135776.4	Brain_Caudate_basal_ganglia	0.186938060420935	3.0654586095238e-10	1
ENSG00000135801.9	Brain_Caudate_basal_ganglia	0.179838949749192	7.19324416003941e-10	1
ENSG00000135845.9	Brain_Caudate_basal_ganglia	0.223421531897709	3.43155633354847e-12	1
ENSG00000135862.5	Brain_Caudate_basal_ganglia	0.0622633164417417	0.000450296542750016	1
ENSG00000137976.7	Brain_Caudate_basal_ganglia	0.40141809416525	3.61836665491441e-23	1
ENSG00000142677.3	Brain_Caudate_basal_ganglia	0.21010146874576	1.80845582151321e-11	1
ENSG00000142686.7	Brain_Caudate_basal_ganglia	0.378765785234537	1.31660588707172e-21	1
ENSG00000142694.6	Brain_Caudate_basal_ganglia	0.311058740633568	2.97829625446008e-17	1
ENSG00000143067.4	Brain_Caudate_basal_ganglia	0.204316118096159	3.69269705886046e-11	1
ENSG00000143107.8	Brain_Caudate_basal_ganglia	0.568473469601023	6.9407400591631e-37	1
ENSG00000143125.5	Brain_Caudate_basal_ganglia	0.170509516150148	2.18503729277511e-09	1
ENSG00000143126.7	Brain_Caudate_basal_ganglia	0.441661708416922	4.33056852714402e-26	1
ENSG00000143162.7	Brain_Caudate_basal_ganglia	0.234979354034424	7.94006102721789e-13	1
ENSG00000143196.4	Brain_Caudate_basal_ganglia	0.18669425445115	3.15692844966125e-10	1
ENSG00000143217.8	Brain_Caudate_basal_ganglia	0.213144324316662	1.23995922192534e-11	1
ENSG00000143256.4	Brain_Caudate_basal_ganglia	0.264069060312808	1.81631700681381e-14	1
ENSG00000143333.6	Brain_Caudate_basal_ganglia	0.079558821646195	6.76270706416844e-05	1
ENSG00000143340.6	Brain_Caudate_basal_ganglia	0.146711298745921	3.54433833695837e-08	1
ENSG00000143368.9	Brain_Caudate_basal_ganglia	0.487653298831048	1.07519120061003e-29	1
ENSG00000143412.9	Brain_Caudate_basal_ganglia	0.140657821943176	7.1259598132838e-08	1
ENSG00000143552.9	Brain_Caudate_basal_ganglia	0.521801176932536	1.38471229698696e-32	1
ENSG00000143630.9	Brain_Caudate_basal_ganglia	0.139407201496034	8.22791640587235e-08	1
