gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Cerebellar_Hemisphere	0.202861469276374	4.00037800374814e-10	1
ENSG00000143520.6	Brain_Cerebellar_Hemisphere	0.0702953314585024	0.000391253766704716	1
ENSG00000162526.6	Brain_Cerebellar_Hemisphere	0.297862470041911	5.69027869743298e-15	1
ENSG00000184774.9	Brain_Cerebellar_Hemisphere	0.795135994524701	1.87590650250912e-61	1
ENSG00000189030.9	Brain_Cerebellar_Hemisphere	0.076896631742233	0.000203038831970818	1
ENSG00000198128.3	Brain_Cerebellar_Hemisphere	0.92779974815869	1.15336829868622e-100	1
ENSG00000230021.8	Brain_Cerebellar_Hemisphere	0.262630598030186	4.17510856912964e-13	1
ENSG00000273365.1	Brain_Cerebellar_Hemisphere	0.119663057612255	2.74647988822911e-06	1
ENSG00000008118.9	Brain_Cerebellar_Hemisphere	0.101559195923269	1.72206463887625e-05	1
ENSG00000016602.9	Brain_Cerebellar_Hemisphere	0.188892468442717	1.85947192279999e-09	1
ENSG00000023572.8	Brain_Cerebellar_Hemisphere	0.071643545436523	0.000342228882511435	1
ENSG00000027644.4	Brain_Cerebellar_Hemisphere	0.302534059212633	3.17026769006516e-15	1
ENSG00000035687.9	Brain_Cerebellar_Hemisphere	0.278280914602806	6.3486283676393e-14	1
ENSG00000053372.4	Brain_Cerebellar_Hemisphere	0.464239239772173	3.17747896060738e-25	1
ENSG00000067533.5	Brain_Cerebellar_Hemisphere	0.140399999842706	3.24475834279068e-07	1
ENSG00000076258.9	Brain_Cerebellar_Hemisphere	0.10764890947113	9.31193128125574e-06	1
ENSG00000076356.6	Brain_Cerebellar_Hemisphere	0.347005587679357	9.93659878116763e-18	1
ENSG00000077152.9	Brain_Cerebellar_Hemisphere	0.460700830672467	5.63630893295061e-25	1
ENSG00000091483.6	Brain_Cerebellar_Hemisphere	0.0885862250455895	6.33013427284409e-05	1
ENSG00000116157.5	Brain_Cerebellar_Hemisphere	0.135343463395859	5.48169870608812e-07	1
ENSG00000116273.5	Brain_Cerebellar_Hemisphere	0.0964786275323237	2.87069242880559e-05	1
ENSG00000116652.6	Brain_Cerebellar_Hemisphere	0.234707274562584	1.09739402533566e-11	1
ENSG00000116661.9	Brain_Cerebellar_Hemisphere	0.065373492889435	0.000637667923748458	1
ENSG00000116704.7	Brain_Cerebellar_Hemisphere	0.0849089987380238	9.13955844128429e-05	1
ENSG00000116745.6	Brain_Cerebellar_Hemisphere	0.0719289522500716	0.000332664266618338	1
ENSG00000116771.5	Brain_Cerebellar_Hemisphere	0.484707589229923	1.07052964338688e-26	1
ENSG00000116819.6	Brain_Cerebellar_Hemisphere	0.143650173802477	2.31338803396984e-07	1
ENSG00000116903.7	Brain_Cerebellar_Hemisphere	0.622016088556289	2.16438737791121e-38	1
ENSG00000116954.7	Brain_Cerebellar_Hemisphere	0.0820376741415042	0.000121698557756799	1
ENSG00000116981.3	Brain_Cerebellar_Hemisphere	0.265130141246024	3.09837576201789e-13	1
ENSG00000117000.8	Brain_Cerebellar_Hemisphere	0.275780090506611	8.60024863998931e-14	1
ENSG00000117016.9	Brain_Cerebellar_Hemisphere	0.263403329395324	3.80773635219291e-13	1
ENSG00000117091.9	Brain_Cerebellar_Hemisphere	0.205198106777136	3.08645936162638e-10	1
ENSG00000117118.9	Brain_Cerebellar_Hemisphere	0.311398742051351	1.03399955688506e-15	1
ENSG00000117228.9	Brain_Cerebellar_Hemisphere	0.244037282053964	3.72791887384274e-12	1
ENSG00000117318.8	Brain_Cerebellar_Hemisphere	0.21672157622253	8.50225425796107e-11	1
ENSG00000117472.9	Brain_Cerebellar_Hemisphere	0.095743543141769	3.09057485173916e-05	1
ENSG00000117593.9	Brain_Cerebellar_Hemisphere	0.404479949165701	3.19005100465009e-21	1
ENSG00000117594.9	Brain_Cerebellar_Hemisphere	0.180713624455077	4.52247514074167e-09	1
ENSG00000117748.9	Brain_Cerebellar_Hemisphere	0.646629461087039	6.27393599481455e-41	1
ENSG00000118217.5	Brain_Cerebellar_Hemisphere	0.252315048881581	1.41550309168061e-12	1
ENSG00000118292.8	Brain_Cerebellar_Hemisphere	0.351117641108994	5.72066824746539e-18	1
ENSG00000118655.4	Brain_Cerebellar_Hemisphere	0.231412374077989	1.60208787113536e-11	1
ENSG00000120333.4	Brain_Cerebellar_Hemisphere	0.178994720906812	5.44587628870024e-09	1
ENSG00000120337.8	Brain_Cerebellar_Hemisphere	0.423190833156252	1.97234423302062e-22	1
ENSG00000121769.7	Brain_Cerebellar_Hemisphere	0.520144398512787	2.17786640379955e-29	1
ENSG00000122180.4	Brain_Cerebellar_Hemisphere	0.0705179694923255	0.000382699967769547	1
ENSG00000122435.9	Brain_Cerebellar_Hemisphere	0.271065246269509	1.52014021814252e-13	1
ENSG00000123685.8	Brain_Cerebellar_Hemisphere	0.136191581885143	5.02100226755643e-07	1
ENSG00000123689.5	Brain_Cerebellar_Hemisphere	0.157648273435827	5.32409901704269e-08	1
ENSG00000127125.8	Brain_Cerebellar_Hemisphere	0.124394304870957	1.6926989829959e-06	1
ENSG00000131791.7	Brain_Cerebellar_Hemisphere	0.534175817983966	1.65011704168974e-30	1
ENSG00000131910.4	Brain_Cerebellar_Hemisphere	0.11962037753139	2.75847413920542e-06	1
ENSG00000133055.8	Brain_Cerebellar_Hemisphere	0.0955812141610509	3.14134423399897e-05	1
