gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Cerebellum	0.497373781671564	9.37314688557303e-33	1
ENSG00000162526.6	Brain_Cerebellum	0.260652720888386	2.85435819580558e-15	1
ENSG00000184774.9	Brain_Cerebellum	0.0972018837562642	4.32207012911733e-06	1
ENSG00000189030.9	Brain_Cerebellum	0.22357597747762	4.86428813532941e-13	1
ENSG00000226715.2	Brain_Cerebellum	0.0629775553773037	0.000247284319766156	1
ENSG00000008118.9	Brain_Cerebellum	0.512904257992792	3.58545269699043e-34	1
ENSG00000023572.8	Brain_Cerebellum	0.132556582181807	5.99117130300916e-08	1
ENSG00000023909.9	Brain_Cerebellum	0.326373355632809	1.67408398392281e-19	1
ENSG00000027644.4	Brain_Cerebellum	0.426791457994927	8.14581126961395e-27	1
ENSG00000035687.9	Brain_Cerebellum	0.111644367866159	7.6391406694846e-07	1
ENSG00000053372.4	Brain_Cerebellum	0.198098866620602	1.45697724998866e-11	1
ENSG00000059588.9	Brain_Cerebellum	0.139012789569347	2.70409093397249e-08	1
ENSG00000067533.5	Brain_Cerebellum	0.0658501595019462	0.000176441112335702	1
ENSG00000077152.9	Brain_Cerebellum	0.0639035362608539	0.000221793924389132	1
ENSG00000084073.8	Brain_Cerebellum	0.308075518494846	2.75821340303507e-18	1
ENSG00000090432.6	Brain_Cerebellum	0.298454054887883	1.16961894380372e-17	1
ENSG00000116157.5	Brain_Cerebellum	0.234587486455244	1.08375720511894e-13	1
ENSG00000116273.5	Brain_Cerebellum	0.211707223174197	2.40049539139315e-12	1
ENSG00000116649.9	Brain_Cerebellum	0.143428381287758	1.5650155742066e-08	1
ENSG00000116819.6	Brain_Cerebellum	0.134288963782155	4.84183484168092e-08	1
ENSG00000116981.3	Brain_Cerebellum	0.360047963715976	7.90478291121783e-22	1
ENSG00000117118.9	Brain_Cerebellum	0.10225309005791	2.36249851629504e-06	1
ENSG00000117228.9	Brain_Cerebellum	0.216812159855807	1.21144415447195e-12	1
ENSG00000117318.8	Brain_Cerebellum	0.0974191096259075	4.21143332602632e-06	1
ENSG00000117592.8	Brain_Cerebellum	0.0932936636783416	6.88696734728298e-06	1
ENSG00000117593.9	Brain_Cerebellum	0.393600755861309	2.8726172925634e-24	1
ENSG00000117594.9	Brain_Cerebellum	0.0890330841628165	1.14294101878493e-05	1
ENSG00000117691.9	Brain_Cerebellum	0.175280299173939	2.81830826759974e-10	1
ENSG00000117748.9	Brain_Cerebellum	0.618799184907733	3.13187950859533e-45	1
ENSG00000118217.5	Brain_Cerebellum	0.290591909667139	3.75495521237694e-17	1
ENSG00000118655.4	Brain_Cerebellum	0.250829240527082	1.13986913659303e-14	1
ENSG00000120333.4	Brain_Cerebellum	0.0860870189363168	1.62110539224089e-05	1
ENSG00000120337.8	Brain_Cerebellum	0.207023811191595	4.47938276081888e-12	1
ENSG00000120937.8	Brain_Cerebellum	0.0701515918422715	0.000106390481123753	1
ENSG00000121454.5	Brain_Cerebellum	0.384211167201319	1.42583106979599e-23	1
ENSG00000121769.7	Brain_Cerebellum	0.75594722559865	2.55908291954119e-65	1
ENSG00000121905.9	Brain_Cerebellum	0.0906931096513649	9.38377966138658e-06	1
ENSG00000122180.4	Brain_Cerebellum	0.624056408116019	7.40923721883867e-46	1
ENSG00000122420.9	Brain_Cerebellum	0.0977583803934711	4.04424417734962e-06	1
ENSG00000122435.9	Brain_Cerebellum	0.11965003943234	2.89841240455294e-07	1
ENSG00000123091.4	Brain_Cerebellum	0.122850973156932	1.96373987918446e-07	1
ENSG00000123685.8	Brain_Cerebellum	0.206966615031134	4.51354362781631e-12	1
ENSG00000123689.5	Brain_Cerebellum	0.386014138206276	1.05020717905193e-23	1
ENSG00000127125.8	Brain_Cerebellum	0.352401473600046	2.73104107273897e-21	1
ENSG00000127129.9	Brain_Cerebellum	0.0975260628176765	4.15799936543131e-06	1
ENSG00000130764.9	Brain_Cerebellum	0.109858939444753	9.4740918952739e-07	1
ENSG00000130766.4	Brain_Cerebellum	0.515886216176833	1.89358804140281e-34	1
ENSG00000131791.7	Brain_Cerebellum	0.23240356596463	1.46202738914503e-13	1
ENSG00000131910.4	Brain_Cerebellum	0.250023450949222	1.27599593054503e-14	1
ENSG00000133055.8	Brain_Cerebellum	0.322717778429951	2.94728883026844e-19	1
ENSG00000134198.9	Brain_Cerebellum	0.548430828876176	1.36816447667459e-37	1
ENSG00000134247.9	Brain_Cerebellum	0.328661782092418	1.17311657482482e-19	1
ENSG00000134259.3	Brain_Cerebellum	0.305431126385009	4.110593020292e-18	1
ENSG00000135776.4	Brain_Cerebellum	0.235466424689112	9.60516138346657e-14	1
ENSG00000135845.9	Brain_Cerebellum	0.131071283779302	7.18958103807801e-08	1
ENSG00000135862.5	Brain_Cerebellum	0.464712565901622	6.54991872779879e-30	1
ENSG00000137976.7	Brain_Cerebellum	0.0670972315429617	0.000152381041689099	1
ENSG00000142677.3	Brain_Cerebellum	0.653316977255388	1.65117854529935e-49	1
ENSG00000142686.7	Brain_Cerebellum	0.0610569612701455	0.000309865173589552	1
ENSG00000142959.4	Brain_Cerebellum	0.0814209674065455	2.81645302071568e-05	1
ENSG00000143028.8	Brain_Cerebellum	0.306777460927174	3.35555452753888e-18	1
ENSG00000143067.4	Brain_Cerebellum	0.311526786633716	1.63498632495414e-18	1
ENSG00000143107.8	Brain_Cerebellum	0.155472119548976	3.47946263453288e-09	1
ENSG00000143125.5	Brain_Cerebellum	0.151269322994536	5.89208701860304e-09	1
ENSG00000143126.7	Brain_Cerebellum	0.299214833022721	1.04408850293056e-17	1
ENSG00000143162.7	Brain_Cerebellum	0.19075628464887	3.8105784888579e-11	1
ENSG00000143196.4	Brain_Cerebellum	0.102883987511303	2.19048749746298e-06	1
ENSG00000143256.4	Brain_Cerebellum	0.169125695320409	6.18811536881014e-10	1
ENSG00000143320.8	Brain_Cerebellum	0.306015064097199	3.76440424198453e-18	1
ENSG00000143333.6	Brain_Cerebellum	0.0904772847266785	9.62759576949023e-06	1
ENSG00000143340.6	Brain_Cerebellum	0.363094396527912	4.8041667798203e-22	1
ENSG00000143368.9	Brain_Cerebellum	0.127232618249412	1.15047761478771e-07	1
ENSG00000143412.9	Brain_Cerebellum	0.176199258044942	2.50492780193093e-10	1
ENSG00000143443.9	Brain_Cerebellum	0.0644680986380284	0.000207558223083213	1
ENSG00000143552.9	Brain_Cerebellum	0.37842771816535	3.77984872617277e-23	1
ENSG00000143556.8	Brain_Cerebellum	0.184723092604354	8.34673594744091e-11	1
ENSG00000143630.9	Brain_Cerebellum	0.31690054941039	7.20586203747683e-19	1
ENSG00000143641.9	Brain_Cerebellum	0.380780338204142	2.54511258449083e-23	1
ENSG00000143653.9	Brain_Cerebellum	0.245585881235017	2.37015850155007e-14	1
ENSG00000143816.7	Brain_Cerebellum	0.219017093290245	9.00469968283023e-13	1
ENSG00000154309.8	Brain_Cerebellum	0.478104839374098	4.69134653710767e-31	1
ENSG00000156150.6	Brain_Cerebellum	0.153892423906295	4.24235907526652e-09	1
ENSG00000156876.9	Brain_Cerebellum	0.3978747288419	1.37422040574701e-24	1
ENSG00000157911.9	Brain_Cerebellum	0.295989141364368	1.68828397620355e-17	1
ENSG00000157933.9	Brain_Cerebellum	0.390490850523656	4.89658213663427e-24	1
ENSG00000158008.9	Brain_Cerebellum	0.442180607533565	4.78779578354467e-28	1
ENSG00000158156.7	Brain_Cerebellum	0.0799624445061472	3.34632589550302e-05	1
ENSG00000158246.7	Brain_Cerebellum	0.10476634925647	1.74781357867332e-06	1
ENSG00000158292.6	Brain_Cerebellum	0.20897809085478	3.45422140618094e-12	1
ENSG00000158473.6	Brain_Cerebellum	0.626240826879017	4.04655712999522e-46	1
ENSG00000158615.8	Brain_Cerebellum	0.0669504966726002	0.000155032742737354	1
ENSG00000158715.5	Brain_Cerebellum	0.182140294202804	1.16574693884838e-10	1
ENSG00000158716.8	Brain_Cerebellum	0.184339301692459	8.77206746941765e-11	1
ENSG00000158825.5	Brain_Cerebellum	0.135138812393674	4.36091534017552e-08	1
ENSG00000158828.7	Brain_Cerebellum	0.504232149642544	2.24597821020246e-33	1
ENSG00000159164.9	Brain_Cerebellum	0.130472160587023	7.73778828435577e-08	1
ENSG00000159596.6	Brain_Cerebellum	0.0586044320004645	0.000413295053315358	1
ENSG00000160716.5	Brain_Cerebellum	0.375168206076163	6.52236617967835e-23	1
ENSG00000160803.7	Brain_Cerebellum	0.064916891255937	0.000196895512405203	1
ENSG00000162377.5	Brain_Cerebellum	0.513813318570789	2.95256498771471e-34	1
ENSG00000162407.8	Brain_Cerebellum	0.406741437893401	2.92783403912341e-25	1
ENSG00000162415.6	Brain_Cerebellum	0.235011173460747	1.02250812382399e-13	1
ENSG00000162461.7	Brain_Cerebellum	0.568238003875335	1.29537953035402e-39	1
ENSG00000162490.6	Brain_Cerebellum	0.22603304041281	3.48551830470018e-13	1
ENSG00000162494.5	Brain_Cerebellum	0.349541009322789	4.32671111652502e-21	1
ENSG00000162510.5	Brain_Cerebellum	0.135634880416643	4.10243459093292e-08	1
ENSG00000162511.7	Brain_Cerebellum	0.0918941383612912	8.13500587967742e-06	1
ENSG00000162545.5	Brain_Cerebellum	0.640396272776148	7.35952659098338e-48	1
ENSG00000162592.9	Brain_Cerebellum	0.677798416517092	8.28155136469078e-53	1
ENSG00000162595.5	Brain_Cerebellum	0.0726876590152362	7.89291498438937e-05	1
ENSG00000162616.8	Brain_Cerebellum	0.216597225704859	1.24693554124515e-12	1
ENSG00000162630.5	Brain_Cerebellum	0.10615272490552	1.47977340066138e-06	1
ENSG00000162728.4	Brain_Cerebellum	0.170836122113982	4.97572500386021e-10	1
ENSG00000162738.5	Brain_Cerebellum	0.532213011138667	5.35256704899743e-36	1
ENSG00000162757.4	Brain_Cerebellum	0.568880479391412	1.10973593353671e-39	1
ENSG00000162817.6	Brain_Cerebellum	0.215492931868178	1.44618959907836e-12	1
ENSG00000162851.7	Brain_Cerebellum	0.232858816653028	1.37366235890419e-13	1
ENSG00000162888.4	Brain_Cerebellum	0.644381754684567	2.31508516738439e-48	1
ENSG00000162913.9	Brain_Cerebellum	0.317539893548315	6.53387597720052e-19	1
ENSG00000163041.9	Brain_Cerebellum	0.520820291049487	6.52801863788287e-35	1
ENSG00000163206.5	Brain_Cerebellum	0.555971527241226	2.3783718264712e-38	1
ENSG00000163207.6	Brain_Cerebellum	0.494178907550287	1.81162919340302e-32	1
ENSG00000163545.8	Brain_Cerebellum	0.228505382763487	2.48990050920237e-13	1
ENSG00000163563.7	Brain_Cerebellum	0.0608284498893664	0.000318294056329874	1
ENSG00000163866.8	Brain_Cerebellum	0.239273966821919	5.68505731896318e-14	1
