gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Cortex	0.314413699176912	2.2631269308725e-18	1
ENSG00000143520.6	Brain_Cortex	0.58118736911847	3.15494855439109e-40	1
ENSG00000162526.6	Brain_Cortex	0.2165327090329	2.06850842285076e-12	1
ENSG00000189181.4	Brain_Cortex	0.427289315925798	2.29051211971217e-26	1
ENSG00000226374.2	Brain_Cortex	0.104647907181007	2.2315963756531e-06	1
ENSG00000235021.1	Brain_Cortex	0.273035463588576	9.28260822538869e-16	1
ENSG00000269967.1	Brain_Cortex	0.209786525675834	5.01397234608821e-12	1
ENSG00000008118.9	Brain_Cortex	0.122348173182714	2.73529778673416e-07	1
ENSG00000016602.9	Brain_Cortex	0.265240271733892	2.77910906415002e-15	1
ENSG00000023572.8	Brain_Cortex	0.171094529851634	7.07251548962383e-10	1
ENSG00000023909.9	Brain_Cortex	0.212233443076	3.63966576925285e-12	1
ENSG00000027644.4	Brain_Cortex	0.149218435441214	1.061542261442e-08	1
ENSG00000035687.9	Brain_Cortex	0.409023016830591	5.66482495905044e-25	1
ENSG00000067533.5	Brain_Cortex	0.386975461148338	2.39620513384569e-23	1
ENSG00000076258.9	Brain_Cortex	0.215056531078355	2.5122226122796e-12	1
ENSG00000077152.9	Brain_Cortex	0.27551963121811	6.5294848382857e-16	1
ENSG00000084628.9	Brain_Cortex	0.404810235042056	1.17084289283757e-24	1
ENSG00000090432.6	Brain_Cortex	0.465977717705263	1.81282693134663e-29	1
ENSG00000091483.6	Brain_Cortex	0.169118757977444	9.05548716660928e-10	1
ENSG00000097096.8	Brain_Cortex	0.0601322656257819	0.000394415977223462	1
ENSG00000116652.6	Brain_Cortex	0.160209652376217	2.74270949569169e-09	1
ENSG00000116704.7	Brain_Cortex	0.173025764814284	5.55186386332931e-10	1
ENSG00000116741.7	Brain_Cortex	0.235094902527633	1.74405936645215e-13	1
ENSG00000116771.5	Brain_Cortex	0.322963674338922	6.24973159100004e-19	1
ENSG00000116819.6	Brain_Cortex	0.132938473974384	7.67413089308992e-08	1
ENSG00000116903.7	Brain_Cortex	0.427089863316248	2.37345336582486e-26	1
ENSG00000117000.8	Brain_Cortex	0.173466313344599	5.25321845569223e-10	1
ENSG00000117016.9	Brain_Cortex	0.319414386279924	1.06826034794351e-18	1
ENSG00000117091.9	Brain_Cortex	0.0627692751263843	0.00029100252493157	1
ENSG00000117118.9	Brain_Cortex	0.39180800806209	1.06665072162384e-23	1
ENSG00000117148.7	Brain_Cortex	0.32558763457223	4.19739975650664e-19	1
ENSG00000117318.8	Brain_Cortex	0.270543254066788	1.31963980542301e-15	1
ENSG00000117593.9	Brain_Cortex	0.455028676642713	1.43900291569379e-28	1
ENSG00000117614.9	Brain_Cortex	0.219236022448201	1.44781339960603e-12	1
ENSG00000117691.9	Brain_Cortex	0.0674068825396107	0.000170422931850002	1
ENSG00000117748.9	Brain_Cortex	0.667038596259567	2.27777460482772e-50	1
ENSG00000118217.5	Brain_Cortex	0.20345120589163	1.14432444263525e-11	1
ENSG00000118292.8	Brain_Cortex	0.302186818877356	1.3876574213999e-17	1
ENSG00000118655.4	Brain_Cortex	0.196809872615785	2.70047996479313e-11	1
ENSG00000120337.8	Brain_Cortex	0.140481879295636	3.08043754858677e-08	1
ENSG00000121454.5	Brain_Cortex	0.253094552299708	1.50118194706109e-14	1
ENSG00000121905.9	Brain_Cortex	0.220064267690775	1.2976002978424e-12	1
ENSG00000122484.8	Brain_Cortex	0.0635767158119592	0.000265126676568311	1
ENSG00000123685.8	Brain_Cortex	0.488510995172722	2.2279933452091e-31	1
ENSG00000127125.8	Brain_Cortex	0.237909221451622	1.19286208628448e-13	1
ENSG00000130764.9	Brain_Cortex	0.245379474484854	4.3241714604269e-14	1
ENSG00000131233.9	Brain_Cortex	0.276186834498156	5.9395921374493e-16	1
ENSG00000131791.7	Brain_Cortex	0.135109059340853	5.90535414944048e-08	1
ENSG00000132718.8	Brain_Cortex	0.1174544637615	4.90182874416662e-07	1
ENSG00000134198.9	Brain_Cortex	0.464396422940629	2.451402264248e-29	1
ENSG00000134247.9	Brain_Cortex	0.112025725200241	9.33706396919423e-07	1
ENSG00000134716.9	Brain_Cortex	0.488500500696892	2.23266150138802e-31	1
ENSG00000135744.7	Brain_Cortex	0.434493337882533	6.28607371182825e-27	1
ENSG00000135766.8	Brain_Cortex	0.301217372670746	1.60013297830593e-17	1
ENSG00000135845.9	Brain_Cortex	0.223468534134376	8.26261513606827e-13	1
ENSG00000135862.5	Brain_Cortex	0.213835784704153	2.94946941602545e-12	1
ENSG00000137960.5	Brain_Cortex	0.0674204527803819	0.000170156193160023	1
ENSG00000142615.7	Brain_Cortex	0.132687823880463	7.90958783056097e-08	1
ENSG00000142677.3	Brain_Cortex	0.398123141644349	3.6688347186793e-24	1
ENSG00000142686.7	Brain_Cortex	0.236594062356018	1.42479977419366e-13	1
ENSG00000142694.6	Brain_Cortex	0.354637804227304	4.61368620662682e-21	1
ENSG00000143001.4	Brain_Cortex	0.226490407039825	5.52640147930963e-13	1
ENSG00000143028.8	Brain_Cortex	0.270527714175968	1.32253300468541e-15	1
ENSG00000143067.4	Brain_Cortex	0.541360588437437	3.29975177756995e-36	1
ENSG00000143125.5	Brain_Cortex	0.225949037615092	5.93994180577342e-13	1
ENSG00000143162.7	Brain_Cortex	0.313456737971969	2.61118567600785e-18	1
ENSG00000143184.4	Brain_Cortex	0.138558275863778	3.89014367446972e-08	1
ENSG00000143196.4	Brain_Cortex	0.137055584268528	4.66674527793459e-08	1
ENSG00000143217.8	Brain_Cortex	0.307524207924567	6.31155961838424e-18	1
ENSG00000143320.8	Brain_Cortex	0.366394729368923	7.02584848430998e-22	1
ENSG00000143333.6	Brain_Cortex	0.0731898232801775	8.73756142813021e-05	1
ENSG00000143340.6	Brain_Cortex	0.578027039681714	6.78483261108618e-40	1
ENSG00000143412.9	Brain_Cortex	0.303705115603419	1.10971600484113e-17	1
ENSG00000143443.9	Brain_Cortex	0.0975253711954738	5.15187369359645e-06	1
ENSG00000143545.8	Brain_Cortex	0.11630369592442	5.62061834415987e-07	1
ENSG00000143653.9	Brain_Cortex	0.301200371416563	1.60413318438397e-17	1
ENSG00000150681.9	Brain_Cortex	0.180750912912751	2.09754467751696e-10	1
ENSG00000152078.9	Brain_Cortex	0.314979354530309	2.07943506074117e-18	1
ENSG00000154309.8	Brain_Cortex	0.664169033015475	5.45391344119292e-50	1
ENSG00000157911.9	Brain_Cortex	0.263952367715981	3.32754799906773e-15	1
