gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Frontal_Cortex_BA9	0.242792055390561	4.30881692448404e-12	1
ENSG00000235021.1	Brain_Frontal_Cortex_BA9	0.601102156803423	2.32123738071663e-36	1
ENSG00000008118.9	Brain_Frontal_Cortex_BA9	0.38000706024362	1.07124094206808e-19	1
ENSG00000023572.8	Brain_Frontal_Cortex_BA9	0.121975775668983	2.16835261126549e-06	1
ENSG00000023909.9	Brain_Frontal_Cortex_BA9	0.388516748476594	3.2064666340932e-20	1
ENSG00000053372.4	Brain_Frontal_Cortex_BA9	0.496250883324123	1.49104725076409e-27	1
ENSG00000059588.9	Brain_Frontal_Cortex_BA9	0.475441959537653	5.04877332242533e-26	1
ENSG00000066557.5	Brain_Frontal_Cortex_BA9	0.074891730848232	0.000247832151138931	1
ENSG00000067533.5	Brain_Frontal_Cortex_BA9	0.3503814180787	6.31665629869506e-18	1
ENSG00000067704.9	Brain_Frontal_Cortex_BA9	0.152757661892648	8.91508526239387e-08	1
ENSG00000076258.9	Brain_Frontal_Cortex_BA9	0.269101079002956	1.92526294219444e-13	1
ENSG00000077152.9	Brain_Frontal_Cortex_BA9	0.199836437718112	5.59095479088793e-10	1
ENSG00000084628.9	Brain_Frontal_Cortex_BA9	0.322954733141819	2.35013641761319e-16	1
ENSG00000090432.6	Brain_Frontal_Cortex_BA9	0.450922899878325	2.69494404203959e-24	1
ENSG00000116157.5	Brain_Frontal_Cortex_BA9	0.271374365629569	1.46457521845188e-13	1
ENSG00000116649.9	Brain_Frontal_Cortex_BA9	0.209783047426777	1.85168044496872e-10	1
ENSG00000116704.7	Brain_Frontal_Cortex_BA9	0.625008259527622	1.08579341463833e-38	1
ENSG00000116711.9	Brain_Frontal_Cortex_BA9	0.32275755907656	2.41079365188771e-16	1
ENSG00000116752.5	Brain_Frontal_Cortex_BA9	0.0884464944014675	6.41918100336181e-05	1
ENSG00000116819.6	Brain_Frontal_Cortex_BA9	0.418980715757654	3.71790321605372e-22	1
ENSG00000116903.7	Brain_Frontal_Cortex_BA9	0.425481984889015	1.39420049541239e-22	1
ENSG00000116954.7	Brain_Frontal_Cortex_BA9	0.0827550639830302	0.000113299874002981	1
