gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Hippocampus	0.668267521730499	6.69313214082709e-41	1
ENSG00000235021.1	Brain_Hippocampus	0.564491156797123	3.1303832751612e-31	1
ENSG00000260360.1	Brain_Hippocampus	0.676093759003834	9.50821221830258e-42	1
ENSG00000008118.9	Brain_Hippocampus	0.501032225208194	2.16557183100676e-26	1
ENSG00000016602.9	Brain_Hippocampus	0.219977323464417	2.09819930888515e-10	1
ENSG00000023572.8	Brain_Hippocampus	0.218925962605419	2.34698475756136e-10	1
ENSG00000023909.9	Brain_Hippocampus	0.137181768722191	9.74379353100148e-07	1
ENSG00000035687.9	Brain_Hippocampus	0.384367114299302	6.73620506751457e-19	1
ENSG00000053372.4	Brain_Hippocampus	0.228360777646281	8.54378786085602e-11	1
ENSG00000066557.5	Brain_Hippocampus	0.501647040538059	1.9573696308163e-26	1
ENSG00000067533.5	Brain_Hippocampus	0.501043438574287	2.16158542215084e-26	1
ENSG00000076356.6	Brain_Hippocampus	0.265256287637107	1.46693340558466e-12	1
ENSG00000077152.9	Brain_Hippocampus	0.51854350279733	1.15818106434463e-27	1
ENSG00000084073.8	Brain_Hippocampus	0.465650512444346	5.9696614273954e-24	1
ENSG00000084628.9	Brain_Hippocampus	0.581531278781534	1.19276304177785e-32	1
ENSG00000090432.6	Brain_Hippocampus	0.403380230275899	5.10352257275051e-20	1
ENSG00000097096.8	Brain_Hippocampus	0.511623486381333	3.73027691065758e-27	1
ENSG00000116273.5	Brain_Hippocampus	0.251499850275392	6.82398750681607e-12	1
ENSG00000116649.9	Brain_Hippocampus	0.180163036057284	1.33316380642825e-08	1
ENSG00000116704.7	Brain_Hippocampus	0.451295387675498	5.25899118216708e-23	1
ENSG00000116711.9	Brain_Hippocampus	0.131987986480199	1.61767836781855e-06	1
ENSG00000116741.7	Brain_Hippocampus	0.210745527189936	5.58640526510645e-10	1
ENSG00000116752.5	Brain_Hippocampus	0.0872960655790836	0.000116792976805488	1
ENSG00000116771.5	Brain_Hippocampus	0.300217009239983	2.60041877333266e-14	1
ENSG00000116819.6	Brain_Hippocampus	0.476119591066269	1.17731591996767e-24	1
ENSG00000116903.7	Brain_Hippocampus	0.512979967781228	2.96983148846216e-27	1
ENSG00000116981.3	Brain_Hippocampus	0.385203303054817	6.02350621643211e-19	1
ENSG00000117318.8	Brain_Hippocampus	0.120753530184834	4.80642436008318e-06	1
ENSG00000117472.9	Brain_Hippocampus	0.0870622748323607	0.00011939915156771	1
ENSG00000117592.8	Brain_Hippocampus	0.114019879386991	9.18868199300609e-06	1
ENSG00000117594.9	Brain_Hippocampus	0.164077540881461	6.78685986901919e-08	1
ENSG00000117748.9	Brain_Hippocampus	0.63128125709989	3.79493668570641e-37	1
ENSG00000118292.8	Brain_Hippocampus	0.385285584239639	5.9575401653195e-19	1
ENSG00000118655.4	Brain_Hippocampus	0.12112052288915	4.63918182862359e-06	1
ENSG00000120333.4	Brain_Hippocampus	0.0729030650431041	0.000452695321935658	1
