gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Hypothalamus	0.340268741600012	6.99423682441662e-17	1
ENSG00000143520.6	Brain_Hypothalamus	0.061661982402913	0.00109432441319245	1
ENSG00000232650.5	Brain_Hypothalamus	0.18118216156353	7.18527275142825e-09	1
ENSG00000235021.1	Brain_Hypothalamus	0.623305134494066	1.87453278563144e-37	1
ENSG00000016602.9	Brain_Hypothalamus	0.402394285080902	1.59014246341349e-20	1
ENSG00000023909.9	Brain_Hypothalamus	0.280710797314354	1.09166204848334e-13	1
ENSG00000053372.4	Brain_Hypothalamus	0.36368827711073	3.25227025753877e-18	1
ENSG00000067533.5	Brain_Hypothalamus	0.456797030147609	4.92730802625925e-24	1
ENSG00000076258.9	Brain_Hypothalamus	0.115425511023536	5.82654860660562e-06	1
ENSG00000076356.6	Brain_Hypothalamus	0.0965520698371188	3.72242306170461e-05	1
ENSG00000084073.8	Brain_Hypothalamus	0.202731013647844	7.25202408435627e-10	1
ENSG00000084628.9	Brain_Hypothalamus	0.538455582948798	5.18603193333815e-30	1
ENSG00000090432.6	Brain_Hypothalamus	0.351275764738623	1.6759755563586e-17	1
ENSG00000097096.8	Brain_Hypothalamus	0.366709933581396	2.17168196655665e-18	1
ENSG00000116251.9	Brain_Hypothalamus	0.209303536535882	3.56370963310015e-10	1
ENSG00000116649.9	Brain_Hypothalamus	0.138013104923233	6.109676608784e-07	1
ENSG00000116652.6	Brain_Hypothalamus	0.23014534342376	3.61248925251696e-11	1
ENSG00000116661.9	Brain_Hypothalamus	0.16968429855724	2.39075151173295e-08	1
ENSG00000116741.7	Brain_Hypothalamus	0.0930034119544654	5.26214780204178e-05	1
ENSG00000116745.6	Brain_Hypothalamus	0.379418309081445	3.89142672726961e-19	1
ENSG00000116771.5	Brain_Hypothalamus	0.282804739144103	8.51495560029159e-14	1
ENSG00000116824.4	Brain_Hypothalamus	0.203613384748543	6.59429396423465e-10	1
ENSG00000116903.7	Brain_Hypothalamus	0.416524038662827	2.09526892134726e-21	1
ENSG00000116981.3	Brain_Hypothalamus	0.229409584351959	3.92028587584153e-11	1
ENSG00000117091.9	Brain_Hypothalamus	0.238803027292847	1.37269713276472e-11	1
ENSG00000117118.9	Brain_Hypothalamus	0.382259884240791	2.63700895403275e-19	1
ENSG00000117318.8	Brain_Hypothalamus	0.282497980824748	8.83098367402536e-14	1
ENSG00000117472.9	Brain_Hypothalamus	0.17099836846524	2.08535811170013e-08	1
ENSG00000117592.8	Brain_Hypothalamus	0.133166894329302	9.94789581601569e-07	1
