gene	tissue	rsq	pval	chr
ENSG00000134253.9	Brain_Putamen_basal_ganglia	0.604343642629539	1.17778145360007e-35	1
ENSG00000189181.4	Brain_Putamen_basal_ganglia	0.229898816042311	3.71286031894714e-11	1
ENSG00000235021.1	Brain_Putamen_basal_ganglia	0.333568898753354	1.65015267503745e-16	1
ENSG00000260360.1	Brain_Putamen_basal_ganglia	0.733874693628245	3.64875974511856e-50	1
ENSG00000008118.9	Brain_Putamen_basal_ganglia	0.294772065602978	2.03077374448093e-14	1
ENSG00000016602.9	Brain_Putamen_basal_ganglia	0.700784903850409	7.03682527705986e-46	1
ENSG00000023909.9	Brain_Putamen_basal_ganglia	0.350234000479793	1.92056167391627e-17	1
ENSG00000057468.6	Brain_Putamen_basal_ganglia	0.394405000272121	4.89937489520724e-20	1
ENSG00000067533.5	Brain_Putamen_basal_ganglia	0.378598737035406	4.35222200282664e-19	1
ENSG00000076258.9	Brain_Putamen_basal_ganglia	0.443053204822692	4.0795095427708e-23	1
ENSG00000084073.8	Brain_Putamen_basal_ganglia	0.634303925548489	1.54217902011724e-38	1
ENSG00000084628.9	Brain_Putamen_basal_ganglia	0.678660971977192	2.8611673421768e-43	1
ENSG00000090432.6	Brain_Putamen_basal_ganglia	0.470610346323165	5.5797899615103e-25	1
ENSG00000091483.6	Brain_Putamen_basal_ganglia	0.335044236095145	1.36693417550522e-16	1
ENSG00000116649.9	Brain_Putamen_basal_ganglia	0.415706553408726	2.35901514360196e-21	1
ENSG00000116652.6	Brain_Putamen_basal_ganglia	0.150975008479634	1.64118822773725e-07	1
ENSG00000116704.7	Brain_Putamen_basal_ganglia	0.72712112422913	3.00853619876298e-49	1
ENSG00000116741.7	Brain_Putamen_basal_ganglia	0.452160241396394	1.01122613976572e-23	1
ENSG00000116752.5	Brain_Putamen_basal_ganglia	0.444483398913023	3.28190482154806e-23	1
ENSG00000116903.7	Brain_Putamen_basal_ganglia	0.138345467236269	5.90833498511828e-07	1
ENSG00000117118.9	Brain_Putamen_basal_ganglia	0.315865474223592	1.53251793147969e-15	1
ENSG00000117228.9	Brain_Putamen_basal_ganglia	0.276116078511985	1.87855306206791e-13	1
ENSG00000117318.8	Brain_Putamen_basal_ganglia	0.282657165858147	8.66556717803018e-14	1
ENSG00000117593.9	Brain_Putamen_basal_ganglia	0.3990617584218	2.54717871119654e-20	1
ENSG00000117594.9	Brain_Putamen_basal_ganglia	0.0929965563213252	5.26566445923954e-05	1
ENSG00000117748.9	Brain_Putamen_basal_ganglia	0.648993855264051	4.87062025611636e-40	1
ENSG00000120333.4	Brain_Putamen_basal_ganglia	0.10114785031075	2.37491327290367e-05	1
ENSG00000120337.8	Brain_Putamen_basal_ganglia	0.170092115840066	2.29151523465454e-08	1
ENSG00000120937.8	Brain_Putamen_basal_ganglia	0.0952876850538656	4.21140037948574e-05	1
ENSG00000121769.7	Brain_Putamen_basal_ganglia	0.220235704231202	1.08017673547214e-10	1
ENSG00000123685.8	Brain_Putamen_basal_ganglia	0.301285737270257	9.21678983549721e-15	1
ENSG00000123689.5	Brain_Putamen_basal_ganglia	0.0878007487197185	8.73046506110896e-05	1
ENSG00000130764.9	Brain_Putamen_basal_ganglia	0.647197063080506	7.48933436161324e-40	1
ENSG00000130766.4	Brain_Putamen_basal_ganglia	0.139285928594072	5.37355468440089e-07	1
ENSG00000131910.4	Brain_Putamen_basal_ganglia	0.114992767014644	6.08135515496719e-06	1
ENSG00000134198.9	Brain_Putamen_basal_ganglia	0.111486294891991	8.59807698938659e-06	1
ENSG00000134259.3	Brain_Putamen_basal_ganglia	0.181035542675033	7.29693730761587e-09	1
ENSG00000134716.9	Brain_Putamen_basal_ganglia	0.293253216401526	2.43907600062938e-14	1
ENSG00000135744.7	Brain_Putamen_basal_ganglia	0.516660300180775	2.55202895595252e-28	1
ENSG00000135766.8	Brain_Putamen_basal_ganglia	0.535730362270027	8.52477684105775e-30	1
ENSG00000135845.9	Brain_Putamen_basal_ganglia	0.118196632199985	4.4282074476313e-06	1
ENSG00000135862.5	Brain_Putamen_basal_ganglia	0.290952367639211	3.21694182874043e-14	1
ENSG00000137960.5	Brain_Putamen_basal_ganglia	0.663103671776337	1.5354909611538e-41	1
ENSG00000142959.4	Brain_Putamen_basal_ganglia	0.196094562696234	1.47812376896543e-09	1
ENSG00000143028.8	Brain_Putamen_basal_ganglia	0.224362152545329	6.85634441266583e-11	1
ENSG00000143067.4	Brain_Putamen_basal_ganglia	0.425918859150909	5.3009383772769e-22	1
ENSG00000143107.8	Brain_Putamen_basal_ganglia	0.165413372480004	3.72301037183546e-08	1
ENSG00000143125.5	Brain_Putamen_basal_ganglia	0.339084651821374	8.14497227297151e-17	1
ENSG00000143126.7	Brain_Putamen_basal_ganglia	0.208000905463373	4.10430357103117e-10	1
ENSG00000143256.4	Brain_Putamen_basal_ganglia	0.153965196051548	1.2091395551903e-07	1
ENSG00000143320.8	Brain_Putamen_basal_ganglia	0.145062634795663	2.99500955917528e-07	1
ENSG00000143333.6	Brain_Putamen_basal_ganglia	0.171744546956948	1.92948590546003e-08	1
