gene	tissue	rsq	pval	chr
ENSG00000260360.1	Brain_Spinal_cord_cervical_c-1	0.511094115826708	5.35589088885179e-21	1
ENSG00000269967.1	Brain_Spinal_cord_cervical_c-1	0.245514961202807	3.66127103899842e-09	1
ENSG00000023909.9	Brain_Spinal_cord_cervical_c-1	0.174928509766742	1.09754559725045e-06	1
ENSG00000027644.4	Brain_Spinal_cord_cervical_c-1	0.229920000102368	1.34250132916445e-08	1
ENSG00000035687.9	Brain_Spinal_cord_cervical_c-1	0.706827993439185	7.76020997745853e-35	1
ENSG00000066557.5	Brain_Spinal_cord_cervical_c-1	0.296310824534534	4.44894001284822e-11	1
ENSG00000067533.5	Brain_Spinal_cord_cervical_c-1	0.249658581408829	2.581789371971e-09	1
ENSG00000067704.9	Brain_Spinal_cord_cervical_c-1	0.335488195082427	1.20254327576746e-12	1
ENSG00000073754.5	Brain_Spinal_cord_cervical_c-1	0.63353764881299	8.34288379207188e-29	1
ENSG00000076258.9	Brain_Spinal_cord_cervical_c-1	0.170818679183797	1.50998638261793e-06	1
ENSG00000077152.9	Brain_Spinal_cord_cervical_c-1	0.133933740157653	2.50656263291827e-05	1
ENSG00000084628.9	Brain_Spinal_cord_cervical_c-1	0.515452337593124	3.06153843824283e-21	1
ENSG00000090432.6	Brain_Spinal_cord_cervical_c-1	0.389745933441256	5.69355829105641e-15	1
ENSG00000091483.6	Brain_Spinal_cord_cervical_c-1	0.355134217628529	1.82055849723738e-13	1
ENSG00000097096.8	Brain_Spinal_cord_cervical_c-1	0.44177035688906	2.13747847507225e-17	1
ENSG00000116157.5	Brain_Spinal_cord_cervical_c-1	0.355356378018399	1.78154440597775e-13	1
ENSG00000116251.9	Brain_Spinal_cord_cervical_c-1	0.269437672451047	4.753119678966e-10	1
ENSG00000116771.5	Brain_Spinal_cord_cervical_c-1	0.129180626023306	3.57709230563343e-05	1
ENSG00000116903.7	Brain_Spinal_cord_cervical_c-1	0.227722196605266	1.60919879213178e-08	1
ENSG00000117118.9	Brain_Spinal_cord_cervical_c-1	0.527973063880053	5.96978392172232e-22	1
ENSG00000117228.9	Brain_Spinal_cord_cervical_c-1	0.355384571117309	1.77665259815013e-13	1
ENSG00000117318.8	Brain_Spinal_cord_cervical_c-1	0.305478252963152	1.94477741865485e-11	1
ENSG00000117472.9	Brain_Spinal_cord_cervical_c-1	0.214860980496322	4.60424515901525e-08	1
ENSG00000117560.7	Brain_Spinal_cord_cervical_c-1	0.0941968292304882	0.000473112652634224	1
ENSG00000117593.9	Brain_Spinal_cord_cervical_c-1	0.229736928774414	1.36294236937464e-08	1
ENSG00000117691.9	Brain_Spinal_cord_cervical_c-1	0.413218281715073	4.86458195019185e-16	1
ENSG00000117748.9	Brain_Spinal_cord_cervical_c-1	0.619968114305328	8.03383758905303e-28	1
ENSG00000118217.5	Brain_Spinal_cord_cervical_c-1	0.577048986763105	6.3276196819774e-25	1
ENSG00000118655.4	Brain_Spinal_cord_cervical_c-1	0.605958518269699	7.66512108884566e-27	1
ENSG00000120333.4	Brain_Spinal_cord_cervical_c-1	0.296526951959632	4.36349764839514e-11	1
ENSG00000120337.8	Brain_Spinal_cord_cervical_c-1	0.363140343447102	8.30189449942226e-14	1
ENSG00000121769.7	Brain_Spinal_cord_cervical_c-1	0.320693532062139	4.81241746519674e-12	1
ENSG00000121905.9	Brain_Spinal_cord_cervical_c-1	0.247620181705962	3.06653804764871e-09	1
ENSG00000122180.4	Brain_Spinal_cord_cervical_c-1	0.50031738756593	2.09120055817944e-20	1
ENSG00000122420.9	Brain_Spinal_cord_cervical_c-1	0.259742361370039	1.09519783697391e-09	1
ENSG00000122435.9	Brain_Spinal_cord_cervical_c-1	0.291831831856054	6.64114727591209e-11	1
ENSG00000122484.8	Brain_Spinal_cord_cervical_c-1	0.58614450999177	1.63143927561653e-25	1
ENSG00000127125.8	Brain_Spinal_cord_cervical_c-1	0.384160789838634	1.00857768326606e-14	1
ENSG00000130764.9	Brain_Spinal_cord_cervical_c-1	0.445225771183913	1.44903029834325e-17	1
ENSG00000131233.9	Brain_Spinal_cord_cervical_c-1	0.379426755871778	1.63113712358429e-14	1
ENSG00000134198.9	Brain_Spinal_cord_cervical_c-1	0.66519856813652	3.00588859001157e-31	1
ENSG00000134259.3	Brain_Spinal_cord_cervical_c-1	0.122177501382561	6.02673209025893e-05	1
ENSG00000135763.9	Brain_Spinal_cord_cervical_c-1	0.130600409229168	3.21702452485048e-05	1
ENSG00000135776.4	Brain_Spinal_cord_cervical_c-1	0.402959441470474	1.44209377918982e-15	1
ENSG00000135845.9	Brain_Spinal_cord_cervical_c-1	0.447804282758703	1.08249252040694e-17	1
ENSG00000135862.5	Brain_Spinal_cord_cervical_c-1	0.456047728453143	4.2227757465501e-18	1
ENSG00000137960.5	Brain_Spinal_cord_cervical_c-1	0.426509541455466	1.15742919882128e-16	1
ENSG00000137975.7	Brain_Spinal_cord_cervical_c-1	0.455569272786054	4.46161461828367e-18	1
ENSG00000142615.7	Brain_Spinal_cord_cervical_c-1	0.109110249473843	0.000158436652316191	1
ENSG00000142677.3	Brain_Spinal_cord_cervical_c-1	0.0971296362210741	0.000381782009569951	1
ENSG00000142959.4	Brain_Spinal_cord_cervical_c-1	0.323317745986055	3.77098478593925e-12	1
ENSG00000143107.8	Brain_Spinal_cord_cervical_c-1	0.594701661201688	4.43531517660731e-26	1
ENSG00000143162.7	Brain_Spinal_cord_cervical_c-1	0.195963738412557	2.0998973963239e-07	1
ENSG00000143185.3	Brain_Spinal_cord_cervical_c-1	0.324075615268268	3.51395154035424e-12	1
ENSG00000143196.4	Brain_Spinal_cord_cervical_c-1	0.194411727489058	2.37535052446173e-07	1
ENSG00000143217.8	Brain_Spinal_cord_cervical_c-1	0.364524519681458	7.2410008104811e-14	1
ENSG00000143315.6	Brain_Spinal_cord_cervical_c-1	0.261682523196103	9.27472775316355e-10	1
ENSG00000143333.6	Brain_Spinal_cord_cervical_c-1	0.306810085224783	1.72300420253419e-11	1
ENSG00000143368.9	Brain_Spinal_cord_cervical_c-1	0.166702191436808	2.0758340853872e-06	1
