gene	tissue	rsq	pval	chr
ENSG00000008118.9	Brain_Substantia_nigra	0.789148655915467	1.17340267368955e-39	1
ENSG00000016602.9	Brain_Substantia_nigra	0.213584599271229	2.26480486866866e-07	1
ENSG00000023909.9	Brain_Substantia_nigra	0.159816525524402	1.05039610915901e-05	1
ENSG00000066557.5	Brain_Substantia_nigra	0.143456271837896	3.24789370299545e-05	1
ENSG00000067533.5	Brain_Substantia_nigra	0.321575714542819	4.77635053703023e-11	1
ENSG00000073754.5	Brain_Substantia_nigra	0.504149702319265	9.14204751557418e-19	1
ENSG00000076356.6	Brain_Substantia_nigra	0.60517068718297	2.40933322958024e-24	1
ENSG00000077152.9	Brain_Substantia_nigra	0.325804509404365	3.34449386093025e-11	1
ENSG00000084628.9	Brain_Substantia_nigra	0.605107472965725	2.43115382791956e-24	1
ENSG00000090432.6	Brain_Substantia_nigra	0.392510746405016	8.95129208285642e-14	1
ENSG00000091483.6	Brain_Substantia_nigra	0.349367139872866	4.4127107238525e-12	1
ENSG00000097096.8	Brain_Substantia_nigra	0.0888252610040367	0.00127922819422021	1
ENSG00000116652.6	Brain_Substantia_nigra	0.371717331404958	6.04949902314973e-13	1
ENSG00000116711.9	Brain_Substantia_nigra	0.421476908936066	5.60855186365698e-15	1
ENSG00000116954.7	Brain_Substantia_nigra	0.2042936628898	4.46303251242637e-07	1
ENSG00000117016.9	Brain_Substantia_nigra	0.232892439977429	5.4071895871444e-08	1
ENSG00000117118.9	Brain_Substantia_nigra	0.259606995173541	7.06033418292437e-09	1
ENSG00000117228.9	Brain_Substantia_nigra	0.419447451368951	6.8395012745699e-15	1
ENSG00000117472.9	Brain_Substantia_nigra	0.218416896369924	1.58713253758521e-07	1
ENSG00000117560.7	Brain_Substantia_nigra	0.421153769935778	5.78883744440981e-15	1
ENSG00000117593.9	Brain_Substantia_nigra	0.368414356564928	8.14879243786742e-13	1
ENSG00000117594.9	Brain_Substantia_nigra	0.275491292896696	2.03818234490794e-09	1
ENSG00000117614.9	Brain_Substantia_nigra	0.492439535327631	3.41710285337184e-18	1
ENSG00000117691.9	Brain_Substantia_nigra	0.520379112591422	1.39653049691749e-19	1
ENSG00000117748.9	Brain_Substantia_nigra	0.616701725676814	4.53995443380671e-25	1
ENSG00000118655.4	Brain_Substantia_nigra	0.651745158150073	2.05850115486693e-27	1
ENSG00000120937.8	Brain_Substantia_nigra	0.669563266836552	1.07288014691191e-28	1
ENSG00000122435.9	Brain_Substantia_nigra	0.226889806716088	8.4689306588347e-08	1
ENSG00000122484.8	Brain_Substantia_nigra	0.188031196666873	1.43980606780466e-06	1
ENSG00000123685.8	Brain_Substantia_nigra	0.149213399988366	2.18711865899201e-05	1
ENSG00000130764.9	Brain_Substantia_nigra	0.562466704773716	7.8527144949963e-22	1
ENSG00000130766.4	Brain_Substantia_nigra	0.20557612544636	4.06576325657324e-07	1
ENSG00000131791.7	Brain_Substantia_nigra	0.318204048513263	6.33635341772101e-11	1
ENSG00000134259.3	Brain_Substantia_nigra	0.299724963185909	2.91441835284091e-10	1
ENSG00000135744.7	Brain_Substantia_nigra	0.279849895067652	1.44303358862978e-09	1
ENSG00000135776.4	Brain_Substantia_nigra	0.198748565844702	6.66888291658321e-07	1
ENSG00000137975.7	Brain_Substantia_nigra	0.467316672555607	5.24306129937485e-17	1
ENSG00000137976.7	Brain_Substantia_nigra	0.279989136273696	1.42715688921023e-09	1
ENSG00000142694.6	Brain_Substantia_nigra	0.127741498653967	9.46980138967877e-05	1
ENSG00000143028.8	Brain_Substantia_nigra	0.143476298870498	3.24343984039008e-05	1
ENSG00000143067.4	Brain_Substantia_nigra	0.441350064900743	7.74637925641382e-16	1
ENSG00000143125.5	Brain_Substantia_nigra	0.244205862312801	2.30137886541496e-08	1
ENSG00000143126.7	Brain_Substantia_nigra	0.249241794972913	1.56763086481998e-08	1
ENSG00000143162.7	Brain_Substantia_nigra	0.305713723066098	1.78484157030211e-10	1
ENSG00000143184.4	Brain_Substantia_nigra	0.230882804116924	6.28577031414222e-08	1
ENSG00000143185.3	Brain_Substantia_nigra	0.622609485669674	1.89351536544471e-25	1
ENSG00000143196.4	Brain_Substantia_nigra	0.773359958411491	6.7594790579961e-38	1
ENSG00000143315.6	Brain_Substantia_nigra	0.215719656866171	1.93600549866913e-07	1
ENSG00000143412.9	Brain_Substantia_nigra	0.141684280574626	3.66685445666731e-05	1
ENSG00000143630.9	Brain_Substantia_nigra	0.247711684122676	1.76203206666898e-08	1
ENSG00000143641.9	Brain_Substantia_nigra	0.560785297348885	9.74839092050045e-22	1
ENSG00000143862.7	Brain_Substantia_nigra	0.704070814221775	2.17512003132609e-31	1
ENSG00000150681.9	Brain_Substantia_nigra	0.192550424047718	1.04186768043727e-06	1
ENSG00000152760.9	Brain_Substantia_nigra	0.438163867925316	1.06887670823219e-15	1
ENSG00000157911.9	Brain_Substantia_nigra	0.193979813332369	9.40242368475494e-07	1
ENSG00000157933.9	Brain_Substantia_nigra	0.555456289990531	1.92419393330061e-21	1
ENSG00000158008.9	Brain_Substantia_nigra	0.391699080384472	9.65582184911114e-14	1
ENSG00000158022.6	Brain_Substantia_nigra	0.459325973815498	1.21706394304993e-16	1
ENSG00000158246.7	Brain_Substantia_nigra	0.217753467653634	1.66671944779801e-07	1
ENSG00000158615.8	Brain_Substantia_nigra	0.571154236444556	2.53531687807154e-22	1
ENSG00000158715.5	Brain_Substantia_nigra	0.101760412374098	0.000541624855606674	1
ENSG00000158716.8	Brain_Substantia_nigra	0.560568086484078	1.00239544828174e-21	1
ENSG00000158825.5	Brain_Substantia_nigra	0.605967508830123	2.15024228476746e-24	1
ENSG00000158828.7	Brain_Substantia_nigra	0.227292607742227	8.21854509369206e-08	1
ENSG00000158859.9	Brain_Substantia_nigra	0.155153560443521	1.45142983242463e-05	1
ENSG00000159164.9	Brain_Substantia_nigra	0.483179422349465	9.49185111003293e-18	1
ENSG00000160714.9	Brain_Substantia_nigra	0.354451531835655	2.82431793989136e-12	1
ENSG00000160803.7	Brain_Substantia_nigra	0.545923576322305	6.36653570279294e-21	1
ENSG00000162366.7	Brain_Substantia_nigra	0.39477755213421	7.24048417376505e-14	1
ENSG00000162377.5	Brain_Substantia_nigra	0.629306439071608	6.91124995933049e-26	1
ENSG00000162407.8	Brain_Substantia_nigra	0.139214163440724	4.34128984720119e-05	1
ENSG00000162456.9	Brain_Substantia_nigra	0.15402675632722	1.56908594774719e-05	1
ENSG00000162461.7	Brain_Substantia_nigra	0.335373524225749	1.4814698530573e-11	1
ENSG00000162482.4	Brain_Substantia_nigra	0.170093386538202	5.12511857111046e-06	1
ENSG00000162490.6	Brain_Substantia_nigra	0.178749691167676	2.78503734227372e-06	1
ENSG00000162545.5	Brain_Substantia_nigra	0.620990377954774	2.40955603427611e-25	1
ENSG00000162654.8	Brain_Substantia_nigra	0.107171224775373	0.000377508601098588	1
ENSG00000162722.8	Brain_Substantia_nigra	0.72715996818496	2.26454903201831e-33	1
ENSG00000162728.4	Brain_Substantia_nigra	0.213043222234072	2.3565637462092e-07	1
ENSG00000162757.4	Brain_Substantia_nigra	0.203212366193734	4.82751633753705e-07	1
ENSG00000162817.6	Brain_Substantia_nigra	0.096658211618972	0.000760599066561351	1
