gene	tissue	rsq	pval	chr
ENSG00000000457.13	Breast_Mammary_Tissue	0.315650098466479	2.52217028331539e-34	1
ENSG00000000460.16	Breast_Mammary_Tissue	0.0412656900300088	4.65742880870088e-05	1
ENSG00000000938.12	Breast_Mammary_Tissue	0.141266959890858	9.82939009865751e-15	1
ENSG00000000971.15	Breast_Mammary_Tissue	0.0634689207217304	3.78099018243024e-07	1
ENSG00000001460.17	Breast_Mammary_Tissue	0.205109665155265	2.01508549419215e-21	1
ENSG00000001461.16	Breast_Mammary_Tissue	0.0874132889061017	1.97857257055592e-09	1
ENSG00000004487.15	Breast_Mammary_Tissue	0.238669592144428	3.81507053811942e-25	1
ENSG00000007341.18	Breast_Mammary_Tissue	0.40188812792639	6.70477033949482e-46	1
ENSG00000007908.15	Breast_Mammary_Tissue	0.0330604475776741	0.000275613967634769	1
ENSG00000007923.15	Breast_Mammary_Tissue	0.149039072296987	1.59738496122702e-15	1
ENSG00000007933.12	Breast_Mammary_Tissue	0.247353193129486	3.91248822138874e-26	1
ENSG00000008128.22	Breast_Mammary_Tissue	0.467940631266819	6.04952793571559e-56	1
ENSG00000008130.15	Breast_Mammary_Tissue	0.132450389669018	7.58509562009824e-14	1
ENSG00000009307.15	Breast_Mammary_Tissue	0.047402914090727	1.23412648406874e-05	1
ENSG00000009724.16	Breast_Mammary_Tissue	0.271727472814798	5.69982885935449e-29	1
ENSG00000009780.15	Breast_Mammary_Tissue	0.218950431636433	6.13195244354373e-23	1
ENSG00000010165.19	Breast_Mammary_Tissue	0.150397796660517	1.16087414597299e-15	1
ENSG00000010803.16	Breast_Mammary_Tissue	0.124028004602011	5.25171598021556e-13	1
ENSG00000010932.16	Breast_Mammary_Tissue	0.126705504304419	2.84396549725242e-13	1
ENSG00000011021.21	Breast_Mammary_Tissue	0.450434574136521	3.62739525618883e-53	1
ENSG00000014914.20	Breast_Mammary_Tissue	0.277199529057341	1.27742649197497e-29	1
ENSG00000016490.15	Breast_Mammary_Tissue	0.0312416675542845	0.000409184318353375	1
ENSG00000018625.14	Breast_Mammary_Tissue	0.0839445729309394	4.25857108801245e-09	1
ENSG00000020633.18	Breast_Mammary_Tissue	0.0449908109909895	2.07999739474065e-05	1
ENSG00000023572.8	Breast_Mammary_Tissue	0.0299595382744704	0.000540833093101561	1
ENSG00000023902.13	Breast_Mammary_Tissue	0.0803589407408707	9.38553156307207e-09	1
ENSG00000023909.9	Breast_Mammary_Tissue	0.0626270435931287	4.54131588267109e-07	1
ENSG00000024526.16	Breast_Mammary_Tissue	0.263299678353878	5.58436908813929e-28	1
ENSG00000025800.13	Breast_Mammary_Tissue	0.237707681789774	4.90218810327831e-25	1
ENSG00000026751.16	Breast_Mammary_Tissue	0.0426470331293717	3.45399540003163e-05	1
ENSG00000027869.11	Breast_Mammary_Tissue	0.0941330933495361	4.45399203485793e-10	1
ENSG00000028137.18	Breast_Mammary_Tissue	0.142252738572154	7.81261843508836e-15	1
ENSG00000031698.12	Breast_Mammary_Tissue	0.0671892607591756	1.68077665461837e-07	1
ENSG00000033122.18	Breast_Mammary_Tissue	0.153575611663799	5.49257613622221e-16	1
ENSG00000034971.16	Breast_Mammary_Tissue	0.313030445925543	5.37568840294362e-34	1
