gene	tissue	rsq	pval	chr
ENSG00000134253.9	Cells_Cultured_fibroblasts	0.214039621754382	5.44515500362772e-27	1
ENSG00000236098.1	Cells_Cultured_fibroblasts	0.271630390516775	5.45614568780363e-35	1
ENSG00000260360.1	Cells_Cultured_fibroblasts	0.0338082560041219	4.79905279341007e-05	1
ENSG00000008118.9	Cells_Cultured_fibroblasts	0.324177864092679	7.55249688995283e-43	1
ENSG00000023572.8	Cells_Cultured_fibroblasts	0.112995758439735	3.18747961189879e-14	1
ENSG00000023909.9	Cells_Cultured_fibroblasts	0.329007130368627	1.33622751578446e-43	1
ENSG00000027644.4	Cells_Cultured_fibroblasts	0.111245532681341	5.15956667945035e-14	1
ENSG00000035687.9	Cells_Cultured_fibroblasts	0.137626029299892	3.31611724582044e-17	1
ENSG00000053372.4	Cells_Cultured_fibroblasts	0.136594359339594	4.43705758570496e-17	1
ENSG00000059588.9	Cells_Cultured_fibroblasts	0.0455902816085057	2.18932274659503e-06	1
ENSG00000066557.5	Cells_Cultured_fibroblasts	0.0709356757128774	2.74883869411279e-09	1
ENSG00000067704.9	Cells_Cultured_fibroblasts	0.331899212249599	4.70808413188763e-44	1
ENSG00000076258.9	Cells_Cultured_fibroblasts	0.116842940539741	1.10259565798368e-14	1
ENSG00000077152.9	Cells_Cultured_fibroblasts	0.0807963092365491	1.98510969391382e-10	1
ENSG00000084073.8	Cells_Cultured_fibroblasts	0.401288604769223	1.50798343096049e-55	1
ENSG00000090432.6	Cells_Cultured_fibroblasts	0.558488463208387	1.97238309250504e-87	1
ENSG00000091483.6	Cells_Cultured_fibroblasts	0.102258094845659	6.04175363276918e-13	1
ENSG00000097096.8	Cells_Cultured_fibroblasts	0.232275013906573	1.8479170695976e-29	1
ENSG00000116157.5	Cells_Cultured_fibroblasts	0.753705546354001	1.84750916915471e-148	1
ENSG00000116273.5	Cells_Cultured_fibroblasts	0.0424204196445106	5.02415059246488e-06	1
ENSG00000116661.9	Cells_Cultured_fibroblasts	0.0583352915928252	7.69601725106808e-08	1
ENSG00000116704.7	Cells_Cultured_fibroblasts	0.158660845821219	8.15290342930861e-20	1
ENSG00000116711.9	Cells_Cultured_fibroblasts	0.110602106497963	6.15769778088905e-14	1
ENSG00000116741.7	Cells_Cultured_fibroblasts	0.101096746608423	8.29048981286053e-13	1
ENSG00000116752.5	Cells_Cultured_fibroblasts	0.111067684170948	5.41810750482004e-14	1
ENSG00000116771.5	Cells_Cultured_fibroblasts	0.435627347484575	9.8071017560009e-62	1
ENSG00000116903.7	Cells_Cultured_fibroblasts	0.188029675120625	1.45927248765541e-23	1
ENSG00000116954.7	Cells_Cultured_fibroblasts	0.0537329870871725	2.58352094838465e-07	1
ENSG00000117000.8	Cells_Cultured_fibroblasts	0.0478083133028325	1.22389078851602e-06	1
ENSG00000117148.7	Cells_Cultured_fibroblasts	0.209405903232032	2.26281561777086e-26	1
ENSG00000117228.9	Cells_Cultured_fibroblasts	0.141696718043758	1.04780790954466e-17	1
ENSG00000117472.9	Cells_Cultured_fibroblasts	0.0930950003978673	7.26829608145748e-12	1
ENSG00000117507.6	Cells_Cultured_fibroblasts	0.0268237088689188	0.000300889724214817	1
ENSG00000117593.9	Cells_Cultured_fibroblasts	0.154109516735418	3.02673518337133e-19	1
ENSG00000117594.9	Cells_Cultured_fibroblasts	0.0609024393394188	3.91152045159336e-08	1
ENSG00000117691.9	Cells_Cultured_fibroblasts	0.106202029926189	2.05768139557612e-13	1
ENSG00000117748.9	Cells_Cultured_fibroblasts	0.543240289234363	7.03568456598592e-84	1
ENSG00000118217.5	Cells_Cultured_fibroblasts	0.137683261307061	3.26294815195745e-17	1
ENSG00000118292.8	Cells_Cultured_fibroblasts	0.156183654486779	1.66618222221214e-19	1
ENSG00000118655.4	Cells_Cultured_fibroblasts	0.115200399912197	1.73566345473569e-14	1
ENSG00000120333.4	Cells_Cultured_fibroblasts	0.132761646338369	1.30533238878509e-16	1
ENSG00000120337.8	Cells_Cultured_fibroblasts	0.050675869565117	5.76725802300262e-07	1
ENSG00000121454.5	Cells_Cultured_fibroblasts	0.325401385329781	4.87547626949929e-43	1
ENSG00000121769.7	Cells_Cultured_fibroblasts	0.111821209744771	4.40407379144753e-14	1
ENSG00000122420.9	Cells_Cultured_fibroblasts	0.464427254293767	3.21361467536796e-67	1
ENSG00000122484.8	Cells_Cultured_fibroblasts	0.150698845896441	8.053802795905e-19	1
ENSG00000123091.4	Cells_Cultured_fibroblasts	0.038492349729128	1.40596168841572e-05	1
ENSG00000123685.8	Cells_Cultured_fibroblasts	0.326382463574836	3.43052803724521e-43	1
ENSG00000123689.5	Cells_Cultured_fibroblasts	0.285743118650812	4.81310943163665e-37	1
ENSG00000130764.9	Cells_Cultured_fibroblasts	0.336489843235183	8.90722271088802e-45	1
ENSG00000131233.9	Cells_Cultured_fibroblasts	0.0659863473788188	1.02083314261426e-08	1
ENSG00000132703.3	Cells_Cultured_fibroblasts	0.119871635220979	4.76685365301973e-15	1
ENSG00000132718.8	Cells_Cultured_fibroblasts	0.285874318708082	4.60404905168286e-37	1
ENSG00000133055.8	Cells_Cultured_fibroblasts	0.129607917454786	3.1617291115544e-16	1
ENSG00000134198.9	Cells_Cultured_fibroblasts	0.21162934413185	1.14350924578856e-26	1
ENSG00000135744.7	Cells_Cultured_fibroblasts	0.549462726599263	2.58331994450166e-85	1
ENSG00000135766.8	Cells_Cultured_fibroblasts	0.337355801252515	6.49808399265253e-45	1
ENSG00000135776.4	Cells_Cultured_fibroblasts	0.289871401035929	1.1855306066339e-37	1
ENSG00000135801.9	Cells_Cultured_fibroblasts	0.10305524488129	4.86131475947337e-13	1
ENSG00000135862.5	Cells_Cultured_fibroblasts	0.123655604011539	1.66599128747301e-15	1
ENSG00000137960.5	Cells_Cultured_fibroblasts	0.0905697146234799	1.43744343597085e-11	1
ENSG00000137975.7	Cells_Cultured_fibroblasts	0.0612163520781401	3.60060468318781e-08	1
ENSG00000142619.4	Cells_Cultured_fibroblasts	0.0698323739866231	3.68415811082222e-09	1
ENSG00000142677.3	Cells_Cultured_fibroblasts	0.0311005606998691	9.76718676429859e-05	1
ENSG00000142686.7	Cells_Cultured_fibroblasts	0.17269545478927	1.36875754474516e-21	1
ENSG00000142694.6	Cells_Cultured_fibroblasts	0.282082575628748	1.65619066533864e-36	1
ENSG00000143028.8	Cells_Cultured_fibroblasts	0.16525599555281	1.20421638368036e-20	1
ENSG00000143067.4	Cells_Cultured_fibroblasts	0.33712003400882	7.08094112149844e-45	1
