gene	tissue	rsq	pval	chr
ENSG00000196734.8	Cells_EBV-transformed_lymphocytes	0.362890756501402	6.93561476613609e-16	1
ENSG00000236069.1	Cells_EBV-transformed_lymphocytes	0.906910218934669	1.22128787892052e-76	1
ENSG00000007968.6	Cells_EBV-transformed_lymphocytes	0.194971041442522	2.16473496826902e-08	1
ENSG00000016602.9	Cells_EBV-transformed_lymphocytes	0.321903759908953	6.74913792659128e-14	1
ENSG00000023572.8	Cells_EBV-transformed_lymphocytes	0.3408354542699	8.42847139193786e-15	1
ENSG00000023909.9	Cells_EBV-transformed_lymphocytes	0.309815334874107	2.47507344599404e-13	1
ENSG00000035687.9	Cells_EBV-transformed_lymphocytes	0.942734905039223	6.02777649314154e-92	1
ENSG00000053372.4	Cells_EBV-transformed_lymphocytes	0.216848363478925	2.79359690311152e-09	1
ENSG00000059588.9	Cells_EBV-transformed_lymphocytes	0.275610528225623	8.72748516426042e-12	1
ENSG00000066557.5	Cells_EBV-transformed_lymphocytes	0.185214855304159	5.31055144074109e-08	1
ENSG00000067533.5	Cells_EBV-transformed_lymphocytes	0.420869632358046	6.39355424375078e-19	1
ENSG00000067704.9	Cells_EBV-transformed_lymphocytes	0.212690255065145	4.13868718769379e-09	1
ENSG00000076258.9	Cells_EBV-transformed_lymphocytes	0.0850253205739832	0.000339194249572228	1
ENSG00000084073.8	Cells_EBV-transformed_lymphocytes	0.100580612985263	9.08272648934757e-05	1
ENSG00000097096.8	Cells_EBV-transformed_lymphocytes	0.0976579725760992	0.000116433609594135	1
ENSG00000116157.5	Cells_EBV-transformed_lymphocytes	0.575725825239594	8.76247446022963e-29	1
ENSG00000116251.9	Cells_EBV-transformed_lymphocytes	0.284332975276432	3.57269233385852e-12	1
ENSG00000116273.5	Cells_EBV-transformed_lymphocytes	0.210987461384521	4.85884452464743e-09	1
ENSG00000116652.6	Cells_EBV-transformed_lymphocytes	0.50781170036376	4.40915807104685e-24	1
ENSG00000116704.7	Cells_EBV-transformed_lymphocytes	0.389883073050491	2.90388915197998e-17	1
ENSG00000116741.7	Cells_EBV-transformed_lymphocytes	0.487081640542171	8.95665941149404e-23	1
ENSG00000116752.5	Cells_EBV-transformed_lymphocytes	0.354411829000161	1.82938451768197e-15	1
ENSG00000116903.7	Cells_EBV-transformed_lymphocytes	0.33656178501258	1.35477441733409e-14	1
ENSG00000116954.7	Cells_EBV-transformed_lymphocytes	0.428532683275123	2.41288223488219e-19	1
ENSG00000116981.3	Cells_EBV-transformed_lymphocytes	0.171341567845204	1.87293033127833e-07	1
ENSG00000117091.9	Cells_EBV-transformed_lymphocytes	0.224115831242602	1.39911121027285e-09	1
ENSG00000117228.9	Cells_EBV-transformed_lymphocytes	0.41913421445362	7.95833968404447e-19	1
ENSG00000117318.8	Cells_EBV-transformed_lymphocytes	0.0784475265233878	0.000590605311167992	1
ENSG00000117560.7	Cells_EBV-transformed_lymphocytes	0.528475147127138	1.92965598899306e-25	1
ENSG00000117593.9	Cells_EBV-transformed_lymphocytes	0.0848310435358292	0.000344802030668315	1
ENSG00000117594.9	Cells_EBV-transformed_lymphocytes	0.111550375706266	3.56165114508705e-05	1
ENSG00000117614.9	Cells_EBV-transformed_lymphocytes	0.299515428369337	7.36269130949115e-13	1
