gene	tissue	rsq	pval	chr
ENSG00000162763.3	Colon_Sigmoid	0.0815867207664022	2.19664582788197e-07	1
ENSG00000235021.1	Colon_Sigmoid	0.222157004818601	5.42865948672499e-19	1
ENSG00000007968.6	Colon_Sigmoid	0.0518060676713649	4.18949398627863e-05	1
ENSG00000008118.9	Colon_Sigmoid	0.136918302188769	9.36487647205087e-12	1
ENSG00000023572.8	Colon_Sigmoid	0.177234617565453	4.31482528306953e-15	1
ENSG00000023909.9	Colon_Sigmoid	0.369409830792592	1.68172368421533e-33	1
ENSG00000027644.4	Colon_Sigmoid	0.185426854584638	8.6858853160872e-16	1
ENSG00000035687.9	Colon_Sigmoid	0.063047987543971	5.81977983385446e-06	1
ENSG00000057468.6	Colon_Sigmoid	0.511294932308273	4.62937686959752e-51	1
ENSG00000059588.9	Colon_Sigmoid	0.268177732649383	3.23577925892421e-23	1
ENSG00000067533.5	Colon_Sigmoid	0.38200791724799	6.82078856832975e-35	1
ENSG00000076258.9	Colon_Sigmoid	0.259718734767053	2.02013068955697e-22	1
ENSG00000076356.6	Colon_Sigmoid	0.204074263374516	2.13573853110759e-17	1
ENSG00000077152.9	Colon_Sigmoid	0.109703925349561	1.40485155686842e-09	1
ENSG00000084073.8	Colon_Sigmoid	0.126247826501465	6.78420319391632e-11	1
ENSG00000090432.6	Colon_Sigmoid	0.327323594199502	4.84038722034876e-29	1
ENSG00000097096.8	Colon_Sigmoid	0.0901883382548603	4.73896828341881e-08	1
ENSG00000116157.5	Colon_Sigmoid	0.542636634524923	1.27248304045348e-55	1
ENSG00000116652.6	Colon_Sigmoid	0.0943107061237178	2.26432516100561e-08	1
ENSG00000116711.9	Colon_Sigmoid	0.270635454563731	1.89325372617175e-23	1
ENSG00000116745.6	Colon_Sigmoid	0.0816757478689291	2.16215576453913e-07	1
ENSG00000116752.5	Colon_Sigmoid	0.184816403822588	9.79290679957746e-16	1
ENSG00000116819.6	Colon_Sigmoid	0.428562049032905	2.72306653947603e-40	1
ENSG00000116824.4	Colon_Sigmoid	0.17234338322976	1.11572363837386e-14	1
ENSG00000116954.7	Colon_Sigmoid	0.291504165152637	1.8597971493921e-25	1
ENSG00000117000.8	Colon_Sigmoid	0.132338043842598	2.19665571191745e-11	1
ENSG00000117228.9	Colon_Sigmoid	0.1651233242702	4.49288038239608e-14	1
ENSG00000117318.8	Colon_Sigmoid	0.0488917756167354	6.98345400513072e-05	1
ENSG00000117593.9	Colon_Sigmoid	0.158463672383089	1.6081523187896e-13	1
ENSG00000117594.9	Colon_Sigmoid	0.47292915926003	7.3815287756872e-46	1
ENSG00000117614.9	Colon_Sigmoid	0.538011128099547	6.26572960631653e-55	1
ENSG00000117691.9	Colon_Sigmoid	0.450841900593892	4.95770786862614e-43	1
ENSG00000117748.9	Colon_Sigmoid	0.571596578332356	4.02673959991505e-60	1
ENSG00000118217.5	Colon_Sigmoid	0.21227983569848	4.07511524650549e-18	1
ENSG00000118292.8	Colon_Sigmoid	0.256146491290844	4.35151531901744e-22	1
ENSG00000118655.4	Colon_Sigmoid	0.184800518350262	9.82351350254843e-16	1
ENSG00000121454.5	Colon_Sigmoid	0.074057450436429	8.34804139772963e-07	1
ENSG00000122420.9	Colon_Sigmoid	0.139152473924728	6.16989370327573e-12	1
ENSG00000123689.5	Colon_Sigmoid	0.12186926854055	1.51990140801383e-10	1
ENSG00000127125.8	Colon_Sigmoid	0.276281965171359	5.48951538530217e-24	1
ENSG00000127129.9	Colon_Sigmoid	0.188204999706091	5.02643048439829e-16	1
ENSG00000130764.9	Colon_Sigmoid	0.0538003764930905	2.95299634906219e-05	1
ENSG00000130766.4	Colon_Sigmoid	0.0543701567987783	2.67211640922597e-05	1
ENSG00000132718.8	Colon_Sigmoid	0.119528323459438	2.3362047274462e-10	1
ENSG00000132855.4	Colon_Sigmoid	0.0537398954309093	2.98449087385252e-05	1
ENSG00000134247.9	Colon_Sigmoid	0.148085722317784	1.15216950463176e-12	1
ENSG00000134253.9	Colon_Sigmoid	0.123777821486539	1.06978770141174e-10	1
ENSG00000134716.9	Colon_Sigmoid	0.0950355043949109	1.98809736236348e-08	1
ENSG00000135763.9	Colon_Sigmoid	0.0576994149339282	1.4897339321848e-05	1
ENSG00000135776.4	Colon_Sigmoid	0.117575396883852	3.34154814224183e-10	1
ENSG00000135801.9	Colon_Sigmoid	0.0529439333496954	3.43163175020344e-05	1
ENSG00000135845.9	Colon_Sigmoid	0.300337494762336	2.52476765754506e-26	1
ENSG00000135862.5	Colon_Sigmoid	0.0805350008052566	2.64803276337318e-07	1
ENSG00000136634.5	Colon_Sigmoid	0.0808193581631464	2.51758783055815e-07	1
ENSG00000137975.7	Colon_Sigmoid	0.0596331651242723	1.06075249204554e-05	1
ENSG00000142694.6	Colon_Sigmoid	0.310824765820586	2.28351771008531e-27	1
ENSG00000143028.8	Colon_Sigmoid	0.23840836210523	1.86610301862107e-20	1
ENSG00000143067.4	Colon_Sigmoid	0.0564967128222956	1.83992523170463e-05	1
ENSG00000143126.7	Colon_Sigmoid	0.277367531530686	4.32212194522114e-24	1
ENSG00000143162.7	Colon_Sigmoid	0.374317114787737	4.86244660900849e-34	1
ENSG00000143185.3	Colon_Sigmoid	0.0732682745988448	9.59845435486334e-07	1
ENSG00000143196.4	Colon_Sigmoid	0.194242733751474	1.52179603084366e-16	1
ENSG00000143256.4	Colon_Sigmoid	0.0692064416178013	1.96680503902625e-06	1
ENSG00000143320.8	Colon_Sigmoid	0.216183463334455	1.84247490309566e-18	1
ENSG00000143333.6	Colon_Sigmoid	0.186634682254947	6.84900797422967e-16	1
ENSG00000143340.6	Colon_Sigmoid	0.229668357618573	1.15297075740047e-19	1
ENSG00000143368.9	Colon_Sigmoid	0.149372187258166	9.03676417705626e-13	1
ENSG00000143412.9	Colon_Sigmoid	0.158328267722259	1.65023554697654e-13	1
ENSG00000143536.7	Colon_Sigmoid	0.0798790897386728	2.97517295339149e-07	1
ENSG00000143545.8	Colon_Sigmoid	0.0829165059606427	1.73402062526224e-07	1
ENSG00000143614.9	Colon_Sigmoid	0.0757476599201908	6.18960567236788e-07	1
