gene	tissue	rsq	pval	chr
ENSG00000235021.1	Colon_Transverse	0.218179934686754	2.42611256001951e-21	1
ENSG00000016602.9	Colon_Transverse	0.237583137128621	2.34160113748865e-23	1
ENSG00000027644.4	Colon_Transverse	0.0346096456667581	0.000333182657533202	1
ENSG00000044012.3	Colon_Transverse	0.204198140599358	6.42241885181027e-20	1
ENSG00000049249.8	Colon_Transverse	0.142669907772891	6.33881930733376e-14	1
ENSG00000053372.4	Colon_Transverse	0.236371282278509	3.1392425918554e-23	1
ENSG00000057468.6	Colon_Transverse	0.444550232157274	1.16004977563477e-48	1
ENSG00000066557.5	Colon_Transverse	0.288579437145931	6.69948549933977e-29	1
ENSG00000067533.5	Colon_Transverse	0.169060475114823	1.91190217525172e-16	1
ENSG00000067704.9	Colon_Transverse	0.0621549973572984	1.27900355331201e-06	1
ENSG00000077152.9	Colon_Transverse	0.105732774552163	1.64759195957001e-10	1
ENSG00000091483.6	Colon_Transverse	0.0497234473436863	1.57753927409866e-05	1
ENSG00000116157.5	Colon_Transverse	0.512780708432217	4.14382985256578e-59	1
ENSG00000116273.5	Colon_Transverse	0.147868598488913	2.04697481886852e-14	1
ENSG00000116661.9	Colon_Transverse	0.238271408578049	1.98207142372622e-23	1
ENSG00000116819.6	Colon_Transverse	0.127123107613461	1.79651511542695e-12	1
ENSG00000116824.4	Colon_Transverse	0.177000980068041	3.22600743479168e-17	1
ENSG00000117000.8	Colon_Transverse	0.0969681612803099	1.02300195020514e-09	1
ENSG00000117118.9	Colon_Transverse	0.0692753949415404	3.01486962811503e-07	1
ENSG00000117148.7	Colon_Transverse	0.184483780059737	5.9432023370579e-18	1
ENSG00000117228.9	Colon_Transverse	0.0997535595849023	5.73467665038743e-10	1
ENSG00000117594.9	Colon_Transverse	0.35586467638787	7.67294373869008e-37	1
ENSG00000117614.9	Colon_Transverse	0.129879415641925	9.96767074471501e-13	1
ENSG00000117748.9	Colon_Transverse	0.584606764476575	8.19804384660179e-72	1
