gene	tissue	rsq	pval	chr
ENSG00000007968.6	Esophagus_Gastroesophageal_Junction	0.164936631700861	1.55086531443541e-14	1
ENSG00000023572.8	Esophagus_Gastroesophageal_Junction	0.0339797369060639	0.000765986475267906	1
ENSG00000023909.9	Esophagus_Gastroesophageal_Junction	0.0717713734262275	7.8612902529092e-07	1
ENSG00000057468.6	Esophagus_Gastroesophageal_Junction	0.435619310606972	1.2029891722356e-42	1
ENSG00000059588.9	Esophagus_Gastroesophageal_Junction	0.258908352253923	3.9120520112253e-23	1
ENSG00000076258.9	Esophagus_Gastroesophageal_Junction	0.165949381422372	1.26723812317182e-14	1
ENSG00000076356.6	Esophagus_Gastroesophageal_Junction	0.58735641806348	5.15961206097962e-65	1
ENSG00000077152.9	Esophagus_Gastroesophageal_Junction	0.0653302749369503	2.55223506726783e-06	1
ENSG00000097096.8	Esophagus_Gastroesophageal_Junction	0.191084008649646	7.83099571428278e-17	1
ENSG00000116157.5	Esophagus_Gastroesophageal_Junction	0.405641497803221	6.04844984620109e-39	1
ENSG00000116652.6	Esophagus_Gastroesophageal_Junction	0.126236213231068	2.97184075347853e-11	1
ENSG00000116661.9	Esophagus_Gastroesophageal_Junction	0.157091917205034	7.35790518359164e-14	1
ENSG00000116771.5	Esophagus_Gastroesophageal_Junction	0.0542733953151368	1.91177417458409e-05	1
ENSG00000116819.6	Esophagus_Gastroesophageal_Junction	0.212119945048567	9.88735777587997e-19	1
ENSG00000116981.3	Esophagus_Gastroesophageal_Junction	0.140520303446537	1.89119241177233e-12	1
ENSG00000117000.8	Esophagus_Gastroesophageal_Junction	0.0487166859331181	5.24739450851722e-05	1
ENSG00000117118.9	Esophagus_Gastroesophageal_Junction	0.16657498967866	1.1184707663423e-14	1
ENSG00000117228.9	Esophagus_Gastroesophageal_Junction	0.181575432688156	5.45632702859379e-16	1
ENSG00000117318.8	Esophagus_Gastroesophageal_Junction	0.135022285604463	5.48551569955315e-12	1
ENSG00000117472.9	Esophagus_Gastroesophageal_Junction	0.244337007984721	9.80652523496044e-22	1
ENSG00000117507.6	Esophagus_Gastroesophageal_Junction	0.196012408275196	2.83911058760852e-17	1
ENSG00000117592.8	Esophagus_Gastroesophageal_Junction	0.310328177571451	2.70552312257381e-28	1
ENSG00000117593.9	Esophagus_Gastroesophageal_Junction	0.180555833522667	6.71059905233596e-16	1
ENSG00000117691.9	Esophagus_Gastroesophageal_Junction	0.410328379215705	1.64177005909941e-39	1
ENSG00000117748.9	Esophagus_Gastroesophageal_Junction	0.641534534445364	4.66327103695977e-75	1
ENSG00000118217.5	Esophagus_Gastroesophageal_Junction	0.327263814833741	4.46790248970114e-30	1
ENSG00000118292.8	Esophagus_Gastroesophageal_Junction	0.24899758671642	3.52265445463476e-22	1
ENSG00000118655.4	Esophagus_Gastroesophageal_Junction	0.0862508433559754	5.47573354330938e-08	1
ENSG00000120337.8	Esophagus_Gastroesophageal_Junction	0.413914968020848	6.01057296175862e-40	1
ENSG00000121454.5	Esophagus_Gastroesophageal_Junction	0.266029291679491	7.92428926882832e-24	1
ENSG00000121769.7	Esophagus_Gastroesophageal_Junction	0.124396387475026	4.22559699886756e-11	1
ENSG00000122420.9	Esophagus_Gastroesophageal_Junction	0.226422301007629	4.74758433668035e-20	1
ENSG00000122484.8	Esophagus_Gastroesophageal_Junction	0.0366176282321216	0.00047345323343447	1
ENSG00000123091.4	Esophagus_Gastroesophageal_Junction	0.170155249936847	5.46430198272224e-15	1
ENSG00000123689.5	Esophagus_Gastroesophageal_Junction	0.100117717131816	4.15673919371783e-09	1
ENSG00000127125.8	Esophagus_Gastroesophageal_Junction	0.0812220349078495	1.38540360713441e-07	1
ENSG00000127129.9	Esophagus_Gastroesophageal_Junction	0.185620477721943	2.3953391232278e-16	1
ENSG00000130764.9	Esophagus_Gastroesophageal_Junction	0.378393672629121	9.75201351142778e-36	1
ENSG00000131791.7	Esophagus_Gastroesophageal_Junction	0.0989982558590374	5.12402659205733e-09	1
ENSG00000132718.8	Esophagus_Gastroesophageal_Junction	0.124138844238566	4.43878862805819e-11	1
ENSG00000132855.4	Esophagus_Gastroesophageal_Junction	0.0746106486180423	4.67160584562352e-07	1
ENSG00000134198.9	Esophagus_Gastroesophageal_Junction	0.0951609315297868	1.04813991871227e-08	1
ENSG00000134200.3	Esophagus_Gastroesophageal_Junction	0.165144954103963	1.48778061286461e-14	1
ENSG00000134247.9	Esophagus_Gastroesophageal_Junction	0.271848383756924	2.12534860557849e-24	1
ENSG00000134253.9	Esophagus_Gastroesophageal_Junction	0.168904799654175	7.01982636732479e-15	1
ENSG00000134259.3	Esophagus_Gastroesophageal_Junction	0.277052816070979	6.49380441520378e-25	1
ENSG00000134716.9	Esophagus_Gastroesophageal_Junction	0.0792695894623247	1.98477214508241e-07	1
ENSG00000135744.7	Esophagus_Gastroesophageal_Junction	0.343311830099799	8.32248898905427e-32	1
ENSG00000135763.9	Esophagus_Gastroesophageal_Junction	0.218197533953902	2.73883921690364e-19	1
ENSG00000135845.9	Esophagus_Gastroesophageal_Junction	0.258390682775531	4.39100455361466e-23	1
ENSG00000135862.5	Esophagus_Gastroesophageal_Junction	0.0747547727070514	4.54969695490293e-07	1
ENSG00000142615.7	Esophagus_Gastroesophageal_Junction	0.1403237102127	1.96479530586916e-12	1
ENSG00000142677.3	Esophagus_Gastroesophageal_Junction	0.145451172418269	7.24011631477292e-13	1
ENSG00000142686.7	Esophagus_Gastroesophageal_Junction	0.206056475918576	3.52568561882099e-18	1
ENSG00000142959.4	Esophagus_Gastroesophageal_Junction	0.220794219038426	1.5779975625245e-19	1
ENSG00000143001.4	Esophagus_Gastroesophageal_Junction	0.253848507708404	1.20567003724741e-22	1
ENSG00000143028.8	Esophagus_Gastroesophageal_Junction	0.379381105827858	7.50423006962832e-36	1
ENSG00000143067.4	Esophagus_Gastroesophageal_Junction	0.130866747641782	1.22202506556288e-11	1
ENSG00000143126.7	Esophagus_Gastroesophageal_Junction	0.39916670147238	3.60405089564651e-38	1
ENSG00000143162.7	Esophagus_Gastroesophageal_Junction	0.212743317780339	8.67131830593034e-19	1
ENSG00000143184.4	Esophagus_Gastroesophageal_Junction	0.380368988641427	5.77147978725691e-36	1
ENSG00000143185.3	Esophagus_Gastroesophageal_Junction	0.173905879590109	2.57226481274721e-15	1
ENSG00000143256.4	Esophagus_Gastroesophageal_Junction	0.126476038819313	2.83843824562566e-11	1
ENSG00000143320.8	Esophagus_Gastroesophageal_Junction	0.112513818299737	4.04338395796383e-10	1
ENSG00000143333.6	Esophagus_Gastroesophageal_Junction	0.0413848724865691	0.000198833176375832	1
ENSG00000143368.9	Esophagus_Gastroesophageal_Junction	0.0889372626582243	3.33024471960767e-08	1
ENSG00000143552.9	Esophagus_Gastroesophageal_Junction	0.34277737859335	9.51762689481513e-32	1
ENSG00000143556.8	Esophagus_Gastroesophageal_Junction	0.113977736284499	3.06542517867042e-10	1
