gene	tissue	rsq	pval	chr
ENSG00000007968.6	Esophagus_Mucosa	0.138707623701863	8.46984410986264e-18	1
ENSG00000008118.9	Esophagus_Mucosa	0.069262825298245	2.55755362127376e-09	1
ENSG00000016602.9	Esophagus_Mucosa	0.123417961140296	6.98055011046747e-16	1
ENSG00000023572.8	Esophagus_Mucosa	0.0871660635231655	1.8728145551068e-11	1
ENSG00000023909.9	Esophagus_Mucosa	0.263208381349592	1.02249943575987e-34	1
ENSG00000027644.4	Esophagus_Mucosa	0.0646487035690661	8.9857307103884e-09	1
ENSG00000035687.9	Esophagus_Mucosa	0.200372535798594	7.32462105546167e-26	1
ENSG00000049249.8	Esophagus_Mucosa	0.0382740264043718	1.11806339268199e-05	1
ENSG00000053372.4	Esophagus_Mucosa	0.174895027279639	1.84089127186243e-22	1
ENSG00000057468.6	Esophagus_Mucosa	0.386344672182911	1.86581929608587e-54	1
ENSG00000059588.9	Esophagus_Mucosa	0.280585366906594	2.6948948622688e-37	1
ENSG00000067533.5	Esophagus_Mucosa	0.370264960026309	1.14883648144259e-51	1
ENSG00000076258.9	Esophagus_Mucosa	0.103504312733241	1.97403160513533e-13	1
ENSG00000076356.6	Esophagus_Mucosa	0.0703438131486785	1.90423957418262e-09	1
ENSG00000084073.8	Esophagus_Mucosa	0.299501436057424	3.5685556558143e-40	1
ENSG00000090432.6	Esophagus_Mucosa	0.36333203622599	1.74266978890822e-50	1
ENSG00000097096.8	Esophagus_Mucosa	0.188015503713441	3.36272000148696e-24	1
ENSG00000116157.5	Esophagus_Mucosa	0.365786476120122	6.67710274706059e-51	1
ENSG00000116649.9	Esophagus_Mucosa	0.145174654301294	1.28269998593947e-18	1
ENSG00000116661.9	Esophagus_Mucosa	0.161780604699608	9.47482888425172e-21	1
ENSG00000116704.7	Esophagus_Mucosa	0.127926344974935	1.91461225524547e-16	1
ENSG00000116752.5	Esophagus_Mucosa	0.183007412033035	1.56081048738149e-23	1
ENSG00000116771.5	Esophagus_Mucosa	0.225319353303161	2.70978224937756e-29	1
