gene	tissue	rsq	pval	chr
ENSG00000008118.9	Esophagus_Muscularis	0.0487542080967103	1.52424329305678e-06	1
ENSG00000023572.8	Esophagus_Muscularis	0.161593226745667	1.73686689880536e-19	1
ENSG00000023909.9	Esophagus_Muscularis	0.0476268290852053	2.02693456616817e-06	1
ENSG00000035687.9	Esophagus_Muscularis	0.055982834674883	2.44456243576782e-07	1
ENSG00000053372.4	Esophagus_Muscularis	0.258552425785405	6.07611784164595e-32	1
ENSG00000059588.9	Esophagus_Muscularis	0.0646121702919873	2.72730789097827e-08	1
ENSG00000067533.5	Esophagus_Muscularis	0.35117878852437	2.00165284013059e-45	1
ENSG00000076258.9	Esophagus_Muscularis	0.166957430650157	3.86835235676982e-20	1
ENSG00000084073.8	Esophagus_Muscularis	0.156658345631288	6.86072211994729e-19	1
ENSG00000090432.6	Esophagus_Muscularis	0.399252901149715	3.41996187093707e-53	1
ENSG00000116649.9	Esophagus_Muscularis	0.0313990665639578	0.000122422663636803	1
ENSG00000116661.9	Esophagus_Muscularis	0.314847789318502	6.34688453650822e-40	1
ENSG00000116704.7	Esophagus_Muscularis	0.204810166148254	7.39060780439338e-25	1
ENSG00000116752.5	Esophagus_Muscularis	0.125304278300932	3.57713857953916e-15	1
ENSG00000116771.5	Esophagus_Muscularis	0.103592300437371	1.14433908151705e-12	1
ENSG00000116819.6	Esophagus_Muscularis	0.0552688624792914	2.9296406906747e-07	1
ENSG00000116903.7	Esophagus_Muscularis	0.0487739857264016	1.51663953054779e-06	1
ENSG00000117000.8	Esophagus_Muscularis	0.0434113829548235	5.88052832411991e-06	1
ENSG00000117118.9	Esophagus_Muscularis	0.207274288889623	3.58180760302355e-25	1
ENSG00000117228.9	Esophagus_Muscularis	0.110714674793797	1.74835337192526e-13	1
ENSG00000117472.9	Esophagus_Muscularis	0.181438414812214	6.40949372876774e-22	1
ENSG00000117507.6	Esophagus_Muscularis	0.0957566370461515	8.9119249448581e-12	1
ENSG00000117560.7	Esophagus_Muscularis	0.033609564420834	6.99682569598658e-05	1
ENSG00000117593.9	Esophagus_Muscularis	0.272666215643456	6.91844158242246e-34	1
ENSG00000117594.9	Esophagus_Muscularis	0.0641941538736149	3.03376192471272e-08	1
ENSG00000117691.9	Esophagus_Muscularis	0.297360843978722	2.23168089266698e-37	1
ENSG00000117748.9	Esophagus_Muscularis	0.698825953782603	9.83083303475375e-123	1
ENSG00000118217.5	Esophagus_Muscularis	0.126495439004675	2.59740214729239e-15	1
