gene	tissue	rsq	pval	chr
ENSG00000000460.16	Heart_Atrial_Appendage	0.143100419207772	4.21726925224828e-14	1
ENSG00000000938.12	Heart_Atrial_Appendage	0.0523557081152773	8.28738108610984e-06	1
ENSG00000000971.15	Heart_Atrial_Appendage	0.0899133283059516	3.62940591411598e-09	1
ENSG00000001460.17	Heart_Atrial_Appendage	0.113623924397405	2.45736801374881e-11	1
ENSG00000001461.16	Heart_Atrial_Appendage	0.0454597109670894	3.37989328641915e-05	1
ENSG00000004455.16	Heart_Atrial_Appendage	0.117147186781178	1.1591037835313e-11	1
ENSG00000006555.10	Heart_Atrial_Appendage	0.244706138727393	2.35040668405645e-24	1
ENSG00000007341.18	Heart_Atrial_Appendage	0.34100415288486	2.19904226939167e-35	1
ENSG00000007908.15	Heart_Atrial_Appendage	0.116157132927365	1.43198268005093e-11	1
ENSG00000007923.15	Heart_Atrial_Appendage	0.0635567618645236	8.39975899506912e-07	1
ENSG00000007933.12	Heart_Atrial_Appendage	0.263834481238374	1.96853579763818e-26	1
ENSG00000008128.22	Heart_Atrial_Appendage	0.530151704958459	1.1654222035086e-62	1
ENSG00000008130.15	Heart_Atrial_Appendage	0.132298341522438	4.44580364003804e-13	1
ENSG00000009724.16	Heart_Atrial_Appendage	0.143027346302203	4.28538189955682e-14	1
ENSG00000009780.15	Heart_Atrial_Appendage	0.060252122429596	1.65212955727318e-06	1
ENSG00000009790.14	Heart_Atrial_Appendage	0.0688873472038907	2.81403436169749e-07	1
ENSG00000010072.15	Heart_Atrial_Appendage	0.279721535234383	3.37914038673731e-28	1
ENSG00000010803.16	Heart_Atrial_Appendage	0.10821328898043	7.75440481643553e-11	1
ENSG00000010932.16	Heart_Atrial_Appendage	0.376026074446443	8.58642281136582e-40	1
ENSG00000011007.12	Heart_Atrial_Appendage	0.102755711882076	2.45733477606775e-10	1
ENSG00000011009.10	Heart_Atrial_Appendage	0.0527551517782107	7.63891805496194e-06	1
ENSG00000011021.21	Heart_Atrial_Appendage	0.275802854792869	9.28415639122269e-28	1
ENSG00000014914.20	Heart_Atrial_Appendage	0.0918139254053932	2.44099819335663e-09	1
ENSG00000018625.14	Heart_Atrial_Appendage	0.344210802796227	8.87819472280158e-36	1
ENSG00000020633.18	Heart_Atrial_Appendage	0.369506801333233	5.92433787488699e-39	1
ENSG00000023902.13	Heart_Atrial_Appendage	0.166377657263632	2.40249092444117e-16	1
ENSG00000025800.13	Heart_Atrial_Appendage	0.0774620632991454	4.80999062370189e-08	1
ENSG00000026751.16	Heart_Atrial_Appendage	0.109515942497084	5.88327883281933e-11	1
ENSG00000027869.11	Heart_Atrial_Appendage	0.250268856028992	5.92160524633781e-25	1
ENSG00000028137.18	Heart_Atrial_Appendage	0.0418644495002026	7.03231386927811e-05	1
ENSG00000033122.18	Heart_Atrial_Appendage	0.429195272295404	5.62183473954093e-47	1
ENSG00000034971.16	Heart_Atrial_Appendage	0.240079652477176	7.34245582925171e-24	1
ENSG00000036549.12	Heart_Atrial_Appendage	0.100583020859893	3.88333275107371e-10	1
ENSG00000040487.12	Heart_Atrial_Appendage	0.368264777288102	8.54038406434139e-39	1
ENSG00000041988.15	Heart_Atrial_Appendage	0.288009063798153	3.91542386244495e-29	1
ENSG00000042781.12	Heart_Atrial_Appendage	0.196113848849357	2.67683594501108e-19	1
ENSG00000043514.15	Heart_Atrial_Appendage	0.528178159902853	2.53545670113924e-62	1
ENSG00000049239.12	Heart_Atrial_Appendage	0.306237806413334	3.13239740031699e-31	1
ENSG00000049245.12	Heart_Atrial_Appendage	0.372397163614026	2.52233512437982e-39	1
ENSG00000050628.20	Heart_Atrial_Appendage	0.434612878323051	9.57155286941239e-48	1
ENSG00000052723.11	Heart_Atrial_Appendage	0.0902825784241625	3.36037581101933e-09	1
ENSG00000053371.12	Heart_Atrial_Appendage	0.33005846040827	4.7069516630201e-34	1
ENSG00000054116.11	Heart_Atrial_Appendage	0.472225775936716	2.70450798337044e-53	1
ENSG00000054267.21	Heart_Atrial_Appendage	0.197185156964517	2.08605656931912e-19	1
ENSG00000054277.13	Heart_Atrial_Appendage	0.139400681360122	9.47689477460879e-14	1
ENSG00000054282.15	Heart_Atrial_Appendage	0.232902512921293	4.2417807455967e-23	1
ENSG00000054392.12	Heart_Atrial_Appendage	0.105232184595378	1.45703352432658e-10	1
ENSG00000054523.17	Heart_Atrial_Appendage	0.0440946375584663	4.46384405889808e-05	1
ENSG00000055070.16	Heart_Atrial_Appendage	0.102922146741437	2.3725998619417e-10	1
ENSG00000057252.12	Heart_Atrial_Appendage	0.31057217532871	9.75752228571177e-32	1
ENSG00000058085.14	Heart_Atrial_Appendage	0.236115243487801	1.93836772114763e-23	1
ENSG00000058453.16	Heart_Atrial_Appendage	0.575815867181282	6.82520408760716e-71	1
ENSG00000058668.14	Heart_Atrial_Appendage	0.423139695875159	3.98839008898808e-46	1
ENSG00000058673.16	Heart_Atrial_Appendage	0.0884237948582168	4.95063777969941e-09	1
ENSG00000058799.14	Heart_Atrial_Appendage	0.452183574421947	2.72878609009822e-50	1
ENSG00000060642.10	Heart_Atrial_Appendage	0.159218861806167	1.19380907052315e-15	1
ENSG00000060656.19	Heart_Atrial_Appendage	0.321040318552886	5.66197802602938e-33	1
ENSG00000060688.12	Heart_Atrial_Appendage	0.0521156754870983	8.70320710521306e-06	1
ENSG00000064703.11	Heart_Atrial_Appendage	0.180319965828848	1.01994121957955e-17	1
ENSG00000064886.13	Heart_Atrial_Appendage	0.262761085786759	2.58270782013871e-26	1
ENSG00000065183.15	Heart_Atrial_Appendage	0.279732463559138	3.36960415111514e-28	1
ENSG00000065526.10	Heart_Atrial_Appendage	0.0846484827456025	1.08561994657613e-08	1
ENSG00000065600.12	Heart_Atrial_Appendage	0.354958100744058	4.11270007940845e-37	1
ENSG00000066027.11	Heart_Atrial_Appendage	0.238941987265178	9.70606305851355e-24	1
ENSG00000066056.13	Heart_Atrial_Appendage	0.0958868984116917	1.04109229913267e-09	1
ENSG00000066135.12	Heart_Atrial_Appendage	0.0679834114832446	3.38818091006767e-07	1
ENSG00000066136.20	Heart_Atrial_Appendage	0.11828419624985	9.09015877408297e-12	1
ENSG00000066185.12	Heart_Atrial_Appendage	0.326108668713607	1.40478677051684e-33	1
ENSG00000067208.14	Heart_Atrial_Appendage	0.110231421089765	5.05461000927864e-11	1
ENSG00000067606.16	Heart_Atrial_Appendage	0.144456070079872	3.13217494531758e-14	1
ENSG00000069248.11	Heart_Atrial_Appendage	0.118388795412211	8.88905407186938e-12	1
ENSG00000069275.12	Heart_Atrial_Appendage	0.0888034947814768	4.57412151924143e-09	1
ENSG00000069424.14	Heart_Atrial_Appendage	0.548563120219639	7.03766351870367e-66	1
ENSG00000069702.10	Heart_Atrial_Appendage	0.0926281884188345	2.05912081123757e-09	1
ENSG00000070785.16	Heart_Atrial_Appendage	0.073962909702108	9.9021782612423e-08	1
ENSG00000070831.15	Heart_Atrial_Appendage	0.0865098119676141	7.37348314984123e-09	1
ENSG00000072694.20	Heart_Atrial_Appendage	0.0637076604707467	8.14405881650741e-07	1
ENSG00000074800.13	Heart_Atrial_Appendage	0.325200089819901	1.80492260987745e-33	1
ENSG00000075151.20	Heart_Atrial_Appendage	0.122772719728396	3.47345814175092e-12	1
ENSG00000075391.16	Heart_Atrial_Appendage	0.207863625307524	1.70729030607837e-20	1
ENSG00000075945.12	Heart_Atrial_Appendage	0.239598910225482	8.26187916126258e-24	1
ENSG00000076321.10	Heart_Atrial_Appendage	0.100540641311563	3.91811681588514e-10	1
ENSG00000076864.19	Heart_Atrial_Appendage	0.354684602540303	4.44990597836263e-37	1
ENSG00000077157.21	Heart_Atrial_Appendage	0.214804088593491	3.29831328647455e-21	1
ENSG00000077522.12	Heart_Atrial_Appendage	0.143540191997913	3.82951465683863e-14	1
ENSG00000077549.17	Heart_Atrial_Appendage	0.185861680474718	2.86513392392753e-18	1
ENSG00000077585.13	Heart_Atrial_Appendage	0.54401995517051	4.50552151309443e-65	1
ENSG00000078369.17	Heart_Atrial_Appendage	0.110845129859801	4.43710101294268e-11	1
ENSG00000078618.21	Heart_Atrial_Appendage	0.20088323632538	8.79917084060073e-20	1
ENSG00000078900.14	Heart_Atrial_Appendage	0.474559490064236	1.18843229453624e-53	1
ENSG00000079277.19	Heart_Atrial_Appendage	0.379152865408675	3.37608508294269e-40	1
ENSG00000081019.13	Heart_Atrial_Appendage	0.0357611264028645	0.000244241957702893	1
ENSG00000081026.18	Heart_Atrial_Appendage	0.36195457378228	5.41664533243693e-38	1
ENSG00000081248.10	Heart_Atrial_Appendage	0.312635228347019	5.58652358858904e-32	1
ENSG00000081721.11	Heart_Atrial_Appendage	0.0624167020970189	1.0608862901993e-06	1
ENSG00000081985.10	Heart_Atrial_Appendage	0.0545346097482078	5.31309653303471e-06	1
ENSG00000082497.11	Heart_Atrial_Appendage	0.077017398183051	5.27273011338752e-08	1
