gene	tissue	rsq	pval	chr
ENSG00000000457.13	Heart_Left_Ventricle	0.152993411369786	1.46351670858727e-15	1
ENSG00000000460.16	Heart_Left_Ventricle	0.102125664567214	1.29695660718111e-10	1
ENSG00000000938.12	Heart_Left_Ventricle	0.18173558811533	1.78003398306997e-18	1
ENSG00000001460.17	Heart_Left_Ventricle	0.195757661196035	6.21465912021604e-20	1
ENSG00000001461.16	Heart_Left_Ventricle	0.0710895858787224	1.04938003967903e-07	1
ENSG00000004455.16	Heart_Left_Ventricle	0.173116626878361	1.3627056852534e-17	1
ENSG00000004487.15	Heart_Left_Ventricle	0.0605591930224454	9.84804080374609e-07	1
ENSG00000006555.10	Heart_Left_Ventricle	0.453585340951014	2.42162466061341e-52	1
ENSG00000007341.18	Heart_Left_Ventricle	0.288260487859318	3.33050909691777e-30	1
ENSG00000007923.15	Heart_Left_Ventricle	0.0417469275951963	5.25500944817393e-05	1
ENSG00000007933.12	Heart_Left_Ventricle	0.150588721930524	2.54170453387625e-15	1
ENSG00000008128.22	Heart_Left_Ventricle	0.5791722086096	3.59187643418858e-74	1
ENSG00000008130.15	Heart_Left_Ventricle	0.37048536348893	1.70739758856608e-40	1
ENSG00000009307.15	Heart_Left_Ventricle	0.0621923073753404	6.96470869022027e-07	1
ENSG00000010072.15	Heart_Left_Ventricle	0.121320988689935	1.88422407999817e-12	1
ENSG00000010165.19	Heart_Left_Ventricle	0.133428770491096	1.25389694652983e-13	1
ENSG00000010932.16	Heart_Left_Ventricle	0.334162871484708	8.54981032460174e-36	1
ENSG00000011021.21	Heart_Left_Ventricle	0.396331068706217	5.27399590456945e-44	1
ENSG00000014914.20	Heart_Left_Ventricle	0.189566343306668	2.75220449263778e-19	1
ENSG00000018625.14	Heart_Left_Ventricle	0.223042427031598	7.7222756834912e-23	1
ENSG00000023902.13	Heart_Left_Ventricle	0.055308636734727	2.99438139896942e-06	1
ENSG00000026751.16	Heart_Left_Ventricle	0.0445906181487194	2.88277768542688e-05	1
ENSG00000031698.12	Heart_Left_Ventricle	0.112721553078414	1.26633451987311e-11	1
ENSG00000033122.18	Heart_Left_Ventricle	0.148056107357509	4.53878081023508e-15	1
ENSG00000034971.16	Heart_Left_Ventricle	0.437070846512039	7.49715959080077e-50	1
ENSG00000035687.9	Heart_Left_Ventricle	0.0516552178736337	6.48350462801098e-06	1
ENSG00000036549.12	Heart_Left_Ventricle	0.0400952349811311	7.44850274464029e-05	1
ENSG00000037637.10	Heart_Left_Ventricle	0.0626353926629288	6.33962996068013e-07	1
ENSG00000040487.12	Heart_Left_Ventricle	0.3416838085743	9.54924596979338e-37	1
ENSG00000041988.15	Heart_Left_Ventricle	0.278075028171238	5.18816073493964e-29	1
ENSG00000043514.15	Heart_Left_Ventricle	0.354460079009003	2.17730156640735e-38	1
ENSG00000048707.13	Heart_Left_Ventricle	0.0786674493344106	2.07606049685753e-08	1
ENSG00000049089.13	Heart_Left_Ventricle	0.0369278685628001	0.000145465410554356	1
ENSG00000049239.12	Heart_Left_Ventricle	0.242604559268014	5.54055720116186e-25	1
ENSG00000049245.12	Heart_Left_Ventricle	0.419794393334748	2.5360675123108e-47	1
ENSG00000050628.20	Heart_Left_Ventricle	0.119551775615005	2.79204195655586e-12	1
ENSG00000053371.12	Heart_Left_Ventricle	0.301316569020984	9.31653573444563e-32	1
ENSG00000054116.11	Heart_Left_Ventricle	0.155476889320912	8.26348196056757e-16	1
ENSG00000054282.15	Heart_Left_Ventricle	0.105067739098914	6.81336039254459e-11	1
ENSG00000055070.16	Heart_Left_Ventricle	0.275886367305951	9.31349779576571e-29	1
ENSG00000055732.12	Heart_Left_Ventricle	0.167240970206384	5.39637918686518e-17	1
ENSG00000057252.12	Heart_Left_Ventricle	0.0380581194927055	0.000114549840740347	1
ENSG00000057468.6	Heart_Left_Ventricle	0.612524991098948	4.5499932232031e-81	1
ENSG00000058085.14	Heart_Left_Ventricle	0.268730699962477	6.23265106796573e-28	1
ENSG00000058453.16	Heart_Left_Ventricle	0.536299537655029	4.58591599599817e-66	1
ENSG00000058668.14	Heart_Left_Ventricle	0.298254046463667	2.16837469793584e-31	1
