gene	tissue	rsq	pval	chr
ENSG00000000938.12	Kidney_Cortex	0.180064721761718	0.000182971209577409	1
ENSG00000001461.16	Kidney_Cortex	0.829105063691415	5.97235164585567e-29	1
ENSG00000004487.15	Kidney_Cortex	0.442969498923586	1.32772069121467e-10	1
ENSG00000006555.10	Kidney_Cortex	0.308666436190251	3.36120209949152e-07	1
ENSG00000007923.15	Kidney_Cortex	0.507912429830556	1.52687349376491e-12	1
ENSG00000009724.16	Kidney_Cortex	0.195217828456379	9.10491750477572e-05	1
ENSG00000009780.15	Kidney_Cortex	0.804039222885702	7.81105387530825e-27	1
ENSG00000009790.14	Kidney_Cortex	0.201340179692539	6.84823145164435e-05	1
ENSG00000010072.15	Kidney_Cortex	0.503922808233549	2.0413709650149e-12	1
ENSG00000010165.19	Kidney_Cortex	0.633585061366689	3.90436075213093e-17	1
ENSG00000010803.16	Kidney_Cortex	0.421068067429097	5.3462097904519e-10	1
ENSG00000010932.16	Kidney_Cortex	0.931657579344217	4.18047757858588e-43	1
ENSG00000011007.12	Kidney_Cortex	0.434900149240693	2.23156335059848e-10	1
ENSG00000011021.21	Kidney_Cortex	0.824308378771658	1.60007372302211e-28	1
ENSG00000018625.14	Kidney_Cortex	0.421695948670836	5.14057481652746e-10	1
ENSG00000020129.15	Kidney_Cortex	0.664942732408138	1.59281889549744e-18	1
ENSG00000020633.18	Kidney_Cortex	0.733441695139447	4.52466024910612e-22	1
ENSG00000023572.8	Kidney_Cortex	0.241495574005868	1.01109781527425e-05	1
ENSG00000023902.13	Kidney_Cortex	0.511854779316843	1.14339156373746e-12	1
ENSG00000024526.16	Kidney_Cortex	0.935014203677104	6.98256342208983e-44	1
ENSG00000026751.16	Kidney_Cortex	0.406322906637873	1.3276246930845e-09	1
ENSG00000027869.11	Kidney_Cortex	0.440176287393472	1.59044487550282e-10	1
ENSG00000028137.18	Kidney_Cortex	0.179933592339563	0.000184071909462304	1
ENSG00000031698.12	Kidney_Cortex	0.928414102133182	2.17184451100288e-42	1
ENSG00000037637.10	Kidney_Cortex	0.679692940171283	3.18768525891786e-19	1
ENSG00000040487.12	Kidney_Cortex	0.190226445374179	0.000114706649148749	1
ENSG00000049245.12	Kidney_Cortex	0.371639704195703	1.03892170095198e-08	1
ENSG00000049246.14	Kidney_Cortex	0.544875592436877	9.23451398439065e-14	1
ENSG00000049247.13	Kidney_Cortex	0.292642641355851	7.76995168522773e-07	1
ENSG00000049249.8	Kidney_Cortex	0.173498858628759	0.000246853793173082	1
ENSG00000053372.4	Kidney_Cortex	0.203842264020765	6.09274134146894e-05	1
ENSG00000054118.13	Kidney_Cortex	0.515613106042873	8.66013934128417e-13	1
ENSG00000054267.21	Kidney_Cortex	0.550466660459314	5.92557722876463e-14	1
ENSG00000054277.13	Kidney_Cortex	0.447023936105352	1.02002822464608e-10	1
ENSG00000054282.15	Kidney_Cortex	0.972958912940465	2.07695212087661e-57	1
ENSG00000054392.12	Kidney_Cortex	0.499143480653274	2.88210330103961e-12	1
ENSG00000057468.6	Kidney_Cortex	0.773321721918496	1.39934896750141e-24	1
ENSG00000058085.14	Kidney_Cortex	0.850845872269554	4.70838200194898e-31	1
ENSG00000058673.16	Kidney_Cortex	0.230245307691063	1.7423841343396e-05	1
ENSG00000058804.11	Kidney_Cortex	0.844118769613691	2.26291770347654e-30	1
ENSG00000060656.19	Kidney_Cortex	0.201334706052842	6.84998072913443e-05	1
ENSG00000060688.12	Kidney_Cortex	0.327536758958755	1.22436212854979e-07	1
ENSG00000060718.20	Kidney_Cortex	0.77992861401281	4.87638608866414e-25	1
ENSG00000064703.11	Kidney_Cortex	0.157251224698846	0.000514293681773562	1
ENSG00000064886.13	Kidney_Cortex	0.76203790794323	7.90643423930105e-24	1
ENSG00000065526.10	Kidney_Cortex	0.811058969106292	2.13040961832463e-27	1
ENSG00000065600.12	Kidney_Cortex	0.740918283490651	1.64000451859378e-22	1
ENSG00000065978.18	Kidney_Cortex	0.859318313888903	5.87718703852036e-32	1
ENSG00000066027.11	Kidney_Cortex	0.167798712931921	0.000319710229636838	1
ENSG00000066056.13	Kidney_Cortex	0.639757808815536	2.12613970437654e-17	1
ENSG00000066136.20	Kidney_Cortex	0.170261991870326	0.000285947077527982	1
ENSG00000066185.12	Kidney_Cortex	0.877415536301826	4.3833841003565e-34	1
ENSG00000066279.17	Kidney_Cortex	0.531244582639621	2.66455213698101e-13	1
ENSG00000066322.14	Kidney_Cortex	0.137508627610592	0.00123968089442977	1
ENSG00000067208.14	Kidney_Cortex	0.749026821289323	5.27631717724946e-23	1
ENSG00000067334.13	Kidney_Cortex	0.30170363923999	4.84797846002531e-07	1
ENSG00000067533.5	Kidney_Cortex	0.581881395990544	4.40878577489423e-15	1
ENSG00000070759.16	Kidney_Cortex	0.898298534886484	5.72158406712639e-37	1
ENSG00000070785.16	Kidney_Cortex	0.334462092313446	8.3965489539786e-08	1
ENSG00000070831.15	Kidney_Cortex	0.725213888400074	1.33855672576383e-21	1
ENSG00000072694.20	Kidney_Cortex	0.568839081128193	1.32612412815647e-14	1
ENSG00000074800.13	Kidney_Cortex	0.29107319644461	8.42675430514008e-07	1
ENSG00000075151.20	Kidney_Cortex	0.393602206052097	2.86029106706443e-09	1
ENSG00000075391.16	Kidney_Cortex	0.444265376831381	1.22067387042977e-10	1
ENSG00000075945.12	Kidney_Cortex	0.231500621288406	1.6402734700021e-05	1
ENSG00000076321.10	Kidney_Cortex	0.312903735069901	2.68519681847084e-07	1
ENSG00000076864.19	Kidney_Cortex	0.812209760668682	1.71385687283301e-27	1
ENSG00000077157.21	Kidney_Cortex	0.693452899396634	6.64250490613149e-20	1
ENSG00000077549.17	Kidney_Cortex	0.337058898521201	7.28231527160472e-08	1
ENSG00000079335.18	Kidney_Cortex	0.287433873476877	1.01651126528463e-06	1
ENSG00000081019.13	Kidney_Cortex	0.94837835170666	1.9565861315078e-47	1
ENSG00000081026.18	Kidney_Cortex	0.510410495377378	1.27152861576318e-12	1
ENSG00000081237.18	Kidney_Cortex	0.454038063504121	6.43592937518724e-11	1
ENSG00000081277.12	Kidney_Cortex	0.998257785986566	1.08206497654979e-99	1
ENSG00000081721.11	Kidney_Cortex	0.581350922460488	4.61377170787385e-15	1
ENSG00000082482.13	Kidney_Cortex	0.514984557255821	9.07338754247004e-13	1
ENSG00000082497.11	Kidney_Cortex	0.15784009776694	0.000500875600963372	1
ENSG00000083444.16	Kidney_Cortex	0.876849848559622	5.16330949290625e-34	1
ENSG00000084072.16	Kidney_Cortex	0.457394561246523	5.15257461022328e-11	1
ENSG00000084623.11	Kidney_Cortex	0.397807799054292	2.22305243572741e-09	1
ENSG00000084636.17	Kidney_Cortex	0.284289792698815	1.19448268935867e-06	1
ENSG00000085433.15	Kidney_Cortex	0.163529471121199	0.000387731953321755	1
ENSG00000085491.15	Kidney_Cortex	0.596718965413222	1.20792342405638e-15	1
ENSG00000085832.16	Kidney_Cortex	0.815883234590666	8.481028795288e-28	1
ENSG00000085999.11	Kidney_Cortex	0.209819257760129	4.60289469651841e-05	1
ENSG00000086619.13	Kidney_Cortex	0.316245563170054	2.24738364921445e-07	1
ENSG00000088280.18	Kidney_Cortex	0.277587382523123	1.68125223764723e-06	1
ENSG00000090273.13	Kidney_Cortex	0.252859417623163	5.79441051627131e-06	1
ENSG00000092607.13	Kidney_Cortex	0.83164803153247	3.50236714945144e-29	1
ENSG00000092847.11	Kidney_Cortex	0.144642430386423	0.000903331882086236	1
ENSG00000092850.11	Kidney_Cortex	0.658074539275893	3.28980957652464e-18	1
ENSG00000092969.11	Kidney_Cortex	0.246602672443795	7.8798618453228e-06	1
ENSG00000094963.13	Kidney_Cortex	0.252436443858091	5.91650436877861e-06	1
ENSG00000094975.13	Kidney_Cortex	0.730682455998446	6.53349696198683e-22	1
ENSG00000097021.19	Kidney_Cortex	0.231128070829444	1.66995129746736e-05	1
ENSG00000097033.14	Kidney_Cortex	0.384997955461029	4.76568445100945e-09	1
ENSG00000097046.12	Kidney_Cortex	0.263039473241466	3.49702346990595e-06	1
ENSG00000099260.10	Kidney_Cortex	0.333473552254178	8.86297820290358e-08	1
ENSG00000116128.10	Kidney_Cortex	0.393192237920642	2.93117636508544e-09	1
ENSG00000116138.12	Kidney_Cortex	0.392872175536573	2.98770279728753e-09	1
ENSG00000116141.15	Kidney_Cortex	0.483955587254712	8.44572505869002e-12	1
ENSG00000116151.13	Kidney_Cortex	0.491031836349469	5.13779008119529e-12	1
ENSG00000116198.12	Kidney_Cortex	0.437848954456952	1.84741682530601e-10	1
ENSG00000116199.11	Kidney_Cortex	0.6860248896195	1.56210245884499e-19	1
ENSG00000116205.12	Kidney_Cortex	0.778926813131411	5.73312039855125e-25	1
ENSG00000116209.11	Kidney_Cortex	0.965386378755594	1.33502043072873e-53	1
ENSG00000116212.14	Kidney_Cortex	0.642791856629751	1.57111251849323e-17	1
ENSG00000116237.15	Kidney_Cortex	0.99489298505983	4.12853594639575e-83	1
ENSG00000116254.17	Kidney_Cortex	0.819177083148749	4.45951159765635e-28	1
ENSG00000116285.12	Kidney_Cortex	0.213171550573556	3.93011811030583e-05	1
ENSG00000116288.12	Kidney_Cortex	0.555415174388778	3.98309504502347e-14	1
ENSG00000116337.15	Kidney_Cortex	0.823030768425939	2.07097158421124e-28	1
ENSG00000116350.16	Kidney_Cortex	0.924998435391162	1.13822106422761e-41	1
ENSG00000116353.15	Kidney_Cortex	0.164348101810191	0.000373671662057505	1
ENSG00000116455.13	Kidney_Cortex	0.181881060330496	0.000168372691015905	1
ENSG00000116521.10	Kidney_Cortex	0.168146607119481	0.000314714610544079	1
ENSG00000116525.13	Kidney_Cortex	0.434236486633123	2.32818471440472e-10	1
ENSG00000116539.12	Kidney_Cortex	0.189362262738786	0.000119373648423853	1
ENSG00000116544.11	Kidney_Cortex	0.444602318301183	1.19424653722306e-10	1
ENSG00000116663.10	Kidney_Cortex	0.738713172007184	2.21888863842803e-22	1
ENSG00000116667.12	Kidney_Cortex	0.791854163453031	6.69827661246064e-26	1
ENSG00000116675.15	Kidney_Cortex	0.581737987250727	4.46331125414302e-15	1
ENSG00000116679.15	Kidney_Cortex	0.248656877443119	7.12509363187732e-06	1
ENSG00000116701.14	Kidney_Cortex	0.45870951614009	4.72092847750079e-11	1
ENSG00000116747.12	Kidney_Cortex	0.383117570279945	5.32337425211146e-09	1
ENSG00000116748.21	Kidney_Cortex	0.590950158389185	2.00925469781858e-15	1
ENSG00000116774.11	Kidney_Cortex	0.988413815580289	1.76655893559132e-70	1
ENSG00000116785.13	Kidney_Cortex	0.537191471490468	1.68452970445481e-13	1
ENSG00000116793.15	Kidney_Cortex	0.391451068130086	3.25176988254379e-09	1
ENSG00000116815.15	Kidney_Cortex	0.697801662286359	3.98789590962491e-20	1
ENSG00000116824.4	Kidney_Cortex	0.994538816464024	4.46291500624231e-82	1
ENSG00000116833.13	Kidney_Cortex	0.485088257034649	7.8033142348435e-12	1
ENSG00000116852.14	Kidney_Cortex	0.574065636518256	8.56358728991176e-15	1
ENSG00000116857.16	Kidney_Cortex	0.267444227429126	2.80533569879239e-06	1
ENSG00000116863.10	Kidney_Cortex	0.260794366604889	3.91102996364205e-06	1
ENSG00000116874.11	Kidney_Cortex	0.490387168202871	5.37727651169943e-12	1
ENSG00000116885.18	Kidney_Cortex	0.644306311550253	1.34962450866108e-17	1
ENSG00000116906.11	Kidney_Cortex	0.546027206664183	8.43173144474168e-14	1
ENSG00000116918.13	Kidney_Cortex	0.198816658760336	7.70288038210736e-05	1
ENSG00000116962.14	Kidney_Cortex	0.8678260677935	6.38763504875234e-33	1
ENSG00000116977.18	Kidney_Cortex	0.433797494345139	2.3943216079508e-10	1
ENSG00000116984.12	Kidney_Cortex	0.447671790998083	9.77782388570781e-11	1
ENSG00000116985.11	Kidney_Cortex	0.958361696827379	9.45717045840078e-51	1
ENSG00000116990.10	Kidney_Cortex	0.393006136340879	2.96391589530484e-09	1
ENSG00000116991.10	Kidney_Cortex	0.907077328213315	2.31031991780699e-38	1
ENSG00000117000.8	Kidney_Cortex	0.250389996839197	6.54361171499449e-06	1
ENSG00000117009.11	Kidney_Cortex	0.426363100303597	3.83560322953887e-10	1
ENSG00000117020.16	Kidney_Cortex	0.957365437649525	2.19039550240336e-50	1
ENSG00000117036.11	Kidney_Cortex	0.753122650078645	2.93429459021977e-23	1
ENSG00000117054.13	Kidney_Cortex	0.281791369181145	1.35725810263939e-06	1
ENSG00000117122.13	Kidney_Cortex	0.564535299942473	1.89360330340928e-14	1
ENSG00000117139.16	Kidney_Cortex	0.977416807720803	3.45926452331334e-60	1
ENSG00000117143.13	Kidney_Cortex	0.867537451521029	6.90301894379437e-33	1
ENSG00000117151.12	Kidney_Cortex	0.187110760375699	0.000132424303297	1
ENSG00000117152.13	Kidney_Cortex	0.772679596270178	1.54779122526974e-24	1
ENSG00000117153.15	Kidney_Cortex	0.334966852187025	8.16769992521387e-08	1
ENSG00000117174.10	Kidney_Cortex	0.703376782802505	2.05114100056599e-20	1
ENSG00000117226.11	Kidney_Cortex	0.657248633640543	3.58614411454522e-18	1
ENSG00000117266.15	Kidney_Cortex	0.877861794151316	3.85011984327645e-34	1
ENSG00000117280.12	Kidney_Cortex	0.449815436386718	8.49787579282507e-11	1
ENSG00000117281.15	Kidney_Cortex	0.774204388039271	1.21768644442303e-24	1
ENSG00000117298.14	Kidney_Cortex	0.999743685574849	3.063931815816e-129	1
ENSG00000117322.17	Kidney_Cortex	0.899072252075251	4.36108687318382e-37	1
ENSG00000117335.19	Kidney_Cortex	0.455078775029458	6.00793417818443e-11	1
ENSG00000117360.12	Kidney_Cortex	0.265341169302972	3.11706871002005e-06	1
ENSG00000117394.20	Kidney_Cortex	0.39372532752704	2.83933071540941e-09	1
ENSG00000117400.16	Kidney_Cortex	0.214562540456734	3.6801138385005e-05	1
ENSG00000117407.16	Kidney_Cortex	0.555058525415161	4.09936545724299e-14	1
ENSG00000117425.13	Kidney_Cortex	0.72530370837907	1.32303251028256e-21	1
ENSG00000117448.13	Kidney_Cortex	0.97886220164731	3.30303913938656e-61	1
ENSG00000117477.12	Kidney_Cortex	0.405412250767062	1.40334210156807e-09	1
ENSG00000117505.12	Kidney_Cortex	0.540631734849608	1.28862426321147e-13	1
ENSG00000117523.15	Kidney_Cortex	0.209815564412628	4.60369472736111e-05	1
ENSG00000117528.11	Kidney_Cortex	0.563016276751793	2.14552625700304e-14	1
ENSG00000117533.14	Kidney_Cortex	0.669708222124293	9.54601095900912e-19	1
ENSG00000117543.20	Kidney_Cortex	0.999757309769007	4.4074710378538e-130	1
ENSG00000117569.18	Kidney_Cortex	0.169622018018281	0.000294366406130897	1
ENSG00000117602.11	Kidney_Cortex	0.22889148506365	1.85947240991071e-05	1
ENSG00000117632.22	Kidney_Cortex	0.63134811989809	4.85425295390306e-17	1
ENSG00000117640.17	Kidney_Cortex	0.287283999002302	1.02437394358607e-06	1
ENSG00000117682.16	Kidney_Cortex	0.283715002902382	1.23015422222592e-06	1
ENSG00000117713.18	Kidney_Cortex	0.295491164053334	6.70307286235797e-07	1
ENSG00000117758.13	Kidney_Cortex	0.163505128003264	0.000388157914186526	1
ENSG00000117834.12	Kidney_Cortex	0.586636449097114	2.9261145713204e-15	1
ENSG00000117859.18	Kidney_Cortex	0.348398002681753	3.88697515943232e-08	1
ENSG00000118200.14	Kidney_Cortex	0.613548536390888	2.62455868410124e-16	1
ENSG00000118298.10	Kidney_Cortex	0.241750598731036	9.98622203753574e-06	1
ENSG00000118454.12	Kidney_Cortex	0.937256190597547	2.00549472357878e-44	1
ENSG00000118473.21	Kidney_Cortex	0.310251232144703	3.0909057821632e-07	1
ENSG00000118873.15	Kidney_Cortex	0.154849680323439	0.000572770911390705	1
