gene	tissue	rsq	pval	chr
ENSG00000000457.13	Liver	0.26822183102513	1.13708527135676e-15	1
ENSG00000000460.16	Liver	0.255139558996757	7.22618274896746e-15	1
ENSG00000000938.12	Liver	0.0864122439641177	1.63551924654218e-05	1
ENSG00000000971.15	Liver	0.155034108476859	4.00847236727778e-09	1
ENSG00000001460.17	Liver	0.395343992993737	2.74294298404063e-24	1
ENSG00000001461.16	Liver	0.327099946647234	1.82747791328553e-19	1
ENSG00000004455.16	Liver	0.214771361813035	1.80204360202867e-12	1
ENSG00000007341.18	Liver	0.422812181168212	2.20936440985817e-26	1
ENSG00000007908.15	Liver	0.465198391684525	8.16846520305586e-30	1
ENSG00000007933.12	Liver	0.183667426402006	1.06155621484853e-10	1
ENSG00000008128.22	Liver	0.875863522618103	2.78359293182997e-95	1
ENSG00000008130.15	Liver	0.101580696990031	2.70757475496254e-06	1
ENSG00000009307.15	Liver	0.528431653137525	1.8040128576316e-35	1
ENSG00000009724.16	Liver	0.38072945273159	3.269806944187e-23	1
ENSG00000009780.15	Liver	0.0795283586569314	3.67951519003948e-05	1
ENSG00000010932.16	Liver	0.479651819505055	4.78702701925173e-31	1
ENSG00000011009.10	Liver	0.128916287830106	1.005478085939e-07	1
ENSG00000011021.21	Liver	0.0672998659081412	0.000154402611581295	1
ENSG00000014914.20	Liver	0.154932064539166	4.05990461694723e-09	1
ENSG00000021852.12	Liver	0.256272606593026	6.16430432967667e-15	1
ENSG00000023902.13	Liver	0.105007658710162	1.79880375356756e-06	1
ENSG00000025800.13	Liver	0.0629215894799378	0.00025769128396914	1
ENSG00000026751.16	Liver	0.331244991734984	9.6115161176023e-20	1
ENSG00000033122.18	Liver	0.408208496057186	2.94741063017115e-25	1
ENSG00000034971.16	Liver	0.130824579471466	7.96680596487615e-08	1
ENSG00000036549.12	Liver	0.0715274028847701	9.41101515613852e-05	1
ENSG00000040487.12	Liver	0.30273421048552	7.40108695432541e-18	1
ENSG00000041988.15	Liver	0.255133988530138	7.23182728334629e-15	1
ENSG00000042781.12	Liver	0.0654326794266796	0.000192107421799696	1
