gene	tissue	rsq	pval	chr
ENSG00000261055.1	Lung	0.137679256762075	2.95910604462089e-18	1
ENSG00000007968.6	Lung	0.0639319895876963	5.92357838194694e-09	1
ENSG00000008118.9	Lung	0.204619686882448	2.42897610264567e-27	1
ENSG00000016602.9	Lung	0.0489534600800668	3.93967251312808e-07	1
ENSG00000023572.8	Lung	0.0618610532227814	1.06053483794953e-08	1
ENSG00000023909.9	Lung	0.143934005504073	4.47525335609882e-19	1
ENSG00000027644.4	Lung	0.057722682704422	3.38862456934722e-08	1
ENSG00000035687.9	Lung	0.223210627944694	5.39778283984115e-30	1
ENSG00000049249.8	Lung	0.109725287318187	1.18260441450007e-14	1
ENSG00000053372.4	Lung	0.159488448557737	3.85855235707886e-21	1
ENSG00000066557.5	Lung	0.102803143060079	8.89816340730056e-14	1
ENSG00000067704.9	Lung	0.080621549100824	5.25533894944772e-11	1
ENSG00000073754.5	Lung	0.0947363549872418	9.19397392728405e-13	1
ENSG00000076258.9	Lung	0.156249967853057	1.04510384431995e-20	1
ENSG00000084073.8	Lung	0.073483467283053	3.99358074238776e-10	1
ENSG00000091483.6	Lung	0.026784566994615	0.00019133567053046	1
ENSG00000097096.8	Lung	0.175513418392402	2.64077036983814e-23	1
ENSG00000116251.9	Lung	0.0549451804942917	7.37846030058563e-08	1
ENSG00000116649.9	Lung	0.161539737485724	2.04887310323661e-21	1
ENSG00000116652.6	Lung	0.0404809653345104	4.18501436414892e-06	1
ENSG00000116661.9	Lung	0.35486422232761	8.82333934557849e-51	1
ENSG00000116704.7	Lung	0.0934479636762396	1.33288703714675e-12	1
ENSG00000116741.7	Lung	0.219500138755503	1.8477131995435e-29	1
ENSG00000116752.5	Lung	0.0379443668529877	8.48605824096547e-06	1
ENSG00000116771.5	Lung	0.0953064278782426	7.79969163280485e-13	1
ENSG00000116819.6	Lung	0.120358962826067	5.18593830940208e-16	1
ENSG00000116903.7	Lung	0.162560227482127	1.4945675342284e-21	1
ENSG00000116954.7	Lung	0.170234954814338	1.37758968829312e-22	1
ENSG00000117000.8	Lung	0.0690293599022327	1.40773310080655e-09	1
ENSG00000117016.9	Lung	0.10325831834212	7.7955237545048e-14	1
ENSG00000117118.9	Lung	0.0666167464561885	2.78076108670415e-09	1
ENSG00000117318.8	Lung	0.025754502590197	0.000255386733966151	1
ENSG00000117560.7	Lung	0.0347075005430155	2.09197862759155e-05	1
ENSG00000117592.8	Lung	0.0672945590162445	2.29696389244291e-09	1
