gene	tissue	rsq	pval	chr
ENSG00000184148.3	Minor_Salivary_Gland	0.115317240761545	3.12837030869796e-05	1
ENSG00000016602.9	Minor_Salivary_Gland	0.317811425662019	1.8832587836261e-13	1
ENSG00000023909.9	Minor_Salivary_Gland	0.278988410282466	1.02014267279205e-11	1
ENSG00000035687.9	Minor_Salivary_Gland	0.562900721972973	2.68342887938814e-27	1
ENSG00000049249.8	Minor_Salivary_Gland	0.0877402275165059	0.000312416112187773	1
ENSG00000059588.9	Minor_Salivary_Gland	0.124880013565865	1.39485807083802e-05	1
ENSG00000067704.9	Minor_Salivary_Gland	0.599767579568367	4.99137852972399e-30	1
ENSG00000076356.6	Minor_Salivary_Gland	0.448937923577236	4.17395705093084e-20	1
ENSG00000084073.8	Minor_Salivary_Gland	0.530537950816348	4.4022865853405e-25	1
ENSG00000084628.9	Minor_Salivary_Gland	0.151453609148181	1.43000401625247e-06	1
ENSG00000097096.8	Minor_Salivary_Gland	0.14750011062773	2.01353680545156e-06	1
ENSG00000116157.5	Minor_Salivary_Gland	0.623363910035409	6.551094821127e-32	1
ENSG00000116273.5	Minor_Salivary_Gland	0.219367782322429	3.22105235172582e-09	1
ENSG00000116649.9	Minor_Salivary_Gland	0.0837626011552483	0.000434239674137032	1
ENSG00000116652.6	Minor_Salivary_Gland	0.210161661759572	7.55583942471215e-09	1
ENSG00000116661.9	Minor_Salivary_Gland	0.296114971715678	1.79897443065585e-12	1
ENSG00000116704.7	Minor_Salivary_Gland	0.301476497837522	1.03639779609203e-12	1
ENSG00000116711.9	Minor_Salivary_Gland	0.132272407555839	7.44005659804285e-06	1
ENSG00000116741.7	Minor_Salivary_Gland	0.198029426851614	2.29324269038001e-08	1
ENSG00000116745.6	Minor_Salivary_Gland	0.103597347370103	8.35672937492549e-05	1
ENSG00000116771.5	Minor_Salivary_Gland	0.68811425042326	9.51759530270462e-38	1
ENSG00000117016.9	Minor_Salivary_Gland	0.550381311920152	2.01473661546906e-26	1
ENSG00000117118.9	Minor_Salivary_Gland	0.162783461729069	5.32564004280261e-07	1
ENSG00000117318.8	Minor_Salivary_Gland	0.499006224692258	4.58243217405341e-23	1
ENSG00000117507.6	Minor_Salivary_Gland	0.182642169181118	9.18133780349298e-08	1
ENSG00000117593.9	Minor_Salivary_Gland	0.0924284991796765	0.00021178087952481	1
ENSG00000117748.9	Minor_Salivary_Gland	0.407814001288017	7.24522806337402e-18	1
ENSG00000118292.8	Minor_Salivary_Gland	0.236342051219448	6.52865123596011e-10	1
ENSG00000118655.4	Minor_Salivary_Gland	0.849321186665968	3.17444236219082e-60	1
ENSG00000120333.4	Minor_Salivary_Gland	0.392512305499838	4.51560354884921e-17	1
ENSG00000121454.5	Minor_Salivary_Gland	0.479031426794777	7.50319911915949e-22	1
ENSG00000121905.9	Minor_Salivary_Gland	0.342052746185031	1.39293056265132e-14	1
ENSG00000122180.4	Minor_Salivary_Gland	0.40552660911984	9.55229908433025e-18	1
ENSG00000122420.9	Minor_Salivary_Gland	0.154416408654382	1.10561263994217e-06	1
ENSG00000122484.8	Minor_Salivary_Gland	0.352373969331942	4.46864271789084e-15	1
ENSG00000131233.9	Minor_Salivary_Gland	0.188567328848173	5.39617969971454e-08	1
ENSG00000132718.8	Minor_Salivary_Gland	0.297260483945191	1.59956152335127e-12	1
ENSG00000132855.4	Minor_Salivary_Gland	0.193621948157181	3.42003409138081e-08	1
ENSG00000133055.8	Minor_Salivary_Gland	0.205321316230017	1.17877118747904e-08	1
ENSG00000134198.9	Minor_Salivary_Gland	0.549426273306354	2.3443008656674e-26	1
ENSG00000134253.9	Minor_Salivary_Gland	0.139013540737221	4.18041537148984e-06	1
ENSG00000134716.9	Minor_Salivary_Gland	0.271478299064096	2.1568939632108e-11	1
ENSG00000135744.7	Minor_Salivary_Gland	0.19278131713426	3.69014448002435e-08	1
ENSG00000135862.5	Minor_Salivary_Gland	0.436580547899588	2.04291209372238e-19	1
ENSG00000136634.5	Minor_Salivary_Gland	0.257892875708831	8.20638939450391e-11	1
ENSG00000137976.7	Minor_Salivary_Gland	0.234496933848433	7.77762008527457e-10	1
ENSG00000142677.3	Minor_Salivary_Gland	0.335432390634021	2.86236220267707e-14	1
ENSG00000142959.4	Minor_Salivary_Gland	0.0869834345018138	0.000332626752868681	1
ENSG00000143001.4	Minor_Salivary_Gland	0.496604946035655	6.44992775732e-23	1
ENSG00000143028.8	Minor_Salivary_Gland	0.811739233951833	2.38546823753998e-53	1
ENSG00000143126.7	Minor_Salivary_Gland	0.180161877755489	1.14578763371009e-07	1
ENSG00000143184.4	Minor_Salivary_Gland	0.752475244467077	6.8033383674783e-45	1
ENSG00000143185.3	Minor_Salivary_Gland	0.207475787445773	9.67359038920516e-09	1
ENSG00000143256.4	Minor_Salivary_Gland	0.173596379360223	2.0538363412898e-07	1
ENSG00000143315.6	Minor_Salivary_Gland	0.0997949916588159	0.000114763486701298	1
ENSG00000143320.8	Minor_Salivary_Gland	0.395576314594766	3.14171774076015e-17	1
ENSG00000143536.7	Minor_Salivary_Gland	0.0880401311156915	0.000304749360488837	1
ENSG00000143546.9	Minor_Salivary_Gland	0.161361178983801	6.0322022949657e-07	1
ENSG00000143630.9	Minor_Salivary_Gland	0.132775601725994	7.12749690318284e-06	1
ENSG00000143751.9	Minor_Salivary_Gland	0.231237943115216	1.05856492233651e-09	1
ENSG00000143786.7	Minor_Salivary_Gland	0.182442195237135	9.34697643399357e-08	1
ENSG00000143816.7	Minor_Salivary_Gland	0.146390113592903	2.21611065712306e-06	1
ENSG00000150681.9	Minor_Salivary_Gland	0.253972242463634	1.2016811386777e-10	1
ENSG00000152078.9	Minor_Salivary_Gland	0.39158055611101	5.04048211964215e-17	1
ENSG00000152760.9	Minor_Salivary_Gland	0.141945556248249	3.24995703550122e-06	1
ENSG00000156150.6	Minor_Salivary_Gland	0.083164985017933	0.000456242602723156	1
ENSG00000157911.9	Minor_Salivary_Gland	0.209333070808418	8.15494001075896e-09	1
ENSG00000158156.7	Minor_Salivary_Gland	0.303786563658348	8.16201600999323e-13	1
