gene	tissue	rsq	pval	chr
ENSG00000235021.1	Muscle_Skeletal	0.203926259580977	9.04596283135176e-37	1
ENSG00000023572.8	Muscle_Skeletal	0.103963898061487	1.52400936527461e-18	1
ENSG00000023909.9	Muscle_Skeletal	0.0587005239917304	6.86294004745846e-11	1
ENSG00000035687.9	Muscle_Skeletal	0.186004527990889	2.3962175459183e-33	1
ENSG00000053372.4	Muscle_Skeletal	0.198425615825805	1.03509042252151e-35	1
ENSG00000059588.9	Muscle_Skeletal	0.404625183265028	2.51081536840349e-81	1
ENSG00000067704.9	Muscle_Skeletal	0.0392779294843609	1.1000515660345e-07	1
ENSG00000076258.9	Muscle_Skeletal	0.164134259691745	2.87990694136358e-29	1
ENSG00000084073.8	Muscle_Skeletal	0.0470853966186275	5.71338348655766e-09	1
ENSG00000084628.9	Muscle_Skeletal	0.178540319256149	6.07723945499193e-32	1
ENSG00000116157.5	Muscle_Skeletal	0.118355962893179	4.78816872371651e-21	1
ENSG00000116273.5	Muscle_Skeletal	0.0506686820777462	1.46504449447045e-09	1
ENSG00000116652.6	Muscle_Skeletal	0.0254135329996265	2.08552449737447e-05	1
ENSG00000116661.9	Muscle_Skeletal	0.0776297436198525	4.70567891305115e-14	1
ENSG00000116704.7	Muscle_Skeletal	0.161578555788413	8.50019862312644e-29	1
ENSG00000116711.9	Muscle_Skeletal	0.0626268985999984	1.52773977643964e-11	1
ENSG00000116752.5	Muscle_Skeletal	0.0991012297678518	1.04830290817459e-17	1
ENSG00000116771.5	Muscle_Skeletal	0.122496212681175	8.98019207359105e-22	1
ENSG00000116954.7	Muscle_Skeletal	0.0814384027126494	1.07156720541043e-14	1
ENSG00000116981.3	Muscle_Skeletal	0.197567655444682	1.51162444988069e-35	1
ENSG00000117016.9	Muscle_Skeletal	0.165822227895319	1.40659339161407e-29	1
ENSG00000117091.9	Muscle_Skeletal	0.161260681007025	9.72293616057329e-29	1
ENSG00000117118.9	Muscle_Skeletal	0.269409568157164	5.94814473016185e-50	1
ENSG00000117472.9	Muscle_Skeletal	0.113484740595357	3.3993745456105e-20	1
ENSG00000117592.8	Muscle_Skeletal	0.264817327265201	5.44461847953241e-49	1
ENSG00000117593.9	Muscle_Skeletal	0.308487731397749	2.19570264850132e-58	1
ENSG00000117594.9	Muscle_Skeletal	0.0196629256336887	0.000185682347204589	1
ENSG00000117614.9	Muscle_Skeletal	0.034716838733821	6.17322860750912e-07	1
ENSG00000117691.9	Muscle_Skeletal	0.0575816553797411	1.05222200391472e-10	1
ENSG00000117748.9	Muscle_Skeletal	0.643471055285224	8.14258336924452e-160	1
ENSG00000118217.5	Muscle_Skeletal	0.115029925241614	1.82745060903029e-20	1
ENSG00000118292.8	Muscle_Skeletal	0.0808569478420963	1.34357830274871e-14	1
ENSG00000120333.4	Muscle_Skeletal	0.0830973816067589	5.61610518781387e-15	1
ENSG00000121454.5	Muscle_Skeletal	0.161978273880339	7.17798517414025e-29	1
ENSG00000121769.7	Muscle_Skeletal	0.046032419348961	8.51868636732412e-09	1
ENSG00000121905.9	Muscle_Skeletal	0.0178894332015096	0.00036581887648761	1
ENSG00000122180.4	Muscle_Skeletal	0.0754076658199711	1.11314650503622e-13	1
ENSG00000122420.9	Muscle_Skeletal	0.131640358195077	2.17073913147726e-23	1
ENSG00000122435.9	Muscle_Skeletal	0.240451256773072	5.51001322044734e-44	1
ENSG00000122484.8	Muscle_Skeletal	0.210127959707273	5.68130352356022e-38	1
ENSG00000123091.4	Muscle_Skeletal	0.113670570112504	3.15503469563099e-20	1
