gene	tissue	rsq	pval	chr
ENSG00000007968.6	Nerve_Tibial	0.147527687391599	3.8092495382347e-20	1
ENSG00000008118.9	Nerve_Tibial	0.101284963510815	5.49151325410301e-14	1
ENSG00000023572.8	Nerve_Tibial	0.0656707209462347	2.00665759047401e-09	1
ENSG00000023909.9	Nerve_Tibial	0.166160434532022	1.02846831695991e-22	1
ENSG00000035687.9	Nerve_Tibial	0.202773884182557	6.33929177460547e-28	1
ENSG00000053372.4	Nerve_Tibial	0.137196722327665	9.60633884941188e-19	1
ENSG00000059588.9	Nerve_Tibial	0.450560512240171	6.17299612683548e-71	1
ENSG00000067704.9	Nerve_Tibial	0.145272943315181	7.72862412721104e-20	1
ENSG00000076258.9	Nerve_Tibial	0.291261974087429	1.52830743904966e-41	1
ENSG00000076356.6	Nerve_Tibial	0.0523797126412164	9.42823180649613e-08	1
ENSG00000077152.9	Nerve_Tibial	0.0566364226852691	2.75638631160909e-08	1
ENSG00000084073.8	Nerve_Tibial	0.171529766808062	1.82789354214633e-23	1
ENSG00000084628.9	Nerve_Tibial	0.092363183902876	7.86814644696724e-13	1
ENSG00000097096.8	Nerve_Tibial	0.135859273045384	1.45509709616914e-18	1
ENSG00000116157.5	Nerve_Tibial	0.613581536838593	1.64241835028115e-111	1
ENSG00000116251.9	Nerve_Tibial	0.0241266657988143	0.000323058288030318	1
ENSG00000116649.9	Nerve_Tibial	0.10681167005509	1.04379588585539e-14	1
ENSG00000116652.6	Nerve_Tibial	0.131837342397945	5.05417900515945e-18	1
ENSG00000116704.7	Nerve_Tibial	0.106012537012295	1.3277480682767e-14	1
ENSG00000116711.9	Nerve_Tibial	0.182080265046944	5.9457258564036e-25	1
ENSG00000116741.7	Nerve_Tibial	0.161277384436851	4.90374087555318e-22	1
ENSG00000116752.5	Nerve_Tibial	0.187319254627984	1.06813379879908e-25	1
ENSG00000116819.6	Nerve_Tibial	0.082342044716727	1.52595421817807e-11	1
ENSG00000116954.7	Nerve_Tibial	0.184581550924367	2.62306940633793e-25	1
ENSG00000117016.9	Nerve_Tibial	0.0557861438215197	3.52467135992615e-08	1
ENSG00000117091.9	Nerve_Tibial	0.0453223132919096	7.20650943812884e-07	1
ENSG00000117118.9	Nerve_Tibial	0.217725104323094	4.05505657856391e-30	1
ENSG00000117318.8	Nerve_Tibial	0.0342772253908569	1.72762283727589e-05	1
ENSG00000117472.9	Nerve_Tibial	0.0674106465408642	1.20937590966694e-09	1
ENSG00000117507.6	Nerve_Tibial	0.0837197350662265	1.01665602283704e-11	1
ENSG00000117593.9	Nerve_Tibial	0.0701810622405227	5.39317849223343e-10	1
ENSG00000117691.9	Nerve_Tibial	0.0583281730453237	1.68942688824581e-08	1
ENSG00000117748.9	Nerve_Tibial	0.63434539829474	7.10872237312365e-118	1
ENSG00000118217.5	Nerve_Tibial	0.117341777596737	4.30491078531555e-16	1
ENSG00000118292.8	Nerve_Tibial	0.250536774633559	4.43189664355777e-35	1
ENSG00000118655.4	Nerve_Tibial	0.0803408222987978	2.75023555387577e-11	1
ENSG00000120937.8	Nerve_Tibial	0.150193258240687	1.64670219704344e-20	1
ENSG00000121454.5	Nerve_Tibial	0.151733266893849	1.01321615963787e-20	1
ENSG00000121769.7	Nerve_Tibial	0.128550327077893	1.39285070232915e-17	1
ENSG00000122420.9	Nerve_Tibial	0.305678380355175	6.43742819430618e-44	1
ENSG00000122435.9	Nerve_Tibial	0.158322365941598	1.2566744062531e-21	1
ENSG00000122484.8	Nerve_Tibial	0.26140227078572	9.05268209120295e-37	1
ENSG00000123091.4	Nerve_Tibial	0.0491507130681218	2.39254979301408e-07	1
ENSG00000123685.8	Nerve_Tibial	0.0674060747431539	1.21098705224155e-09	1
ENSG00000127125.8	Nerve_Tibial	0.156061958217146	2.57596582440931e-21	1
ENSG00000127129.9	Nerve_Tibial	0.35274532053311	5.00390543177078e-52	1
ENSG00000130764.9	Nerve_Tibial	0.366644087224272	1.55865763645739e-54	1
ENSG00000130766.4	Nerve_Tibial	0.092537262607215	7.47142768731112e-13	1
ENSG00000131233.9	Nerve_Tibial	0.155984134212057	2.6403306193459e-21	1
ENSG00000131791.7	Nerve_Tibial	0.228324563395196	1.06608905838865e-31	1
ENSG00000133055.8	Nerve_Tibial	0.0545355632954642	5.05917577285484e-08	1
ENSG00000134198.9	Nerve_Tibial	0.0588177449687524	1.46614525731685e-08	1
ENSG00000134247.9	Nerve_Tibial	0.252693506182561	2.05631151882244e-35	1
ENSG00000134253.9	Nerve_Tibial	0.157667403600135	1.54747963891997e-21	1
ENSG00000134716.9	Nerve_Tibial	0.0426496209675842	1.5549677146816e-06	1
ENSG00000135744.7	Nerve_Tibial	0.100496649675904	6.95402429211491e-14	1
ENSG00000135766.8	Nerve_Tibial	0.0356292230271581	1.17096885337458e-05	1
ENSG00000135776.4	Nerve_Tibial	0.182376763629937	5.39673649423454e-25	1
ENSG00000135845.9	Nerve_Tibial	0.304666575281819	9.48449999279959e-44	1
ENSG00000135862.5	Nerve_Tibial	0.15354152648275	5.72260246388135e-21	1
ENSG00000136634.5	Nerve_Tibial	0.19277869127725	1.76505278989671e-26	1
ENSG00000142677.3	Nerve_Tibial	0.0877364952516343	3.1029648370716e-12	1
ENSG00000142686.7	Nerve_Tibial	0.0830766346215648	1.22893002932675e-11	1
ENSG00000142694.6	Nerve_Tibial	0.0786059049477188	4.57945538850968e-11	1
ENSG00000143001.4	Nerve_Tibial	0.0288757040069169	8.18608550172531e-05	1
ENSG00000143028.8	Nerve_Tibial	0.266672065659522	1.34407160787104e-37	1
ENSG00000143067.4	Nerve_Tibial	0.109025262031908	5.35461932539235e-15	1
ENSG00000143107.8	Nerve_Tibial	0.0490633960620053	2.45352181095056e-07	1
ENSG00000143125.5	Nerve_Tibial	0.149254225037532	2.21332959077827e-20	1
ENSG00000143126.7	Nerve_Tibial	0.305200173140167	7.73190925155787e-44	1
ENSG00000143162.7	Nerve_Tibial	0.409292369335894	1.40005176490661e-62	1
ENSG00000143184.4	Nerve_Tibial	0.0675278765828995	1.16878551844845e-09	1
ENSG00000143185.3	Nerve_Tibial	0.17092026734094	2.22508143191717e-23	1
ENSG00000143196.4	Nerve_Tibial	0.0528868376712243	8.1444262281503e-08	1
ENSG00000143217.8	Nerve_Tibial	0.18070547765421	9.31321044954007e-25	1
ENSG00000143315.6	Nerve_Tibial	0.0918600739216738	9.13672438080306e-13	1
ENSG00000143320.8	Nerve_Tibial	0.0884399004049174	2.51963228341967e-12	1
ENSG00000143333.6	Nerve_Tibial	0.161052153581104	5.26897157254833e-22	1
ENSG00000143368.9	Nerve_Tibial	0.0812855436113506	2.08282805041653e-11	1
ENSG00000143412.9	Nerve_Tibial	0.0754894236185139	1.14241207229361e-10	1
ENSG00000143443.9	Nerve_Tibial	0.0989329919200894	1.1102303494428e-13	1
ENSG00000143520.6	Nerve_Tibial	0.140244145911245	3.72133641050842e-19	1
ENSG00000143552.9	Nerve_Tibial	0.363767729577674	5.19909320871061e-54	1
ENSG00000143556.8	Nerve_Tibial	0.0375014326482077	6.83456549907747e-06	1
ENSG00000143614.9	Nerve_Tibial	0.0638314676679465	3.4249603895367e-09	1
ENSG00000143630.9	Nerve_Tibial	0.467806076979486	1.29469355294498e-74	1
ENSG00000143641.9	Nerve_Tibial	0.0992978795966161	9.95467960038278e-14	1
ENSG00000143653.9	Nerve_Tibial	0.088026896875483	2.84738025942424e-12	1
ENSG00000143786.7	Nerve_Tibial	0.154593427136901	4.10237806994854e-21	1
ENSG00000143862.7	Nerve_Tibial	0.172809189603584	1.20920765844236e-23	1
ENSG00000150681.9	Nerve_Tibial	0.0911117016432536	1.14104180535498e-12	1
ENSG00000154309.8	Nerve_Tibial	0.225625206996525	2.70529927564283e-31	1
ENSG00000156876.9	Nerve_Tibial	0.298111877289146	1.1521209337023e-42	1
ENSG00000157911.9	Nerve_Tibial	0.222948627812827	6.79005834812561e-31	1
ENSG00000158008.9	Nerve_Tibial	0.219564470913743	2.16408777359123e-30	1
ENSG00000158022.6	Nerve_Tibial	0.151554352330555	1.07207167231262e-20	1
ENSG00000158156.7	Nerve_Tibial	0.113389542290838	1.43004937504296e-15	1
ENSG00000158246.7	Nerve_Tibial	0.0570556935143474	2.44157197294995e-08	1
ENSG00000158292.6	Nerve_Tibial	0.180774484032422	9.10592953521848e-25	1
ENSG00000158473.6	Nerve_Tibial	0.280240004676889	9.30040546312667e-40	1
ENSG00000158615.8	Nerve_Tibial	0.175332638538003	5.34307191544685e-24	1
ENSG00000158715.5	Nerve_Tibial	0.0779615203082679	5.53328773812199e-11	1
ENSG00000158716.8	Nerve_Tibial	0.256729885326738	4.85729693578878e-36	1
ENSG00000158825.5	Nerve_Tibial	0.406439334608376	5.03697980468585e-62	1
ENSG00000158828.7	Nerve_Tibial	0.131456483154128	5.68511782589352e-18	1
ENSG00000159164.9	Nerve_Tibial	0.223415287392642	5.7848191686849e-31	1
ENSG00000159388.5	Nerve_Tibial	0.0613147695095347	7.11053957247457e-09	1
ENSG00000159516.8	Nerve_Tibial	0.163549224708759	2.37353841664412e-22	1
ENSG00000159596.6	Nerve_Tibial	0.0945087448390787	4.15615706459661e-13	1
ENSG00000160714.9	Nerve_Tibial	0.238740142040288	2.84639775562784e-33	1
ENSG00000160716.5	Nerve_Tibial	0.0489147442964953	2.56091355183582e-07	1
ENSG00000160803.7	Nerve_Tibial	0.0552264019990238	4.14366691634399e-08	1
ENSG00000162366.7	Nerve_Tibial	0.0914892522963763	1.02004709610538e-12	1
ENSG00000162377.5	Nerve_Tibial	0.0555405144636005	3.78404104836874e-08	1
ENSG00000162415.6	Nerve_Tibial	0.168653275446414	4.61790572400929e-23	1
ENSG00000162461.7	Nerve_Tibial	0.412842334523194	2.82199699873177e-63	1
ENSG00000162482.4	Nerve_Tibial	0.327500587700004	1.31427623763253e-47	1
ENSG00000162494.5	Nerve_Tibial	0.433337129527481	2.24483245266345e-67	1
ENSG00000162511.7	Nerve_Tibial	0.0964426528656308	2.33555539870086e-13	1
ENSG00000162526.6	Nerve_Tibial	0.230612048491264	4.83058751379583e-32	1
ENSG00000162543.5	Nerve_Tibial	0.0566742095929476	2.7264254986933e-08	1
ENSG00000162545.5	Nerve_Tibial	0.340366784805681	7.71298419294343e-50	1
ENSG00000162595.5	Nerve_Tibial	0.117230393599801	4.45334568744924e-16	1
ENSG00000162601.9	Nerve_Tibial	0.0270594172261159	0.000138280860651184	1
ENSG00000162616.8	Nerve_Tibial	0.14595869263282	6.2335033167733e-20	1
ENSG00000162621.6	Nerve_Tibial	0.208407295226726	9.55137498948377e-29	1
ENSG00000162630.5	Nerve_Tibial	0.168973751623107	4.16550563722303e-23	1
ENSG00000162654.8	Nerve_Tibial	0.123618544707992	6.33345966895282e-17	1
ENSG00000162728.4	Nerve_Tibial	0.0242429175425514	0.000312354584167545	1
ENSG00000162738.5	Nerve_Tibial	0.141834294122968	2.26598015970778e-19	1
ENSG00000162757.4	Nerve_Tibial	0.0493680070745814	2.2473049732733e-07	1
ENSG00000162896.5	Nerve_Tibial	0.0521330477163116	1.01238351997079e-07	1
ENSG00000163191.5	Nerve_Tibial	0.0697989889766138	6.02912847330981e-10	1
ENSG00000163216.6	Nerve_Tibial	0.0889214970245781	2.18466141723401e-12	1
ENSG00000163221.8	Nerve_Tibial	0.0952410541900185	3.34166379486803e-13	1
ENSG00000163344.5	Nerve_Tibial	0.105528036911684	1.53614796453434e-14	1
ENSG00000163348.3	Nerve_Tibial	0.123315694335829	6.94900163389073e-17	1
ENSG00000163545.8	Nerve_Tibial	0.0913561641657256	1.0611638937836e-12	1
ENSG00000163563.7	Nerve_Tibial	0.143670379895513	1.27653519884464e-19	1
ENSG00000163866.8	Nerve_Tibial	0.237902173232667	3.81647752309019e-33	1
ENSG00000163873.9	Nerve_Tibial	0.243274095450944	5.79128949056569e-34	1
ENSG00000163909.7	Nerve_Tibial	0.142342733900503	1.9332669705129e-19	1
ENSG00000169213.6	Nerve_Tibial	0.15188473016084	9.65915297566884e-21	1
ENSG00000169418.9	Nerve_Tibial	0.257358913211654	3.87642009004011e-36	1
ENSG00000169442.8	Nerve_Tibial	0.132202082856481	4.51548919047132e-18	1
ENSG00000169885.9	Nerve_Tibial	0.353515560180161	3.64588466641137e-52	1
ENSG00000169914.5	Nerve_Tibial	0.474180817102226	5.27688422411788e-76	1
ENSG00000169962.4	Nerve_Tibial	0.033521894927541	2.14701722829026e-05	1
ENSG00000170075.8	Nerve_Tibial	0.294874398913526	3.92162434506239e-42	1
ENSG00000170385.9	Nerve_Tibial	0.0892277224854786	1.99515833627956e-12	1
ENSG00000170989.8	Nerve_Tibial	0.114074520918392	1.16180798648395e-15	1
ENSG00000171357.5	Nerve_Tibial	0.157135116878906	1.83250853578942e-21	1
ENSG00000171385.9	Nerve_Tibial	0.204797982927502	3.21625632476317e-28	1
ENSG00000171786.5	Nerve_Tibial	0.338461156878042	1.66122786621488e-49	1
ENSG00000171819.4	Nerve_Tibial	0.21233097216338	2.53636551493274e-29	1
ENSG00000172031.6	Nerve_Tibial	0.0371344168247755	7.59533446323892e-06	1
ENSG00000172380.5	Nerve_Tibial	0.098500501899491	1.26344735423211e-13	1
ENSG00000173110.7	Nerve_Tibial	0.347823301031896	3.75145036435519e-51	1
