gene	tissue	rsq	pval	chr
ENSG00000007968.6	Ovary	0.373766339454521	1.70898915516082e-18	1
ENSG00000023572.8	Ovary	0.0733249726615979	0.000401036213061362	1
ENSG00000059588.9	Ovary	0.475908300259699	6.33957929687147e-25	1
ENSG00000067704.9	Ovary	0.203812190789686	9.16379397019212e-10	1
ENSG00000077152.9	Ovary	0.145744494323513	3.5696960752351e-07	1
ENSG00000091483.6	Ovary	0.270044509161882	6.19448051710845e-13	1
ENSG00000097096.8	Ovary	0.239170470932385	2.00206238119643e-11	1
ENSG00000116157.5	Ovary	0.444230778034388	8.30492756071746e-23	1
ENSG00000116273.5	Ovary	0.307475010988561	7.56633518643987e-15	1
ENSG00000116652.6	Ovary	0.134872602168219	1.05038496589288e-06	1
ENSG00000116661.9	Ovary	0.470641695710001	1.45435247064832e-24	1
ENSG00000116752.5	Ovary	0.208352030268088	5.65796215500536e-10	1
ENSG00000116771.5	Ovary	0.434772474812146	3.37686122062936e-22	1
ENSG00000116819.6	Ovary	0.0577582778646307	0.00175763131074156	1
ENSG00000116954.7	Ovary	0.337691394138107	1.82306596693078e-16	1
ENSG00000116981.3	Ovary	0.177583955278381	1.41768552890959e-08	1
ENSG00000117000.8	Ovary	0.118580975912136	5.19422027972027e-06	1
ENSG00000117091.9	Ovary	0.373847063294242	1.69073296398219e-18	1
ENSG00000117118.9	Ovary	0.136247550799595	9.16901460462931e-07	1
ENSG00000117472.9	Ovary	0.0667917848864353	0.000745743031019988	1
ENSG00000117592.8	Ovary	0.0787848695009535	0.000238628258570453	1
ENSG00000117748.9	Ovary	0.651221838928535	1.39511346069993e-39	1
ENSG00000118217.5	Ovary	0.255467387017104	3.25088908955805e-12	1
ENSG00000118292.8	Ovary	0.138471577899809	7.35688949264877e-07	1
ENSG00000120333.4	Ovary	0.346875913948449	5.68631507955671e-17	1
ENSG00000120937.8	Ovary	0.19118461034102	3.45941813631451e-09	1
ENSG00000121454.5	Ovary	0.254278462692244	3.71655336766196e-12	1
ENSG00000121905.9	Ovary	0.108873980279963	1.33315676055777e-05	1
ENSG00000122420.9	Ovary	0.22527499339674	9.16915802918307e-11	1
ENSG00000122484.8	Ovary	0.450765638845395	3.107859059173e-23	1
ENSG00000123091.4	Ovary	0.115406571568774	7.07487316151777e-06	1
ENSG00000130764.9	Ovary	0.572691568229463	2.80434130091548e-32	1
ENSG00000131233.9	Ovary	0.408625874893803	1.45155010651288e-20	1
ENSG00000131791.7	Ovary	0.179118947759013	1.21028137532289e-08	1
ENSG00000132855.4	Ovary	0.520781689270567	3.76579515342139e-28	1
ENSG00000134198.9	Ovary	0.155966625993453	1.28114749953041e-07	1
ENSG00000134247.9	Ovary	0.337298947672509	1.91544869564821e-16	1
ENSG00000134716.9	Ovary	0.55620510151548	6.46266589633386e-31	1
ENSG00000135744.7	Ovary	0.239015354803946	2.03664839706141e-11	1
ENSG00000135766.8	Ovary	0.123148317267892	3.32543908101831e-06	1
ENSG00000135776.4	Ovary	0.19835913651232	1.63006726314178e-09	1
ENSG00000135862.5	Ovary	0.150319123581896	2.25945287789042e-07	1
ENSG00000137960.5	Ovary	0.178463034753176	1.29495041628432e-08	1
ENSG00000142615.7	Ovary	0.111409454477608	1.04289250826888e-05	1
ENSG00000142677.3	Ovary	0.359272066738767	1.15049168006274e-17	1
ENSG00000143028.8	Ovary	0.540651718742363	1.12362587325055e-29	1
ENSG00000143125.5	Ovary	0.19668261458886	1.94447412583724e-09	1
ENSG00000143126.7	Ovary	0.289365626685378	6.55328378874609e-14	1
ENSG00000143162.7	Ovary	0.139856829601813	6.41261729175594e-07	1
ENSG00000143196.4	Ovary	0.157043132038509	1.14941790872298e-07	1
ENSG00000143315.6	Ovary	0.428840064368929	8.04465818994315e-22	1
ENSG00000143320.8	Ovary	0.634775284628836	6.323527982991e-38	1
ENSG00000143333.6	Ovary	0.232637603032434	4.10721072206469e-11	1
ENSG00000143412.9	Ovary	0.237104331453427	2.51444644253916e-11	1
ENSG00000143520.6	Ovary	0.212970508592654	3.45544145787912e-10	1
ENSG00000143545.8	Ovary	0.139299308895193	6.77727484901913e-07	1
ENSG00000143552.9	Ovary	0.30363792313175	1.20083773533736e-14	1
ENSG00000143614.9	Ovary	0.173911692565668	2.06763237911999e-08	1
ENSG00000143653.9	Ovary	0.132734668765988	1.29714332374152e-06	1
ENSG00000143816.7	Ovary	0.0665069121378441	0.000766179894871504	1
ENSG00000143862.7	Ovary	0.0741011492272742	0.000372523290204975	1
ENSG00000152078.9	Ovary	0.147930316614682	2.86965919010284e-07	1
ENSG00000154309.8	Ovary	0.537577400407122	1.95358352058064e-29	1
ENSG00000156876.9	Ovary	0.31212723993935	4.30762410687385e-15	1
ENSG00000158246.7	Ovary	0.101402471182633	2.74183669444071e-05	1
ENSG00000158764.6	Ovary	0.186504293575989	5.63396135357099e-09	1
ENSG00000158825.5	Ovary	0.64012499656715	1.86410923829787e-38	1
ENSG00000158828.7	Ovary	0.479824927013711	3.40063447001804e-25	1
ENSG00000158859.9	Ovary	0.0775329342626509	0.000268814605370963	1
ENSG00000159164.9	Ovary	0.181436613244529	9.52699834634232e-09	1
ENSG00000159516.8	Ovary	0.162531437418228	6.59883434544495e-08	1
ENSG00000160716.5	Ovary	0.291529900849027	5.07711212653797e-14	1
ENSG00000162377.5	Ovary	0.580972219635863	5.54164421969856e-33	1
