gene	tissue	rsq	pval	chr
ENSG00000235021.1	Pancreas	0.418807414241656	1.38799836064286e-37	1
ENSG00000007968.6	Pancreas	0.117592570936589	7.66386319922144e-10	1
ENSG00000016602.9	Pancreas	0.267611527176667	2.82899091259483e-22	1
ENSG00000023572.8	Pancreas	0.0862164617191844	1.76547023728045e-07	1
ENSG00000023909.9	Pancreas	0.327324753584778	6.50155539023964e-28	1
ENSG00000035687.9	Pancreas	0.314840582967793	1.07448776718969e-26	1
ENSG00000044012.3	Pancreas	0.22058669127946	3.86367769210281e-18	1
ENSG00000053372.4	Pancreas	0.253499917357621	5.23357203241417e-21	1
ENSG00000059588.9	Pancreas	0.17518803627089	2.29307691537097e-14	1
ENSG00000067704.9	Pancreas	0.0847320643416687	2.27602956567441e-07	1
ENSG00000076258.9	Pancreas	0.345722259683868	9.47997622360636e-30	1
ENSG00000084073.8	Pancreas	0.0809084330675484	4.37341768451593e-07	1
ENSG00000091483.6	Pancreas	0.283427627196608	1.00695399761764e-23	1
ENSG00000097096.8	Pancreas	0.358288648859566	4.93398171323732e-31	1
ENSG00000116649.9	Pancreas	0.0479498584020988	0.000115532686950732	1
ENSG00000116741.7	Pancreas	0.351534984699555	2.43276544717849e-30	1
ENSG00000116752.5	Pancreas	0.183708913033646	4.64737742852355e-15	1
ENSG00000116771.5	Pancreas	0.363990834466557	1.26637629409668e-31	1
ENSG00000116819.6	Pancreas	0.195288989415595	5.17953049237206e-16	1
ENSG00000116954.7	Pancreas	0.160081670376937	3.74479418713914e-13	1
ENSG00000117016.9	Pancreas	0.200740867422671	1.82481367022187e-16	1
ENSG00000117472.9	Pancreas	0.192341840995315	9.07852249040057e-16	1
ENSG00000117592.8	Pancreas	0.195452152831574	5.02079708911e-16	1
ENSG00000117593.9	Pancreas	0.206750063399599	5.7339937868994e-17	1
ENSG00000117594.9	Pancreas	0.0937785998088669	4.81937836577947e-08	1
ENSG00000117614.9	Pancreas	0.327608649770406	6.09618850044461e-28	1
ENSG00000117748.9	Pancreas	0.47278904320973	5.0418950570103e-44	1
ENSG00000118217.5	Pancreas	0.239665513336044	8.68683913931686e-20	1
ENSG00000118292.8	Pancreas	0.238630150536911	1.06982224937068e-19	1
ENSG00000120333.4	Pancreas	0.0443506596119531	0.000211868515792155	1
ENSG00000121454.5	Pancreas	0.409442564132277	1.58105960940541e-36	1
ENSG00000122484.8	Pancreas	0.292720170927547	1.37194442621884e-24	1
ENSG00000123685.8	Pancreas	0.226765959362634	1.14144560153786e-18	1
ENSG00000123689.5	Pancreas	0.070611819469983	2.5189872497873e-06	1
ENSG00000130764.9	Pancreas	0.129638517229634	9.1181325212429e-11	1
ENSG00000131233.9	Pancreas	0.0748495003621528	1.2269786123566e-06	1
ENSG00000132718.8	Pancreas	0.117481421546441	7.81501870245449e-10	1
ENSG00000132855.4	Pancreas	0.0854383935341369	2.01696957516533e-07	1
ENSG00000134247.9	Pancreas	0.0791950318181635	5.85718359808623e-07	1
ENSG00000134259.3	Pancreas	0.345312306707638	1.04297287100985e-29	1
ENSG00000134716.9	Pancreas	0.174890281330739	2.42394566795979e-14	1
ENSG00000135744.7	Pancreas	0.199623282013894	2.26115164151738e-16	1
ENSG00000135776.4	Pancreas	0.319452287606236	3.83485951632e-27	1
ENSG00000135801.9	Pancreas	0.0468173692498714	0.000139816648509455	1
ENSG00000135862.5	Pancreas	0.101026514922671	1.37858317396658e-08	1
ENSG00000137960.5	Pancreas	0.282837218460167	1.14193483445443e-23	1
ENSG00000137976.7	Pancreas	0.103422321505374	9.10015285532214e-09	1
