gene	tissue	rsq	pval	chr
ENSG00000207607.3	Pituitary	0.159906781910033	1.63433512080156e-10	1
ENSG00000235021.1	Pituitary	0.288401920622162	4.16025365719458e-19	1
ENSG00000007968.6	Pituitary	0.473633386756706	1.34149457093685e-34	1
ENSG00000008118.9	Pituitary	0.091107011865302	2.21174981009169e-06	1
ENSG00000023572.8	Pituitary	0.368688453218035	2.8719006680446e-25	1
ENSG00000035687.9	Pituitary	0.492090526432842	1.98582984564049e-36	1
ENSG00000049249.8	Pituitary	0.422708994193574	7.31717577777777e-30	1
ENSG00000059588.9	Pituitary	0.242828518792156	6.65395260631205e-16	1
ENSG00000066557.5	Pituitary	0.0632824864612896	9.02569978416572e-05	1
ENSG00000067704.9	Pituitary	0.0654520596273114	6.76994572361945e-05	1
ENSG00000076356.6	Pituitary	0.230983863155123	4.22344767634609e-15	1
ENSG00000077152.9	Pituitary	0.304002951414937	2.99760946865222e-20	1
ENSG00000084073.8	Pituitary	0.326691581670404	5.89286814526456e-22	1
ENSG00000091483.6	Pituitary	0.159481333557278	1.73671413586579e-10	1
ENSG00000116251.9	Pituitary	0.419651010127237	1.36611187852833e-29	1
ENSG00000116661.9	Pituitary	0.172394650403579	2.71346754748833e-11	1
ENSG00000116704.7	Pituitary	0.347340651394656	1.47183574799388e-23	1
ENSG00000116752.5	Pituitary	0.0649141986433481	7.27034659211093e-05	1
ENSG00000116771.5	Pituitary	0.172551416235882	2.65258357626707e-11	1
ENSG00000116903.7	Pituitary	0.113003332118929	1.13991496016632e-07	1
ENSG00000116954.7	Pituitary	0.453631138968902	1.0965050345281e-32	1
ENSG00000117472.9	Pituitary	0.067481585177537	5.17225240003954e-05	1
ENSG00000117592.8	Pituitary	0.272375892447752	5.85701089433933e-18	1
ENSG00000117593.9	Pituitary	0.217372569486555	3.41740028691164e-14	1
ENSG00000117594.9	Pituitary	0.0565149043028764	0.000221165006768876	1
ENSG00000117691.9	Pituitary	0.279191734877499	1.91515825128557e-18	1
ENSG00000117748.9	Pituitary	0.640305600925549	4.30461080074855e-54	1
ENSG00000118217.5	Pituitary	0.144555700756339	1.43950163487697e-09	1
ENSG00000118292.8	Pituitary	0.154043577043436	3.76677045296279e-10	1
ENSG00000118655.4	Pituitary	0.126914882782246	1.68472659599642e-08	1
ENSG00000120337.8	Pituitary	0.606104521880523	1.9087734282626e-49	1
ENSG00000121769.7	Pituitary	0.16624096653219	6.59306962076677e-11	1
ENSG00000122420.9	Pituitary	0.445343844728523	6.48849425408389e-32	1
ENSG00000122484.8	Pituitary	0.522985040294076	1.20935450328557e-39	1
ENSG00000127125.8	Pituitary	0.107911312894763	2.28209574346762e-07	1
ENSG00000127129.9	Pituitary	0.161953495514542	1.21965155491252e-10	1
ENSG00000131910.4	Pituitary	0.0471964111589655	0.00075962578391826	1
ENSG00000132855.4	Pituitary	0.506588651558034	6.51512327271673e-38	1
