gene	tissue	rsq	pval	chr
ENSG00000235021.1	Prostate	0.524593837757177	3.2221356633034e-37	1
ENSG00000008118.9	Prostate	0.206797688088937	1.11880894614559e-12	1
ENSG00000016602.9	Prostate	0.220224079529602	1.6741075592012e-13	1
ENSG00000023572.8	Prostate	0.164748838535105	3.56722226236986e-10	1
ENSG00000057468.6	Prostate	0.719015580935244	2.70890369087481e-62	1
ENSG00000076258.9	Prostate	0.295966217631906	2.0069340387599e-18	1
ENSG00000076356.6	Prostate	0.233082888451712	2.63740293126453e-14	1
ENSG00000116711.9	Prostate	0.0627974187626767	0.000166904988701089	1
ENSG00000116771.5	Prostate	0.0702275166970069	6.6412091697203e-05	1
ENSG00000116819.6	Prostate	0.296899430436842	1.73297362325087e-18	1
ENSG00000116903.7	Prostate	0.290603988747185	4.6474652527539e-18	1
ENSG00000117000.8	Prostate	0.215947810534649	3.07578880862603e-13	1
ENSG00000117016.9	Prostate	0.458792186846835	5.02909964487747e-31	1
ENSG00000117118.9	Prostate	0.192231989707206	8.49760689827861e-12	1
ENSG00000117228.9	Prostate	0.0538166936972553	0.000507650308242773	1
ENSG00000117507.6	Prostate	0.161264135644609	5.6849932279098e-10	1
ENSG00000117560.7	Prostate	0.167571557382764	2.44252054114057e-10	1
ENSG00000117592.8	Prostate	0.0859753613250857	9.33423661603808e-06	1
ENSG00000117593.9	Prostate	0.196215575155872	4.89699646343287e-12	1
ENSG00000117614.9	Prostate	0.166004948955822	3.01433479672847e-10	1
ENSG00000117748.9	Prostate	0.452596104632988	1.76089981147295e-30	1
ENSG00000118217.5	Prostate	0.119320253779098	1.37079430668287e-07	1
ENSG00000118292.8	Prostate	0.350188308302576	2.85582290827064e-22	1
ENSG00000118655.4	Prostate	0.194567143768157	6.15335626547868e-12	1
ENSG00000120333.4	Prostate	0.151268357830547	2.14437135520682e-09	1
ENSG00000120937.8	Prostate	0.422856865380124	5.97076738240881e-28	1
ENSG00000121454.5	Prostate	0.120610976354444	1.16155733864431e-07	1
ENSG00000122435.9	Prostate	0.079141953012747	2.19111232915171e-05	1
ENSG00000122484.8	Prostate	0.441728686189209	1.5337577129793e-29	1
ENSG00000123685.8	Prostate	0.408311065835836	9.27163226549411e-27	1
ENSG00000127125.8	Prostate	0.323982992167227	2.25067098784699e-20	1
ENSG00000130766.4	Prostate	0.0564442689927407	0.000366636450372797	1
ENSG00000131910.4	Prostate	0.0439184423586328	0.00173245450419966	1
ENSG00000132718.8	Prostate	0.211323190055406	5.91761542012465e-13	1
ENSG00000134200.3	Prostate	0.340357022681451	1.49918369069289e-21	1
ENSG00000134247.9	Prostate	0.361358505805883	4.21213428573921e-23	1
ENSG00000134253.9	Prostate	0.382063905227668	1.11007348131881e-24	1
ENSG00000134716.9	Prostate	0.266099248264581	1.99860266820169e-16	1
ENSG00000135744.7	Prostate	0.310570773863499	1.97471343540607e-19	1
ENSG00000135763.9	Prostate	0.201282425199662	2.42047541957689e-12	1
ENSG00000135801.9	Prostate	0.258963523818855	5.84230160271624e-16	1
ENSG00000137960.5	Prostate	0.305772948476279	4.25193848964735e-19	1
ENSG00000142615.7	Prostate	0.214748281418372	3.64601614716109e-13	1
ENSG00000142677.3	Prostate	0.301821007025298	7.9666541098024e-19	1
ENSG00000142686.7	Prostate	0.298635580299671	1.31822690617721e-18	1
ENSG00000142694.6	Prostate	0.336393407200671	2.90552576689136e-21	1
ENSG00000142959.4	Prostate	0.0917521717888047	4.52515322920143e-06	1
ENSG00000143001.4	Prostate	0.533750792564858	3.79782979282946e-38	1
ENSG00000143028.8	Prostate	0.351479450855149	2.29281015972062e-22	1
ENSG00000143067.4	Prostate	0.579832936397927	4.10079226882919e-43	1
ENSG00000143126.7	Prostate	0.159351233414425	7.33711241625072e-10	1
ENSG00000143162.7	Prostate	0.394378738968866	1.20592375490186e-25	1
ENSG00000143184.4	Prostate	0.133216059149072	2.28147911831909e-08	1
ENSG00000143185.3	Prostate	0.170047763323544	1.75039100678241e-10	1
ENSG00000143196.4	Prostate	0.120260872573847	1.21495384667808e-07	1
ENSG00000143315.6	Prostate	0.0608806959146002	0.000211642771776766	1
ENSG00000143320.8	Prostate	0.336188495528301	3.00632346012285e-21	1
ENSG00000143340.6	Prostate	0.141432215902103	7.81727674979667e-09	1
ENSG00000143443.9	Prostate	0.0869543525328624	8.25788576676778e-06	1
ENSG00000143536.7	Prostate	0.217385795321076	2.50768369850972e-13	1
ENSG00000143545.8	Prostate	0.112159571736284	3.42457422095171e-07	1
ENSG00000143546.9	Prostate	0.0617930235615306	0.000189024126826605	1
ENSG00000143552.9	Prostate	0.423376621847055	5.40658371949539e-28	1
ENSG00000143556.8	Prostate	0.377143968699531	2.66214350698981e-24	1
ENSG00000143630.9	Prostate	0.334340856598847	4.08678553372937e-21	1
ENSG00000143641.9	Prostate	0.358157551198945	7.3138371494875e-23	1
ENSG00000143653.9	Prostate	0.219854701977447	1.76463708613349e-13	1
ENSG00000143786.7	Prostate	0.101700320661612	1.2920599196308e-06	1
ENSG00000143862.7	Prostate	0.060233503667664	0.000229308862684171	1
ENSG00000150681.9	Prostate	0.097955738446972	2.07314614038721e-06	1
ENSG00000152078.9	Prostate	0.139634469979871	9.88886191150268e-09	1
ENSG00000156876.9	Prostate	0.219136113052576	1.95488802986362e-13	1
ENSG00000157911.9	Prostate	0.123696704877248	7.81170446045397e-08	1
ENSG00000158008.9	Prostate	0.319812215915952	4.44167708682655e-20	1
ENSG00000158156.7	Prostate	0.247512940106754	3.20098933477759e-15	1
ENSG00000158615.8	Prostate	0.199010768076045	3.32142212198445e-12	1
ENSG00000158764.6	Prostate	0.584077650322266	1.34412849882838e-43	1
ENSG00000158786.4	Prostate	0.138141723140676	1.20166481436573e-08	1
ENSG00000158825.5	Prostate	0.266560968750527	1.86394945005211e-16	1
ENSG00000159164.9	Prostate	0.234139027811681	2.26305813136223e-14	1
ENSG00000159388.5	Prostate	0.383442673978577	8.67683353837273e-25	1
ENSG00000160714.9	Prostate	0.146929713605587	3.79976126698009e-09	1
ENSG00000160716.5	Prostate	0.184086515960217	2.60271432539553e-11	1
ENSG00000162396.5	Prostate	0.291952890724973	3.76468641786647e-18	1
ENSG00000162461.7	Prostate	0.347007332145258	4.89653849671965e-22	1
ENSG00000162482.4	Prostate	0.298828844106762	1.27863883439384e-18	1
ENSG00000162496.8	Prostate	0.151911889237734	1.96949995810239e-09	1
ENSG00000162526.6	Prostate	0.109596412582893	4.7464397158199e-07	1
ENSG00000162595.5	Prostate	0.21626162592481	2.94181745718059e-13	1
