gene	tissue	rsq	pval	chr
ENSG00000008118.9	Skin_Not_Sun_Exposed_Suprapubic	0.0997203477531953	1.95588680311762e-13	1
ENSG00000023572.8	Skin_Not_Sun_Exposed_Suprapubic	0.043046963347605	1.95518216165161e-06	1
ENSG00000035687.9	Skin_Not_Sun_Exposed_Suprapubic	0.411436627998201	2.87897359104334e-61	1
ENSG00000053372.4	Skin_Not_Sun_Exposed_Suprapubic	0.0705154650053451	8.58216601948125e-10	1
ENSG00000059588.9	Skin_Not_Sun_Exposed_Suprapubic	0.0616088919746315	1.06631234027479e-08	1
ENSG00000073754.5	Skin_Not_Sun_Exposed_Suprapubic	0.0816278245680253	3.6160930244619e-11	1
ENSG00000076258.9	Skin_Not_Sun_Exposed_Suprapubic	0.21011979978813	3.18790679344036e-28	1
ENSG00000076356.6	Skin_Not_Sun_Exposed_Suprapubic	0.252101467116808	2.27546898175567e-34	1
ENSG00000084073.8	Skin_Not_Sun_Exposed_Suprapubic	0.243083297823614	5.07286446280465e-33	1
ENSG00000097096.8	Skin_Not_Sun_Exposed_Suprapubic	0.0630202476986852	7.15999396994993e-09	1
ENSG00000116273.5	Skin_Not_Sun_Exposed_Suprapubic	0.036422807400355	1.24736157443681e-05	1
ENSG00000116649.9	Skin_Not_Sun_Exposed_Suprapubic	0.229571144282066	4.96845343957474e-31	1
ENSG00000116661.9	Skin_Not_Sun_Exposed_Suprapubic	0.188644481040811	3.36004557872609e-25	1
ENSG00000116711.9	Skin_Not_Sun_Exposed_Suprapubic	0.0491553001080479	3.5342884366246e-07	1
ENSG00000116741.7	Skin_Not_Sun_Exposed_Suprapubic	0.117236991193665	1.14827262946055e-15	1
ENSG00000116752.5	Skin_Not_Sun_Exposed_Suprapubic	0.259152552205698	1.95813142200285e-35	1
ENSG00000116771.5	Skin_Not_Sun_Exposed_Suprapubic	0.0479104114692921	5.00971200094322e-07	1
ENSG00000116819.6	Skin_Not_Sun_Exposed_Suprapubic	0.14013671643036	1.21090797789819e-18	1
ENSG00000116903.7	Skin_Not_Sun_Exposed_Suprapubic	0.0500814272776246	2.72609905373147e-07	1
ENSG00000116954.7	Skin_Not_Sun_Exposed_Suprapubic	0.185370743797667	9.5584892615835e-25	1
ENSG00000117016.9	Skin_Not_Sun_Exposed_Suprapubic	0.133766204893367	8.28737229463559e-18	1
ENSG00000117118.9	Skin_Not_Sun_Exposed_Suprapubic	0.189957130384604	2.20697429991704e-25	1
ENSG00000117472.9	Skin_Not_Sun_Exposed_Suprapubic	0.218105244557111	2.28674995055865e-29	1
