gene	tissue	rsq	pval	chr
ENSG00000196734.8	Skin_Sun_Exposed_Lower_leg	0.0405891693279956	5.83741735361126e-07	1
ENSG00000007968.6	Skin_Sun_Exposed_Lower_leg	0.231119991534378	2.59229796639275e-36	1
ENSG00000008118.9	Skin_Sun_Exposed_Lower_leg	0.0977158524058558	3.51753553773125e-15	1
ENSG00000023572.8	Skin_Sun_Exposed_Lower_leg	0.198200493164522	8.63030179275348e-31	1
ENSG00000035687.9	Skin_Sun_Exposed_Lower_leg	0.474634993211288	2.46413705641001e-86	1
ENSG00000057468.6	Skin_Sun_Exposed_Lower_leg	0.322859868211381	5.07207304238282e-53	1
ENSG00000067704.9	Skin_Sun_Exposed_Lower_leg	0.174123077630776	6.88342633164914e-27	1
ENSG00000076258.9	Skin_Sun_Exposed_Lower_leg	0.180723712833083	6.01394224587028e-28	1
ENSG00000076356.6	Skin_Sun_Exposed_Lower_leg	0.223065169880863	6.10765362569512e-35	1
ENSG00000077152.9	Skin_Sun_Exposed_Lower_leg	0.0241464849036796	0.000124266524614445	1
ENSG00000084073.8	Skin_Sun_Exposed_Lower_leg	0.0844806813575071	3.04451693054434e-13	1
ENSG00000084628.9	Skin_Sun_Exposed_Lower_leg	0.0909170002344149	3.50220211124229e-14	1
ENSG00000097096.8	Skin_Sun_Exposed_Lower_leg	0.0373878054089654	1.65569156956672e-06	1
ENSG00000116273.5	Skin_Sun_Exposed_Lower_leg	0.297727749374562	3.12194547070358e-48	1
ENSG00000116649.9	Skin_Sun_Exposed_Lower_leg	0.044067887570819	1.87896167794339e-07	1
ENSG00000116661.9	Skin_Sun_Exposed_Lower_leg	0.352697644932835	6.10111682545063e-59	1
ENSG00000116704.7	Skin_Sun_Exposed_Lower_leg	0.202251199833615	1.85573553414729e-31	1
ENSG00000116711.9	Skin_Sun_Exposed_Lower_leg	0.0767882540046435	3.97248567793442e-12	1
ENSG00000116741.7	Skin_Sun_Exposed_Lower_leg	0.0587792061992586	1.52813021963733e-09	1
ENSG00000116745.6	Skin_Sun_Exposed_Lower_leg	0.195730821225598	2.19482712930673e-30	1
ENSG00000116824.4	Skin_Sun_Exposed_Lower_leg	0.074441993888382	8.66725670282336e-12	1
ENSG00000116903.7	Skin_Sun_Exposed_Lower_leg	0.233512316067494	1.00793669025113e-36	1
ENSG00000117000.8	Skin_Sun_Exposed_Lower_leg	0.1387335169077	2.39956806137323e-21	1
ENSG00000117016.9	Skin_Sun_Exposed_Lower_leg	0.106900619386212	1.5402586679158e-16	1
ENSG00000117472.9	Skin_Sun_Exposed_Lower_leg	0.150808871879142	3.26270732013488e-23	1
ENSG00000117507.6	Skin_Sun_Exposed_Lower_leg	0.046090983407493	9.71351557945137e-08	1
ENSG00000117592.8	Skin_Sun_Exposed_Lower_leg	0.0546183527655302	5.98203754116427e-09	1
ENSG00000117593.9	Skin_Sun_Exposed_Lower_leg	0.0950605748128819	8.64567229118976e-15	1
ENSG00000117691.9	Skin_Sun_Exposed_Lower_leg	0.169039899791039	4.44189465338493e-26	1
ENSG00000117748.9	Skin_Sun_Exposed_Lower_leg	0.62573126237535	8.46876624471805e-131	1
ENSG00000118217.5	Skin_Sun_Exposed_Lower_leg	0.0839410959680957	3.64761983324446e-13	1
ENSG00000118292.8	Skin_Sun_Exposed_Lower_leg	0.0490611314139477	3.68378414585312e-08	1
ENSG00000118655.4	Skin_Sun_Exposed_Lower_leg	0.0801641061900168	1.28944520110594e-12	1
ENSG00000121454.5	Skin_Sun_Exposed_Lower_leg	0.119617745314913	1.93180138604976e-18	1
ENSG00000121769.7	Skin_Sun_Exposed_Lower_leg	0.0246736160738517	0.000104569661477513	1
ENSG00000122435.9	Skin_Sun_Exposed_Lower_leg	0.136609472551089	5.08079012293207e-21	1
ENSG00000122484.8	Skin_Sun_Exposed_Lower_leg	0.119484567577699	2.02303857017623e-18	1
ENSG00000123091.4	Skin_Sun_Exposed_Lower_leg	0.045352326420851	1.23600373482751e-07	1
ENSG00000127125.8	Skin_Sun_Exposed_Lower_leg	0.0601405815916913	9.77027815169144e-10	1
ENSG00000131233.9	Skin_Sun_Exposed_Lower_leg	0.200527326595056	3.5726521360914e-31	1
ENSG00000133055.8	Skin_Sun_Exposed_Lower_leg	0.181108748933451	5.21378221010874e-28	1
ENSG00000134198.9	Skin_Sun_Exposed_Lower_leg	0.196111566976986	1.90100331442675e-30	1
ENSG00000134247.9	Skin_Sun_Exposed_Lower_leg	0.0695400965060923	4.40254010057995e-11	1
ENSG00000134259.3	Skin_Sun_Exposed_Lower_leg	0.0935886266035799	1.42195857445716e-14	1
ENSG00000134716.9	Skin_Sun_Exposed_Lower_leg	0.0944692576133331	1.05594727403874e-14	1
ENSG00000135763.9	Skin_Sun_Exposed_Lower_leg	0.142525989221908	6.2597770733547e-22	1
ENSG00000135776.4	Skin_Sun_Exposed_Lower_leg	0.0707449109135131	2.95443283228502e-11	1
ENSG00000137975.7	Skin_Sun_Exposed_Lower_leg	0.258177584077934	5.0007944735521e-41	1
ENSG00000142677.3	Skin_Sun_Exposed_Lower_leg	0.325646514285726	1.45669120569465e-53	1
ENSG00000142959.4	Skin_Sun_Exposed_Lower_leg	0.235764123717373	4.13174377482328e-37	1
ENSG00000143001.4	Skin_Sun_Exposed_Lower_leg	0.489324349298778	4.69699365138936e-90	1
ENSG00000143028.8	Skin_Sun_Exposed_Lower_leg	0.162682207730407	4.50550210036504e-25	1
ENSG00000143067.4	Skin_Sun_Exposed_Lower_leg	0.0708939505561015	2.81212004542537e-11	1
ENSG00000143107.8	Skin_Sun_Exposed_Lower_leg	0.193940727670254	4.30999381216746e-30	1
ENSG00000143125.5	Skin_Sun_Exposed_Lower_leg	0.211989337309554	4.46932527580275e-33	1
ENSG00000143126.7	Skin_Sun_Exposed_Lower_leg	0.246255967169563	6.26238449056432e-39	1
ENSG00000143162.7	Skin_Sun_Exposed_Lower_leg	0.178527456526523	1.35616147899472e-27	1
ENSG00000143184.4	Skin_Sun_Exposed_Lower_leg	0.100457833548657	1.38641409225489e-15	1
ENSG00000143196.4	Skin_Sun_Exposed_Lower_leg	0.24500602254283	1.03464107954774e-38	1
ENSG00000143217.8	Skin_Sun_Exposed_Lower_leg	0.0390271101347111	9.70868682650575e-07	1
ENSG00000143256.4	Skin_Sun_Exposed_Lower_leg	0.18247175980148	3.14360417938507e-28	1
ENSG00000143315.6	Skin_Sun_Exposed_Lower_leg	0.0480533323258825	5.11953373444692e-08	1
ENSG00000143320.8	Skin_Sun_Exposed_Lower_leg	0.0807540068704928	1.05893859931661e-12	1
ENSG00000143368.9	Skin_Sun_Exposed_Lower_leg	0.16494145855656	1.98165082539356e-25	1
ENSG00000143412.9	Skin_Sun_Exposed_Lower_leg	0.396699592919783	3.48474869909914e-68	1
ENSG00000143443.9	Skin_Sun_Exposed_Lower_leg	0.320474022899166	1.47002292448188e-52	1
ENSG00000143520.6	Skin_Sun_Exposed_Lower_leg	0.0821398985284039	6.66429873497919e-13	1
ENSG00000143536.7	Skin_Sun_Exposed_Lower_leg	0.311650971829614	7.28651552883655e-51	1
ENSG00000143546.9	Skin_Sun_Exposed_Lower_leg	0.0412580512655547	4.69455186578763e-07	1
ENSG00000143552.9	Skin_Sun_Exposed_Lower_leg	0.297638592185594	3.24423336619657e-48	1
ENSG00000143556.8	Skin_Sun_Exposed_Lower_leg	0.0674915105018726	8.6673332707556e-11	1
ENSG00000143630.9	Skin_Sun_Exposed_Lower_leg	0.0950543767041837	8.6638175970443e-15	1
ENSG00000143641.9	Skin_Sun_Exposed_Lower_leg	0.123366664899784	5.2561058730571e-19	1
ENSG00000143751.9	Skin_Sun_Exposed_Lower_leg	0.0461308486630088	9.58800018482897e-08	1
ENSG00000143786.7	Skin_Sun_Exposed_Lower_leg	0.0229106089604473	0.000186319837174442	1
ENSG00000143816.7	Skin_Sun_Exposed_Lower_leg	0.0400700425195867	6.91278465438958e-07	1
ENSG00000150681.9	Skin_Sun_Exposed_Lower_leg	0.0700787922584286	3.68357141819281e-11	1
ENSG00000152078.9	Skin_Sun_Exposed_Lower_leg	0.0910127352280259	3.39102075230613e-14	1
ENSG00000154342.5	Skin_Sun_Exposed_Lower_leg	0.198904894293906	6.60972760576606e-31	1
ENSG00000156876.9	Skin_Sun_Exposed_Lower_leg	0.280822151982444	4.1851525864061e-45	1
ENSG00000157911.9	Skin_Sun_Exposed_Lower_leg	0.119362436801938	2.11047885921979e-18	1
ENSG00000157933.9	Skin_Sun_Exposed_Lower_leg	0.177331813358914	2.10953695686379e-27	1
ENSG00000158008.9	Skin_Sun_Exposed_Lower_leg	0.16699309138921	9.38201029146481e-26	1
ENSG00000158022.6	Skin_Sun_Exposed_Lower_leg	0.0435654389328159	2.21336202729153e-07	1
ENSG00000158246.7	Skin_Sun_Exposed_Lower_leg	0.0264708739484104	5.8099111536509e-05	1
ENSG00000158292.6	Skin_Sun_Exposed_Lower_leg	0.0966380138684365	5.06866594600022e-15	1
ENSG00000158477.6	Skin_Sun_Exposed_Lower_leg	0.106634145172909	1.68726227438184e-16	1
ENSG00000158615.8	Skin_Sun_Exposed_Lower_leg	0.18491381279049	1.26728202725475e-28	1
ENSG00000158715.5	Skin_Sun_Exposed_Lower_leg	0.231459833293659	2.26716257629342e-36	1
ENSG00000158764.6	Skin_Sun_Exposed_Lower_leg	0.294125012643852	1.46912545931573e-47	1
ENSG00000158786.4	Skin_Sun_Exposed_Lower_leg	0.182332771142506	3.31016557668985e-28	1
ENSG00000158825.5	Skin_Sun_Exposed_Lower_leg	0.197398967243461	1.16874939290822e-30	1
ENSG00000158828.7	Skin_Sun_Exposed_Lower_leg	0.202830698271808	1.48851476128603e-31	1
ENSG00000159164.9	Skin_Sun_Exposed_Lower_leg	0.134786323403239	9.66015632082004e-21	1
ENSG00000159388.5	Skin_Sun_Exposed_Lower_leg	0.0721735744880587	1.84013339525818e-11	1
ENSG00000159516.8	Skin_Sun_Exposed_Lower_leg	0.0975307457177796	3.74539165856059e-15	1
ENSG00000159527.3	Skin_Sun_Exposed_Lower_leg	0.511364022330064	7.68534347363821e-96	1
ENSG00000159596.6	Skin_Sun_Exposed_Lower_leg	0.117273030763375	4.34925857921833e-18	1
ENSG00000160714.9	Skin_Sun_Exposed_Lower_leg	0.0319911868393668	9.59808302647716e-06	1
ENSG00000160716.5	Skin_Sun_Exposed_Lower_leg	0.167046787146866	9.19997718658083e-26	1
ENSG00000160803.7	Skin_Sun_Exposed_Lower_leg	0.164217199490365	2.57917702315983e-25	1
ENSG00000162377.5	Skin_Sun_Exposed_Lower_leg	0.0733874655450504	1.23013864961623e-11	1
ENSG00000162396.5	Skin_Sun_Exposed_Lower_leg	0.0855690282894166	2.11391621059977e-13	1
ENSG00000162407.8	Skin_Sun_Exposed_Lower_leg	0.0467167733984239	7.91953850122821e-08	1
ENSG00000162415.6	Skin_Sun_Exposed_Lower_leg	0.0746035501012935	8.21433453182618e-12	1
ENSG00000162461.7	Skin_Sun_Exposed_Lower_leg	0.087969225470298	9.44385919218171e-14	1
ENSG00000162482.4	Skin_Sun_Exposed_Lower_leg	0.494280271478203	2.47011405415507e-91	1
ENSG00000162494.5	Skin_Sun_Exposed_Lower_leg	0.0500691471409895	2.65009675318475e-08	1
ENSG00000162496.8	Skin_Sun_Exposed_Lower_leg	0.105427436734275	2.54875739118768e-16	1
ENSG00000162510.5	Skin_Sun_Exposed_Lower_leg	0.0231687405105105	0.00017119677634853	1
ENSG00000162526.6	Skin_Sun_Exposed_Lower_leg	0.126189363461339	1.96597313589734e-19	1
ENSG00000162543.5	Skin_Sun_Exposed_Lower_leg	0.110761281388562	4.10072008206912e-17	1
ENSG00000162595.5	Skin_Sun_Exposed_Lower_leg	0.0933344452057226	1.54942978156969e-14	1
ENSG00000162601.9	Skin_Sun_Exposed_Lower_leg	0.152639007967805	1.69244170183424e-23	1
ENSG00000162616.8	Skin_Sun_Exposed_Lower_leg	0.182215914161435	3.45699243675888e-28	1
ENSG00000162728.4	Skin_Sun_Exposed_Lower_leg	0.0703672920725793	3.34800271440848e-11	1
ENSG00000162738.5	Skin_Sun_Exposed_Lower_leg	0.0647231733406046	2.16130299726048e-10	1
ENSG00000162747.9	Skin_Sun_Exposed_Lower_leg	0.46342209317106	1.45234909449723e-83	1
ENSG00000162757.4	Skin_Sun_Exposed_Lower_leg	0.0816561171435615	7.83405408249042e-13	1
ENSG00000162851.7	Skin_Sun_Exposed_Lower_leg	0.127430600664056	1.27460030753861e-19	1
ENSG00000162888.4	Skin_Sun_Exposed_Lower_leg	0.364442739294802	2.40259788600212e-61	1
ENSG00000162896.5	Skin_Sun_Exposed_Lower_leg	0.0548150043185201	5.6088041520314e-09	1
ENSG00000163154.5	Skin_Sun_Exposed_Lower_leg	0.042128504029682	3.53533347012976e-07	1
ENSG00000163202.4	Skin_Sun_Exposed_Lower_leg	0.105898241209535	2.16999573012103e-16	1
ENSG00000163207.6	Skin_Sun_Exposed_Lower_leg	0.176589152793866	2.77481553314257e-27	1
ENSG00000163221.8	Skin_Sun_Exposed_Lower_leg	0.0836293340392052	4.04895853284631e-13	1
ENSG00000163344.5	Skin_Sun_Exposed_Lower_leg	0.0686078727755003	5.99279606265423e-11	1
ENSG00000163348.3	Skin_Sun_Exposed_Lower_leg	0.107209982376524	1.38554265136606e-16	1
ENSG00000163545.8	Skin_Sun_Exposed_Lower_leg	0.0430475048667144	2.62040318437818e-07	1
ENSG00000163866.8	Skin_Sun_Exposed_Lower_leg	0.300271760862039	1.04088205490419e-48	1
ENSG00000163873.9	Skin_Sun_Exposed_Lower_leg	0.0933450342923155	1.54389869342224e-14	1
ENSG00000169213.6	Skin_Sun_Exposed_Lower_leg	0.102974829927788	5.8855649944193e-16	1
ENSG00000169291.9	Skin_Sun_Exposed_Lower_leg	0.180026468620143	7.78704309065794e-28	1
ENSG00000169469.8	Skin_Sun_Exposed_Lower_leg	0.178526410223612	1.35668627385555e-27	1
ENSG00000169474.4	Skin_Sun_Exposed_Lower_leg	0.0799203924130722	1.39870909248284e-12	1
ENSG00000169885.9	Skin_Sun_Exposed_Lower_leg	0.270788331630653	2.77803345708616e-43	1
ENSG00000169914.5	Skin_Sun_Exposed_Lower_leg	0.222625235276225	7.25136510436635e-35	1
ENSG00000170385.9	Skin_Sun_Exposed_Lower_leg	0.0407133696679254	5.60597449850636e-07	1
ENSG00000171357.5	Skin_Sun_Exposed_Lower_leg	0.23247494548836	1.51873449029276e-36	1
ENSG00000171385.9	Skin_Sun_Exposed_Lower_leg	0.310089565602211	1.4463657174257e-50	1
ENSG00000171517.5	Skin_Sun_Exposed_Lower_leg	0.326905097180499	8.27808300041895e-54	1
ENSG00000171612.6	Skin_Sun_Exposed_Lower_leg	0.021423501931151	0.000303615806667261	1
ENSG00000172155.9	Skin_Sun_Exposed_Lower_leg	0.547981607629035	4.69023164329068e-106	1
ENSG00000172339.9	Skin_Sun_Exposed_Lower_leg	0.239601486064826	8.98560237513134e-38	1
ENSG00000173110.7	Skin_Sun_Exposed_Lower_leg	0.0713987726695027	2.37899539169335e-11	1
ENSG00000173212.4	Skin_Sun_Exposed_Lower_leg	0.126453822824941	1.79266538601338e-19	1
ENSG00000174307.6	Skin_Sun_Exposed_Lower_leg	0.140725096712542	1.1856975754712e-21	1
ENSG00000174529.7	Skin_Sun_Exposed_Lower_leg	0.104744179702764	3.21862115142458e-16	1
ENSG00000174567.7	Skin_Sun_Exposed_Lower_leg	0.151265626960375	2.7700496681835e-23	1
ENSG00000175087.9	Skin_Sun_Exposed_Lower_leg	0.209921947622835	9.89499616319071e-33	1
ENSG00000175130.6	Skin_Sun_Exposed_Lower_leg	0.100559211361114	1.33943919440613e-15	1
