gene	tissue	rsq	pval	chr
ENSG00000235021.1	Small_Intestine_Terminal_Ileum	0.681979659521042	1.19295433983381e-44	1
ENSG00000057468.6	Small_Intestine_Terminal_Ileum	0.591827075511075	2.68128447188432e-35	1
ENSG00000066557.5	Small_Intestine_Terminal_Ileum	0.0864419757011898	8.22679483711821e-05	1
ENSG00000067704.9	Small_Intestine_Terminal_Ileum	0.103113769057289	1.55875760996485e-05	1
ENSG00000076356.6	Small_Intestine_Terminal_Ileum	0.131803746305678	8.50335971071401e-07	1
ENSG00000097096.8	Small_Intestine_Terminal_Ileum	0.573072847385101	1.2972518710642e-33	1
ENSG00000116273.5	Small_Intestine_Terminal_Ileum	0.111832003857077	6.48443422799112e-06	1
ENSG00000116661.9	Small_Intestine_Terminal_Ileum	0.111391615599381	6.77907625287868e-06	1
ENSG00000116711.9	Small_Intestine_Terminal_Ileum	0.556979999259625	3.1700646088754e-32	1
ENSG00000116752.5	Small_Intestine_Terminal_Ileum	0.335566640509743	5.58043029203628e-17	1
ENSG00000116819.6	Small_Intestine_Terminal_Ileum	0.172754592640301	1.17531270881997e-08	1
ENSG00000116824.4	Small_Intestine_Terminal_Ileum	0.192911515359683	1.33720977673077e-09	1
ENSG00000116954.7	Small_Intestine_Terminal_Ileum	0.101382766618359	1.85410181784114e-05	1
ENSG00000117000.8	Small_Intestine_Terminal_Ileum	0.0941785414401551	3.80939651560297e-05	1
ENSG00000117091.9	Small_Intestine_Terminal_Ileum	0.155051874926707	7.63849450946874e-08	1
ENSG00000117560.7	Small_Intestine_Terminal_Ileum	0.0731064067472201	0.000308185723817691	1
ENSG00000117614.9	Small_Intestine_Terminal_Ileum	0.127245636268615	1.35591169025821e-06	1
ENSG00000117748.9	Small_Intestine_Terminal_Ileum	0.449321822128812	4.69326225179393e-24	1
ENSG00000118217.5	Small_Intestine_Terminal_Ileum	0.198415132761157	7.32576581407277e-10	1
ENSG00000118292.8	Small_Intestine_Terminal_Ileum	0.259866731143233	6.76052948545098e-13	1
ENSG00000118655.4	Small_Intestine_Terminal_Ileum	0.117502625387035	3.65427372676452e-06	1
ENSG00000120333.4	Small_Intestine_Terminal_Ileum	0.170142187655457	1.55248562422705e-08	1
ENSG00000120937.8	Small_Intestine_Terminal_Ileum	0.0900491374801646	5.74780897287525e-05	1
ENSG00000121454.5	Small_Intestine_Terminal_Ileum	0.366663368331119	8.66516223199874e-19	1
ENSG00000121769.7	Small_Intestine_Terminal_Ileum	0.170412195668833	1.50851492136397e-08	1
ENSG00000121905.9	Small_Intestine_Terminal_Ileum	0.758082630696144	6.89064377144943e-55	1
ENSG00000122420.9	Small_Intestine_Terminal_Ileum	0.369099289038771	6.20087382689261e-19	1
ENSG00000122435.9	Small_Intestine_Terminal_Ileum	0.0725112788461209	0.000326850053184363	1
ENSG00000123689.5	Small_Intestine_Terminal_Ileum	0.438590986508553	2.49690855180685e-23	1
ENSG00000127125.8	Small_Intestine_Terminal_Ileum	0.068801346718932	0.000471473835861535	1
ENSG00000131910.4	Small_Intestine_Terminal_Ileum	0.25778279496568	8.64312789013777e-13	1
