gene	tissue	rsq	pval	chr
ENSG00000177275.3	Spleen	0.0667273305259857	8.23426487536573e-05	1
ENSG00000234142.1	Spleen	0.0922666349423245	3.13341946201475e-06	1
ENSG00000007968.6	Spleen	0.078547935604178	1.82335407259413e-05	1
ENSG00000008118.9	Spleen	0.274811414288025	2.00295330451762e-17	1
ENSG00000049249.8	Spleen	0.595565711686919	4.04583464449248e-46	1
ENSG00000057468.6	Spleen	0.350337571692216	7.53383501078111e-23	1
ENSG00000073754.5	Spleen	0.215849051884326	1.48443040128777e-13	1
ENSG00000076258.9	Spleen	0.235551487209612	8.1282508428296e-15	1
ENSG00000084073.8	Spleen	0.0697818339696672	5.58115974432115e-05	1
ENSG00000091483.6	Spleen	0.376982013986614	6.53754826231369e-25	1
ENSG00000097096.8	Spleen	0.0594655687752068	0.000207312539805891	1
ENSG00000116649.9	Spleen	0.0982742195898588	1.44196748709599e-06	1
ENSG00000116661.9	Spleen	0.311808169794237	5.20735468583791e-20	1
ENSG00000116704.7	Spleen	0.168669193641093	1.19519731240113e-10	1
ENSG00000116741.7	Spleen	0.363328410528138	7.62809719092493e-24	1
ENSG00000116954.7	Spleen	0.393811654583032	2.93885320118755e-26	1
ENSG00000117000.8	Spleen	0.119872211213983	8.59674459686313e-08	1
ENSG00000117318.8	Spleen	0.212543315254158	2.40060647149328e-13	1
ENSG00000117592.8	Spleen	0.257485922261729	2.94383765618896e-16	1
ENSG00000117593.9	Spleen	0.249861617814383	9.42661238294594e-16	1
ENSG00000117614.9	Spleen	0.060208070616424	0.000188646417609738	1
ENSG00000117748.9	Spleen	0.540006930465858	8.26174315329952e-40	1
ENSG00000118217.5	Spleen	0.524621687308273	3.39355478243782e-38	1
ENSG00000118292.8	Spleen	0.183435073319906	1.52912577876626e-11	1
ENSG00000118655.4	Spleen	0.284377602946815	4.4225325948643e-18	1
ENSG00000120333.4	Spleen	0.0897911559851808	4.31030314616633e-06	1
ENSG00000120337.8	Spleen	0.473464314199623	3.51761968340067e-33	1
ENSG00000121454.5	Spleen	0.347726687122356	1.18729917511076e-22	1
ENSG00000122420.9	Spleen	0.479666445766877	9.21618863417589e-34	1
ENSG00000122484.8	Spleen	0.0651807584131856	0.000100249708960531	1
ENSG00000127125.8	Spleen	0.230403531930516	1.74800913852521e-14	1
ENSG00000131791.7	Spleen	0.20185834716144	1.120925841394e-12	1
ENSG00000131910.4	Spleen	0.142818796092741	4.05351819603901e-09	1
ENSG00000132703.3	Spleen	0.289118383718161	2.07700974524321e-18	1
