gene	tissue	rsq	pval	chr
ENSG00000035687.9	Stomach	0.287866054842372	1.50402853306451e-25	1
ENSG00000049249.8	Stomach	0.223648094511604	1.85265859535958e-19	1
ENSG00000057468.6	Stomach	0.366544419103727	8.70217660917808e-34	1
ENSG00000059588.9	Stomach	0.0516750925543755	3.62492259937891e-05	1
ENSG00000076258.9	Stomach	0.229652982404072	5.23918808587327e-20	1
ENSG00000076356.6	Stomach	0.0544667236956134	2.20193052562929e-05	1
ENSG00000084073.8	Stomach	0.0517925981221055	3.54967028723816e-05	1
ENSG00000116649.9	Stomach	0.113802682417501	4.5932491409281e-10	1
ENSG00000116661.9	Stomach	0.527573909363891	2.25473174722351e-54	1
ENSG00000116704.7	Stomach	0.238156213638475	8.61928261529712e-21	1
ENSG00000116711.9	Stomach	0.295264699608072	2.76449977520757e-26	1
ENSG00000116752.5	Stomach	0.158058072568506	1.02759254119339e-13	1
ENSG00000116771.5	Stomach	0.0881150762586479	5.15920179768485e-08	1
ENSG00000116819.6	Stomach	0.264999981875133	2.53906285430665e-23	1
ENSG00000116903.7	Stomach	0.0767156235555904	4.06804411847955e-07	1
ENSG00000116954.7	Stomach	0.154442337620062	2.07156273027726e-13	1
ENSG00000116981.3	Stomach	0.0499188284507046	4.95969433393534e-05	1
ENSG00000117016.9	Stomach	0.0521547687857511	3.32741054748385e-05	1
ENSG00000117472.9	Stomach	0.0445590381490502	0.000129104387761342	1
ENSG00000117507.6	Stomach	0.155745565713136	1.60949674994055e-13	1
ENSG00000117593.9	Stomach	0.146154608157049	1.02286508764754e-12	1
ENSG00000117748.9	Stomach	0.487017804497901	1.34577006611854e-48	1
ENSG00000118217.5	Stomach	0.113727479511848	4.65789663528032e-10	1
ENSG00000118292.8	Stomach	0.0665506265420522	2.53279712356354e-06	1
ENSG00000120337.8	Stomach	0.0891813389338292	4.24934923386112e-08	1
ENSG00000121454.5	Stomach	0.378754606236636	3.72989494462881e-35	1
ENSG00000121769.7	Stomach	0.0773694460129486	3.61523554192514e-07	1
ENSG00000122420.9	Stomach	0.0491331884303191	5.70631773216578e-05	1
ENSG00000122484.8	Stomach	0.172635529278846	5.91700382810948e-15	1
ENSG00000123685.8	Stomach	0.103990381254453	2.82258902435869e-09	1
ENSG00000123689.5	Stomach	0.0906706198969088	3.2398087267771e-08	1
ENSG00000127129.9	Stomach	0.159662931461492	7.52140750232922e-14	1
ENSG00000131791.7	Stomach	0.221824421249496	2.71382172984156e-19	1
ENSG00000131910.4	Stomach	0.134890052571023	8.76909854323022e-12	1
ENSG00000132718.8	Stomach	0.0858968234558092	7.72079818161143e-08	1
ENSG00000132855.4	Stomach	0.0877802787096373	5.48309195311169e-08	1
ENSG00000133055.8	Stomach	0.253250677088056	3.3356585598041e-22	1
ENSG00000134247.9	Stomach	0.136983529655915	5.89307448932882e-12	1
ENSG00000134716.9	Stomach	0.0489487560400126	5.89728854889131e-05	1
ENSG00000135744.7	Stomach	0.162612385532825	4.23273051688396e-14	1
ENSG00000135763.9	Stomach	0.0881569299297499	5.12007541083974e-08	1
ENSG00000135766.8	Stomach	0.198223134493049	3.51926097329087e-17	1
ENSG00000135801.9	Stomach	0.429512009213558	3.84691189859069e-41	1
ENSG00000137976.7	Stomach	0.290726431130286	7.82959794078002e-26	1
ENSG00000142677.3	Stomach	0.349061874284134	7.13924034758103e-32	1
ENSG00000142686.7	Stomach	0.260241210689587	7.24048777092824e-23	1
ENSG00000143028.8	Stomach	0.437524272613852	3.91000074177623e-42	1
ENSG00000143067.4	Stomach	0.147526209539547	7.86063777831129e-13	1
ENSG00000143162.7	Stomach	0.17392252501647	4.58873185199946e-15	1
ENSG00000143184.4	Stomach	0.199115534804978	2.93519397900446e-17	1
ENSG00000143185.3	Stomach	0.337458514087201	1.24817932797701e-30	1
ENSG00000143196.4	Stomach	0.220671512959304	3.45301507642298e-19	1
ENSG00000143340.6	Stomach	0.149891518168825	4.98723224032446e-13	1
ENSG00000143412.9	Stomach	0.234708846707133	1.79573137624822e-20	1
ENSG00000143443.9	Stomach	0.142883956787403	1.91364702153572e-12	1
ENSG00000143545.8	Stomach	0.209619321080168	3.4173561498535e-18	1
ENSG00000143556.8	Stomach	0.0471338524839026	8.15331061126504e-05	1
ENSG00000143614.9	Stomach	0.294699678284594	3.14819120635749e-26	1
ENSG00000143786.7	Stomach	0.0689686001549649	1.64090975588415e-06	1
ENSG00000143816.7	Stomach	0.128524530466123	2.92149328851812e-11	1
ENSG00000156876.9	Stomach	0.095841933632299	1.26008369624443e-08	1
ENSG00000157911.9	Stomach	0.146749921694894	9.12436592093505e-13	1
ENSG00000157933.9	Stomach	0.10136228494092	4.57821956231393e-09	1
ENSG00000158022.6	Stomach	0.269086676435391	1.02699228947396e-23	1
ENSG00000158156.7	Stomach	0.171635260689621	7.20782285554811e-15	1
ENSG00000158715.5	Stomach	0.125209575561081	5.45122070051278e-11	1
ENSG00000158764.6	Stomach	0.38232822177792	1.46661646516741e-35	1
ENSG00000158825.5	Stomach	0.232877597016994	2.64858006334438e-20	1
ENSG00000158828.7	Stomach	0.084017857223828	1.08577739983884e-07	1
ENSG00000158859.9	Stomach	0.3581892717516	7.25724059286919e-33	1
ENSG00000160714.9	Stomach	0.0447705646193471	0.000124319922203677	1
ENSG00000160716.5	Stomach	0.0519346298646212	3.46079180516021e-05	1
ENSG00000160803.7	Stomach	0.0895178254252842	3.99685012491512e-08	1
ENSG00000162366.7	Stomach	0.0594746560403263	8.99638600212026e-06	1
ENSG00000162396.5	Stomach	0.0778471770832738	3.31647422727964e-07	1
ENSG00000162415.6	Stomach	0.117607223112698	2.26201577274015e-10	1
ENSG00000162460.6	Stomach	0.0829711887903227	1.31262546236979e-07	1
ENSG00000162461.7	Stomach	0.138940322336269	4.06133881694369e-12	1
ENSG00000162482.4	Stomach	0.131541919316226	1.65298263615861e-11	1
ENSG00000162494.5	Stomach	0.239391659291131	6.62056486030749e-21	1
ENSG00000162543.5	Stomach	0.356610365867464	1.08022877883207e-32	1
ENSG00000162595.5	Stomach	0.123441746336446	7.59628699212365e-11	1
ENSG00000162601.9	Stomach	0.114424468726493	4.0918322171825e-10	1
ENSG00000162616.8	Stomach	0.213075365886817	1.67427359603869e-18	1
ENSG00000162654.8	Stomach	0.127095982698485	3.82339176887931e-11	1
ENSG00000162738.5	Stomach	0.355078035553564	1.58768931146907e-32	1
ENSG00000162747.9	Stomach	0.0674775287438484	2.14467993818666e-06	1
ENSG00000162757.4	Stomach	0.189051655684157	2.24758684330064e-16	1
ENSG00000162763.3	Stomach	0.268975731029131	1.05260960989695e-23	1
ENSG00000163344.5	Stomach	0.0410409428308626	0.000242000746655972	1
ENSG00000163866.8	Stomach	0.400286456243478	1.2401230403172e-37	1
ENSG00000163909.7	Stomach	0.0721724483332946	9.22410144762228e-07	1
ENSG00000169291.9	Stomach	0.203569978426301	1.18301371972795e-17	1
ENSG00000169418.9	Stomach	0.181916565089265	9.38251289673688e-16	1
ENSG00000169474.4	Stomach	0.0497974522745509	5.06831864221678e-05	1
ENSG00000169885.9	Stomach	0.304858322388036	2.99520720797651e-27	1
ENSG00000169914.5	Stomach	0.122670018388151	8.77876725369704e-11	1
ENSG00000170128.4	Stomach	0.0402644613782757	0.000278023383088627	1
ENSG00000170989.8	Stomach	0.13049410262628	2.01484426541372e-11	1
ENSG00000171385.9	Stomach	0.117117473122883	2.47831326763756e-10	1
ENSG00000171517.5	Stomach	0.0424297748146589	0.000188827435908404	1
ENSG00000171786.5	Stomach	0.118141881535949	2.04728184078221e-10	1
ENSG00000172380.5	Stomach	0.0896746747315648	3.88431213715872e-08	1
ENSG00000174307.6	Stomach	0.133269443652369	1.19214857932004e-11	1
ENSG00000174529.7	Stomach	0.0608272461390993	7.06265397429044e-06	1
ENSG00000174567.7	Stomach	0.147775832519215	7.49250935711445e-13	1
ENSG00000175087.9	Stomach	0.114824779967456	3.79823716458344e-10	1
ENSG00000175707.8	Stomach	0.242997149087827	3.05839645878604e-21	1
ENSG00000176022.4	Stomach	0.231136408925209	3.82936575217235e-20	1
ENSG00000177757.2	Stomach	0.237378012016889	1.01753767259711e-20	1
ENSG00000177807.8	Stomach	0.192364951576017	1.15290929417807e-16	1
ENSG00000178096.8	Stomach	0.182836147936255	7.80941052392595e-16	1
ENSG00000178828.6	Stomach	0.233183592896489	2.48221155068856e-20	1
ENSG00000179023.8	Stomach	0.293229915992018	4.41246344220538e-26	1
ENSG00000179085.7	Stomach	0.0450405674923091	0.000118469710612122	1
ENSG00000179862.6	Stomach	0.0392342184247884	0.000334248863894012	1
ENSG00000179914.4	Stomach	0.136920934400359	5.9635979460396e-12	1
ENSG00000180875.4	Stomach	0.381037069691534	2.05611504192972e-35	1
ENSG00000181218.5	Stomach	0.0422257644825823	0.000195835007811122	1
ENSG00000182749.5	Stomach	0.174027952068375	4.49408471515391e-15	1
ENSG00000183114.7	Stomach	0.23640064316489	1.25307586620969e-20	1
ENSG00000184163.3	Stomach	0.0862707309315057	7.2139141595803e-08	1
ENSG00000184292.6	Stomach	0.228626812629317	6.50565431735967e-20	1
ENSG00000184454.6	Stomach	0.529194611072937	1.29464946072707e-54	1
ENSG00000185668.7	Stomach	0.106420606521269	1.80297415791673e-09	1
ENSG00000186564.5	Stomach	0.0867687970520189	6.58983251786004e-08	1
ENSG00000186603.5	Stomach	0.275233210623165	2.60787749679853e-24	1
ENSG00000187513.8	Stomach	0.191252779080396	1.44290177579351e-16	1
ENSG00000187815.9	Stomach	0.369224594607322	4.38130903876914e-34	1
ENSG00000187980.6	Stomach	0.121021567658608	1.19534048318046e-10	1
ENSG00000188004.9	Stomach	0.248579579541317	9.18633011766401e-22	1
ENSG00000188015.9	Stomach	0.229929966843362	4.94155481328861e-20	1
ENSG00000188396.3	Stomach	0.139122301425732	3.9229934747104e-12	1
ENSG00000188404.8	Stomach	0.139988540830067	3.32607515497497e-12	1
ENSG00000188770.9	Stomach	0.0944718977846537	1.61888723094094e-08	1
ENSG00000188786.9	Stomach	0.0719243742083528	9.64517401722025e-07	1
ENSG00000188910.7	Stomach	0.0527226728763688	3.00655881877432e-05	1
ENSG00000189280.3	Stomach	0.202759209638046	1.39628970116488e-17	1
ENSG00000189334.8	Stomach	0.225159505723318	1.3493188465842e-19	1
ENSG00000196449.3	Stomach	0.0562360943007539	1.60516867193371e-05	1
ENSG00000197747.8	Stomach	0.163015937554945	3.91198211897471e-14	1
ENSG00000197769.5	Stomach	0.0683998856565934	1.81737774085527e-06	1
ENSG00000197915.5	Stomach	0.39534286910434	4.67885071561241e-37	1
ENSG00000197956.9	Stomach	0.0666501585334757	2.48796915407638e-06	1
ENSG00000198574.5	Stomach	0.12511915456197	5.54460401937178e-11	1
ENSG00000198711.5	Stomach	0.0908091841738818	3.15901723941154e-08	1
ENSG00000198754.5	Stomach	0.242170571322255	3.65192480538733e-21	1
ENSG00000198815.8	Stomach	0.127591045033983	3.4831729106464e-11	1
ENSG00000198837.9	Stomach	0.174631933931546	3.98809912463925e-15	1
ENSG00000198890.7	Stomach	0.181273245849033	1.06666164200272e-15	1
ENSG00000198952.8	Stomach	0.269728326650768	8.90537474165928e-24	1
ENSG00000198976.1	Stomach	0.0602184441411093	7.8755342426943e-06	1
ENSG00000203356.2	Stomach	0.165172904545474	2.56576770818169e-14	1
ENSG00000203667.9	Stomach	0.210667080254735	2.75350363904958e-18	1
ENSG00000203685.9	Stomach	0.181573154897121	1.00475794203086e-15	1
ENSG00000203943.8	Stomach	0.108816640834654	1.15788071809484e-09	1
ENSG00000204060.6	Stomach	0.248323447398972	9.70935133117445e-22	1
ENSG00000204624.7	Stomach	0.221797147063644	2.72934185253774e-19	1
ENSG00000205090.8	Stomach	0.329853285999018	7.92839161015589e-30	1
ENSG00000212916.4	Stomach	0.350021428655062	5.62235469722093e-32	1
ENSG00000213057.5	Stomach	0.0667126525126053	2.46022791750311e-06	1
ENSG00000213064.9	Stomach	0.0626629147066669	5.08445153865683e-06	1
ENSG00000213085.9	Stomach	0.0510231249681353	4.07235999273054e-05	1
ENSG00000213171.2	Stomach	0.283184172720089	4.35443938252225e-25	1
ENSG00000213625.8	Stomach	0.198372029670231	3.41434297973625e-17	1
ENSG00000214114.8	Stomach	0.351654545813075	3.74128822477355e-32	1
ENSG00000214837.8	Stomach	0.384664903586551	7.94322022852074e-36	1
ENSG00000215790.6	Stomach	0.656006748238481	1.3275726697292e-76	1
ENSG00000218510.6	Stomach	0.569594568551046	6.65582066919707e-61	1
ENSG00000219073.7	Stomach	0.116114963038058	2.98733874743313e-10	1
ENSG00000222009.8	Stomach	0.126449550720009	4.31785914625599e-11	1
ENSG00000223382.4	Stomach	0.0416503638050651	0.000217034876826302	1
ENSG00000223396.2	Stomach	0.371950808349012	2.17358601772277e-34	1
ENSG00000223745.7	Stomach	0.554358645686252	1.82545735095766e-58	1
ENSG00000223764.2	Stomach	0.321571857583876	5.79926523173233e-29	1
ENSG00000223804.5	Stomach	0.297878164634264	1.5134234089707e-26	1
ENSG00000223823.1	Stomach	0.269017778336275	1.04282697515818e-23	1
ENSG00000223956.2	Stomach	0.0595792139738362	8.82968997306067e-06	1
ENSG00000224870.6	Stomach	0.164912584197657	2.69990075830914e-14	1
ENSG00000224950.2	Stomach	0.489558657653523	6.03485095954721e-49	1
ENSG00000225556.1	Stomach	0.218652235401187	5.26110314710905e-19	1
