gene	tissue	rsq	pval	chr
ENSG00000134249.6	Testis	0.0535955016988485	2.72606463140297e-05	1
ENSG00000185888.5	Testis	0.0454122116964188	0.000116464631081615	1
ENSG00000187080.8	Testis	0.251748627990955	6.19761956692453e-22	1
ENSG00000188784.4	Testis	0.0606012516966689	7.85103467778146e-06	1
ENSG00000189181.4	Testis	0.202438596213008	1.87490178034051e-17	1
ENSG00000221888.3	Testis	0.652491746448744	1.97443429412942e-75	1
ENSG00000225325.1	Testis	0.309784381318094	1.37437773661884e-27	1
ENSG00000226927.1	Testis	0.195798567111269	7.17995141218002e-17	1
ENSG00000228255.1	Testis	0.0995110856351677	7.16436372686913e-09	1
ENSG00000230768.7	Testis	0.263007113183648	5.36374809295369e-23	1
ENSG00000231510.1	Testis	0.0881932911318146	5.5947040579255e-08	1
ENSG00000231877.1	Testis	0.150088044594377	5.66699859225038e-13	1
ENSG00000233882.2	Testis	0.0774915869490142	3.84464419920014e-07	1
ENSG00000235021.1	Testis	0.31008428871752	1.28144647709938e-27	1
ENSG00000235303.1	Testis	0.24696688046791	1.73355970834464e-21	1
ENSG00000007968.6	Testis	0.195063846725393	8.32468958738777e-17	1
ENSG00000016602.9	Testis	0.237433917688477	1.32258180535414e-20	1
ENSG00000023572.8	Testis	0.182405151759071	1.04414564329367e-15	1
ENSG00000035687.9	Testis	0.253140246765678	4.58882670909838e-22	1
ENSG00000057468.6	Testis	0.213892028651115	1.80408379486206e-18	1
ENSG00000059588.9	Testis	0.658038139845646	1.49840587274094e-76	1
ENSG00000066557.5	Testis	0.171011648386786	9.86169053291105e-15	1
ENSG00000067704.9	Testis	0.0453146444600254	0.000118498650531674	1
ENSG00000076258.9	Testis	0.44824143728522	3.17305859878896e-43	1
ENSG00000076356.6	Testis	0.388722310587949	4.4696903250314e-36	1
ENSG00000077152.9	Testis	0.0688905857044706	1.79236484683117e-06	1
ENSG00000084073.8	Testis	0.0628631713224532	5.24943942451221e-06	1
ENSG00000097096.8	Testis	0.0520550190744437	3.58333627061882e-05	1
ENSG00000116251.9	Testis	0.124167462477669	7.5918834712489e-11	1
ENSG00000116649.9	Testis	0.109620282817387	1.12403646558324e-09	1
ENSG00000116661.9	Testis	0.24500770939898	2.63740519243115e-21	1
ENSG00000116704.7	Testis	0.142398064159689	2.45594051053767e-12	1
ENSG00000116711.9	Testis	0.089305480168372	4.57522009142561e-08	1
ENSG00000116721.9	Testis	0.172837899343082	6.89404884961631e-15	1
ENSG00000116726.4	Testis	0.178495021702716	2.26382805406144e-15	1
ENSG00000116741.7	Testis	0.124971225086472	6.53451317465751e-11	1
ENSG00000116745.6	Testis	0.1310747118643	2.08416298624931e-11	1
ENSG00000116752.5	Testis	0.142172406836889	2.56347972199032e-12	1
ENSG00000116771.5	Testis	0.50549002359981	7.30918684528228e-51	1
ENSG00000116819.6	Testis	0.114892673604927	4.25004900887151e-10	1
ENSG00000116954.7	Testis	0.0676710472498066	2.22824084793866e-06	1
ENSG00000116981.3	Testis	0.093053085288169	2.31995781268688e-08	1
ENSG00000117016.9	Testis	0.549598958241649	2.25842793406858e-57	1
ENSG00000117148.7	Testis	0.127337311529958	4.19927203612449e-11	1
ENSG00000117228.9	Testis	0.312911798845079	6.61302729086187e-28	1
ENSG00000117472.9	Testis	0.137564898801383	6.13646826486161e-12	1
ENSG00000117593.9	Testis	0.269928068278263	1.17039170618205e-23	1
ENSG00000117748.9	Testis	0.369788415090223	6.03394234951224e-34	1
ENSG00000118217.5	Testis	0.150240720797623	5.50373004321637e-13	1
ENSG00000118292.8	Testis	0.0941775952503128	1.89153284186116e-08	1
ENSG00000120333.4	Testis	0.150391491923727	5.34709086667685e-13	1
ENSG00000120937.8	Testis	0.290852233012356	1.07606645912721e-25	1
ENSG00000120952.4	Testis	0.568707780356569	2.15786390450135e-60	1
ENSG00000121454.5	Testis	0.240364935926592	7.09949437940533e-21	1
ENSG00000121634.5	Testis	0.207830820150989	6.25235424204846e-18	1
ENSG00000121769.7	Testis	0.108443657130334	1.39563001820754e-09	1
ENSG00000122180.4	Testis	0.149912382505588	5.86081468632754e-13	1
ENSG00000122420.9	Testis	0.0653262325262446	3.38504847136025e-06	1
ENSG00000123689.5	Testis	0.373350922212951	2.42458114474773e-34	1
ENSG00000127125.8	Testis	0.0614768156466685	6.718569365927e-06	1
ENSG00000127129.9	Testis	0.134979680562666	9.99650228761552e-12	1
ENSG00000130764.9	Testis	0.215142564202569	1.39443378039233e-18	1
ENSG00000130766.4	Testis	0.208219212608122	5.77527174088199e-18	1
ENSG00000131791.7	Testis	0.251817715964336	6.10591165542549e-22	1
ENSG00000132718.8	Testis	0.115851737157808	3.55911605822077e-10	1
ENSG00000134247.9	Testis	0.161629814581652	6.1342447474304e-14	1
ENSG00000134253.9	Testis	0.169426881684541	1.34466820755027e-14	1
ENSG00000134389.9	Testis	0.193631650960035	1.11031534549145e-16	1
ENSG00000135744.7	Testis	0.188850799366102	2.89382824350746e-16	1
ENSG00000135763.9	Testis	0.119371072982501	1.85356940382291e-10	1
ENSG00000135766.8	Testis	0.0685671416002314	1.89891202474536e-06	1
ENSG00000136634.5	Testis	0.0991265841064317	7.68486009151633e-09	1
ENSG00000137976.7	Testis	0.121247467585913	1.30786439699287e-10	1
ENSG00000142619.4	Testis	0.165799471927899	2.72876974450493e-14	1
ENSG00000142677.3	Testis	0.0662647956411296	2.8635132739728e-06	1
ENSG00000142686.7	Testis	0.218917088174659	6.39353828538487e-19	1
ENSG00000143006.7	Testis	0.19551526926907	7.6015225866304e-17	1
ENSG00000143028.8	Testis	0.752220303697129	5.76666487564114e-99	1
ENSG00000143032.7	Testis	0.395391936654347	7.66130589829194e-37	1
ENSG00000143067.4	Testis	0.356348680497408	1.79800666594342e-32	1
ENSG00000143105.7	Testis	0.109554135088763	1.13780267719895e-09	1
ENSG00000143107.8	Testis	0.493934425085512	2.9778806278665e-49	1
ENSG00000143125.5	Testis	0.190481374528427	2.08852422464765e-16	1
ENSG00000143126.7	Testis	0.175108567694445	4.41286960311524e-15	1
ENSG00000143162.7	Testis	0.435946843853681	1.09341842206411e-41	1
ENSG00000143278.3	Testis	0.208238501085226	5.75254584767485e-18	1
ENSG00000143320.8	Testis	0.19021583274912	2.20253529484952e-16	1
ENSG00000143333.6	Testis	0.0681051598944771	2.06213720048876e-06	1
ENSG00000143340.6	Testis	0.680853140990778	2.34617841235983e-81	1
ENSG00000143412.9	Testis	0.430800708742033	4.70348146196096e-41	1
ENSG00000143443.9	Testis	0.13822000022323	5.42159745521108e-12	1
ENSG00000143520.6	Testis	0.174759987832692	4.7260342955153e-15	1
ENSG00000143545.8	Testis	0.317168143713218	2.43068026218465e-28	1
ENSG00000143630.9	Testis	0.170116547718818	1.17500719581115e-14	1
ENSG00000143751.9	Testis	0.243871733102331	3.36228568226313e-21	1
ENSG00000143862.7	Testis	0.082980082137678	1.43328845360448e-07	1
ENSG00000154007.6	Testis	0.173089683346546	6.56166566958078e-15	1
ENSG00000154309.8	Testis	0.314984078235762	4.06539214587866e-28	1
