gene	tissue	rsq	pval	chr
ENSG00000232347.1	Uterus	0.138588258611274	1.3973948009338e-05	1
ENSG00000016602.9	Uterus	0.473897911252019	1.97526761263274e-19	1
ENSG00000023572.8	Uterus	0.130816069015245	2.53735153723389e-05	1
ENSG00000035687.9	Uterus	0.309040655862312	7.98322100569789e-12	1
ENSG00000057468.6	Uterus	0.512280815492077	1.54904818301866e-21	1
ENSG00000076356.6	Uterus	0.287704106478254	5.69736291606905e-11	1
ENSG00000077152.9	Uterus	0.387021341430699	3.57203445131893e-15	1
ENSG00000084073.8	Uterus	0.612137721894399	6.8339963448333e-28	1
ENSG00000116251.9	Uterus	0.464978853409742	5.79734997744068e-19	1
ENSG00000116273.5	Uterus	0.136598625902322	1.6285187269795e-05	1
ENSG00000116704.7	Uterus	0.325454059226758	1.69219003619306e-12	1
ENSG00000116741.7	Uterus	0.1101918043158	0.000121486177861765	1
ENSG00000116745.6	Uterus	0.359599921655365	5.95842222569601e-14	1
ENSG00000116771.5	Uterus	0.255227024966733	1.02307697411927e-09	1
ENSG00000116824.4	Uterus	0.391782734581912	2.16426586725576e-15	1
ENSG00000117000.8	Uterus	0.457136743921936	1.47262530528842e-18	1
ENSG00000117016.9	Uterus	0.570708184844075	4.44907517460469e-25	1
ENSG00000117228.9	Uterus	0.386947915763313	3.59963510595001e-15	1
ENSG00000117593.9	Uterus	0.269528539762934	2.9106657668708e-10	1
ENSG00000117614.9	Uterus	0.139881410293563	1.26489990143475e-05	1
ENSG00000117691.9	Uterus	0.109988572793546	0.000123362047371116	1
ENSG00000117748.9	Uterus	0.540624128472749	3.36976198606011e-23	1
ENSG00000118217.5	Uterus	0.71308625861017	3.07948825511497e-36	1
ENSG00000118292.8	Uterus	0.0808302395311843	0.00109337664241289	1
ENSG00000121454.5	Uterus	0.522360202741672	4.07430719576158e-22	1
ENSG00000122435.9	Uterus	0.0843685874508675	0.000840182774944074	1
ENSG00000130764.9	Uterus	0.109052144831266	0.000132383401200405	1
ENSG00000130766.4	Uterus	0.49586526833204	1.28781300420495e-20	1
ENSG00000132718.8	Uterus	0.108182064039882	0.000141350707323908	1
ENSG00000132855.4	Uterus	0.0961089107684372	0.000349803142218861	1
