gene	tissue	rsq	pval	chr
ENSG00000196734.8	Vagina	0.139318568063513	5.15089070896964e-06	1
ENSG00000049249.8	Vagina	0.0863200570529355	0.000406190277257902	1
ENSG00000066557.5	Vagina	0.508632368650807	3.35952107577774e-23	1
ENSG00000067704.9	Vagina	0.199865382463224	2.73871431097469e-08	1
ENSG00000076356.6	Vagina	0.108701768731224	6.54269130875458e-05	1
ENSG00000084628.9	Vagina	0.356634121429321	5.44479075288705e-15	1
ENSG00000090432.6	Vagina	0.410596040304507	1.15434404498533e-17	1
ENSG00000097096.8	Vagina	0.237491616424168	8.88056544491805e-10	1
ENSG00000116273.5	Vagina	0.595793983850429	3.97128235255072e-29	1
ENSG00000116711.9	Vagina	0.109018245781068	6.3748677730483e-05	1
ENSG00000116771.5	Vagina	0.16624526661314	5.21382225777905e-07	1
ENSG00000117016.9	Vagina	0.253981875330504	1.88238121534581e-10	1
ENSG00000117091.9	Vagina	0.138353880237189	5.58566230293722e-06	1
ENSG00000117472.9	Vagina	0.175404877712205	2.36001637230691e-07	1
ENSG00000117560.7	Vagina	0.156437842343951	1.20876503348733e-06	1
ENSG00000117592.8	Vagina	0.511517986929494	2.22486287443889e-23	1
ENSG00000117691.9	Vagina	0.241179963322349	6.29387442745307e-10	1
ENSG00000117748.9	Vagina	0.674841236602788	1.00974946547486e-35	1
ENSG00000118292.8	Vagina	0.119853366146332	2.60997770136672e-05	1
ENSG00000118655.4	Vagina	0.199031059590623	2.95022274692914e-08	1
ENSG00000120333.4	Vagina	0.132764878058943	8.92076090628085e-06	1
ENSG00000120337.8	Vagina	0.346595032686371	1.61916977711527e-14	1
ENSG00000120937.8	Vagina	0.097865644314317	0.000158798533089153	1
ENSG00000121454.5	Vagina	0.507721206026889	3.82450096941402e-23	1
ENSG00000121905.9	Vagina	0.110290582988827	5.74218860626369e-05	1
ENSG00000122420.9	Vagina	0.0998016751862521	0.00013558829743178	1
ENSG00000122484.8	Vagina	0.502670353744804	7.81260124127027e-23	1
ENSG00000123091.4	Vagina	0.611750050785492	2.38601823388878e-30	1
ENSG00000127125.8	Vagina	0.240725476753204	6.56717320456416e-10	1
ENSG00000130764.9	Vagina	0.427019058366986	1.58902171266061e-18	1
ENSG00000131233.9	Vagina	0.447455556591222	1.2447245604902e-19	1
