gene	tissue	rsq	pval	chr
ENSG00000000460.16	Whole_Blood	0.126802007448886	1.84129251898404e-21	1
ENSG00000001460.17	Whole_Blood	0.122792740236351	8.63833212300849e-21	1
ENSG00000006555.10	Whole_Blood	0.0355923135326285	8.7237306907914e-07	1
ENSG00000007341.18	Whole_Blood	0.0837007696190831	2.19615011469426e-14	1
ENSG00000008128.22	Whole_Blood	0.573121984910219	1.35285002480897e-125	1
ENSG00000009307.15	Whole_Blood	0.0247309692603986	4.34245192185655e-05	1
ENSG00000009780.15	Whole_Blood	0.0551313982535694	7.62546515346395e-10	1
ENSG00000009790.14	Whole_Blood	0.360413826298048	7.58811812398781e-67	1
ENSG00000010165.19	Whole_Blood	0.212073606661872	1.77818380441994e-36	1
ENSG00000011009.10	Whole_Blood	0.0512155852217294	3.14319895094619e-09	1
ENSG00000011021.21	Whole_Blood	0.368590169722663	1.02094242659648e-68	1
ENSG00000016602.9	Whole_Blood	0.0692306624678603	4.50997303831337e-12	1
ENSG00000020129.15	Whole_Blood	0.031073454700947	4.4265208870986e-06	1
ENSG00000021852.12	Whole_Blood	0.35319384066143	3.25663228344119e-65	1
ENSG00000023572.8	Whole_Blood	0.084682824730275	1.52638888781281e-14	1
ENSG00000023902.13	Whole_Blood	0.161619066335078	2.04770946715415e-27	1
ENSG00000023909.9	Whole_Blood	0.081542629671406	4.87962314160867e-14	1
ENSG00000034971.16	Whole_Blood	0.222588521215232	1.95352784835403e-38	1
ENSG00000037637.10	Whole_Blood	0.0481678715780378	9.44473008333817e-09	1
ENSG00000040487.12	Whole_Blood	0.290647628282767	8.79132651365624e-52	1
ENSG00000041988.15	Whole_Blood	0.117798896528192	5.87042931147267e-20	1
ENSG00000043514.15	Whole_Blood	0.396792311328624	2.31772483006744e-75	1
ENSG00000047410.13	Whole_Blood	0.0220771312716207	0.000113266020939055	1
ENSG00000048707.13	Whole_Blood	0.218957305899285	9.33903285178927e-38	1
ENSG00000049089.13	Whole_Blood	0.0519760330725996	2.38796566021562e-09	1
ENSG00000049239.12	Whole_Blood	0.216719919538942	2.44024395014064e-37	1
ENSG00000049245.12	Whole_Blood	0.257019021655494	4.88768021243562e-45	1
ENSG00000052723.11	Whole_Blood	0.0230024851254806	8.10545852894408e-05	1
ENSG00000053371.12	Whole_Blood	0.254450360936802	1.55554020113783e-44	1
ENSG00000053372.4	Whole_Blood	0.0969988853620187	1.54901316310337e-16	1
