gene	tissue	rsq	pval	chr
ENSG00000049249.8	Adipose_Subcutaneous	0.119341824008471	9.96321320197232e-18	1
ENSG00000067704.9	Adipose_Subcutaneous	0.0340694815886303	7.53323771849595e-06	1
ENSG00000076356.6	Adipose_Subcutaneous	0.0284645083034846	4.3650528753183e-05	1
ENSG00000116649.9	Adipose_Subcutaneous	0.0272634791091434	6.36460491415516e-05	1
ENSG00000117000.8	Adipose_Subcutaneous	0.0448660058975742	2.56094048921648e-07	1
ENSG00000117091.9	Adipose_Subcutaneous	0.0949338837776285	3.04645681960563e-14	1
ENSG00000127125.8	Adipose_Subcutaneous	0.07358530184406	2.93928526055538e-11	1
ENSG00000136634.5	Adipose_Subcutaneous	0.0276670992867289	5.60679496893575e-05	1
ENSG00000143125.5	Adipose_Subcutaneous	0.0251728753773605	0.000122814838490872	1
ENSG00000160803.7	Adipose_Subcutaneous	0.0861838469293104	5.17294112693157e-13	1
ENSG00000162526.6	Adipose_Subcutaneous	0.155037064869142	5.5044615452199e-23	1
ENSG00000162630.5	Adipose_Subcutaneous	0.0619189530632513	1.1951348721787e-09	1
ENSG00000169962.4	Adipose_Subcutaneous	0.258291595841274	1.75690711921164e-39	1
ENSG00000170075.8	Adipose_Subcutaneous	0.196123567803328	2.65117166147891e-29	1
ENSG00000172339.9	Adipose_Subcutaneous	0.0820897189523559	1.93172588287551e-12	1
ENSG00000180098.9	Adipose_Subcutaneous	0.0705935238932885	7.6250020929552e-11	1
ENSG00000181817.5	Adipose_Subcutaneous	0.142076360542503	4.71117907521285e-21	1
ENSG00000188786.9	Adipose_Subcutaneous	0.126493589024043	9.13895837881801e-19	1
ENSG00000189280.3	Adipose_Subcutaneous	0.0804433820938038	3.27698715205881e-12	1
ENSG00000198700.9	Adipose_Subcutaneous	0.0965218642061052	1.81770394393985e-14	1
ENSG00000198854.5	Adipose_Subcutaneous	0.0180144759573501	0.00118319590753101	1
ENSG00000203668.2	Adipose_Subcutaneous	0.471106735371551	3.96337305772695e-82	1
ENSG00000203782.5	Adipose_Subcutaneous	0.161922469244505	5.04368771893591e-24	1
ENSG00000223382.4	Adipose_Subcutaneous	0.20720818720122	4.63416080100364e-31	1
ENSG00000224051.6	Adipose_Subcutaneous	0.081109331834931	2.64647579191203e-12	1
ENSG00000228549.3	Adipose_Subcutaneous	0.231787004274498	4.81241579570948e-35	1
ENSG00000230415.1	Adipose_Subcutaneous	0.0241674903713528	0.000168560657742003	1
ENSG00000231346.5	Adipose_Subcutaneous	0.196046972295835	2.72584017164837e-29	1
ENSG00000231666.6	Adipose_Subcutaneous	0.0882736905699296	2.63549050407527e-13	1
ENSG00000233154.5	Adipose_Subcutaneous	0.0229263912396706	0.000249308357188584	1
ENSG00000237413.5	Adipose_Subcutaneous	0.124103582184342	2.03454560813767e-18	1
ENSG00000260360.1	Adipose_Subcutaneous	0.216080907518691	1.74565606172967e-32	1
ENSG00000260464.1	Adipose_Subcutaneous	0.0805172156728087	3.20027914923282e-12	1
ENSG00000261326.2	Adipose_Subcutaneous	0.0792010824244167	4.880479976886e-12	1
ENSG00000271576.1	Adipose_Subcutaneous	0.0234421189277536	0.000211869560026244	1
ENSG00000272088.1	Adipose_Subcutaneous	0.0247225076095859	0.000141523188646738	1
ENSG00000272645.3	Adipose_Subcutaneous	0.426458089100772	6.44301326694146e-72	1
ENSG00000007968.6	Adipose_Subcutaneous	0.0460323020907124	1.77651953931435e-07	1
ENSG00000023572.8	Adipose_Subcutaneous	0.0531739068454367	1.8852602612037e-08	1
ENSG00000027644.4	Adipose_Subcutaneous	0.11643978482005	2.61354621717617e-17	1
ENSG00000035687.9	Adipose_Subcutaneous	0.0655903934530182	3.73657964194841e-10	1
ENSG00000053372.4	Adipose_Subcutaneous	0.218807649730063	6.32686672534489e-33	1
ENSG00000059588.9	Adipose_Subcutaneous	0.0652835604913967	4.11834948594516e-10	1
ENSG00000067533.5	Adipose_Subcutaneous	0.29371951723898	1.15762656812125e-45	1
ENSG00000084073.8	Adipose_Subcutaneous	0.151267138221985	2.02140310413728e-22	1
ENSG00000084628.9	Adipose_Subcutaneous	0.0750960130054222	1.81476722198068e-11	1
ENSG00000090432.6	Adipose_Subcutaneous	0.444977508419233	4.71227365760635e-76	1
ENSG00000091483.6	Adipose_Subcutaneous	0.104167321642958	1.49633271428829e-15	1
ENSG00000116157.5	Adipose_Subcutaneous	0.581411555924258	1.39649489234061e-111	1
ENSG00000116652.6	Adipose_Subcutaneous	0.129522206170861	3.30527597955296e-19	1
ENSG00000116661.9	Adipose_Subcutaneous	0.143507464536844	2.89134946419923e-21	1
ENSG00000116704.7	Adipose_Subcutaneous	0.102934120645932	2.24125983912462e-15	1
ENSG00000116711.9	Adipose_Subcutaneous	0.161612315236494	5.6192283104933e-24	1
ENSG00000116741.7	Adipose_Subcutaneous	0.138943501309511	1.36817348269839e-20	1
ENSG00000116745.6	Adipose_Subcutaneous	0.100182591731722	5.51112439977002e-15	1
ENSG00000116752.5	Adipose_Subcutaneous	0.0451042890544112	2.37659071110532e-07	1
ENSG00000116771.5	Adipose_Subcutaneous	0.0239696473402475	0.000179404877552673	1
ENSG00000116824.4	Adipose_Subcutaneous	0.067638931494211	1.95058459559985e-10	1
ENSG00000116954.7	Adipose_Subcutaneous	0.0567099936930216	6.19052024782397e-09	1
ENSG00000117016.9	Adipose_Subcutaneous	0.0278805537836997	5.24329885783201e-05	1
ENSG00000117228.9	Adipose_Subcutaneous	0.0259582023349149	9.59282131052798e-05	1
ENSG00000117318.8	Adipose_Subcutaneous	0.124296977024134	1.90710557587397e-18	1
ENSG00000117472.9	Adipose_Subcutaneous	0.0670355354767014	2.36244918458477e-10	1
ENSG00000117507.6	Adipose_Subcutaneous	0.0728309988306614	3.73862847486101e-11	1
ENSG00000117592.8	Adipose_Subcutaneous	0.182526461566075	3.52859386874932e-27	1
ENSG00000117593.9	Adipose_Subcutaneous	0.0846480327493408	8.48450501630967e-13	1
ENSG00000117594.9	Adipose_Subcutaneous	0.0499406440185901	5.20969056062326e-08	1
ENSG00000117691.9	Adipose_Subcutaneous	0.0498326361268294	5.38947662498062e-08	1
ENSG00000117748.9	Adipose_Subcutaneous	0.582522124996063	6.46563020358673e-112	1
ENSG00000118217.5	Adipose_Subcutaneous	0.155472248618926	4.73530769053352e-23	1
ENSG00000118292.8	Adipose_Subcutaneous	0.306228873834401	6.42404935444248e-48	1
ENSG00000118655.4	Adipose_Subcutaneous	0.140108710639036	9.206944577372e-21	1
ENSG00000120333.4	Adipose_Subcutaneous	0.0955042304480725	2.5309445518078e-14	1
ENSG00000120337.8	Adipose_Subcutaneous	0.0876157688456499	3.25928948347958e-13	1
ENSG00000121454.5	Adipose_Subcutaneous	0.379432511888521	5.52144660731522e-62	1
ENSG00000121769.7	Adipose_Subcutaneous	0.174588029737928	5.91734339197841e-26	1
ENSG00000121905.9	Adipose_Subcutaneous	0.159348982206009	1.23491831971113e-23	1
ENSG00000122484.8	Adipose_Subcutaneous	0.114095487650385	5.68418389248939e-17	1
ENSG00000123685.8	Adipose_Subcutaneous	0.189659805613867	2.73838943590258e-28	1
ENSG00000127129.9	Adipose_Subcutaneous	0.0883040188964953	2.6097995821504e-13	1
ENSG00000131233.9	Adipose_Subcutaneous	0.159095716540282	1.34849500200062e-23	1
ENSG00000131791.7	Adipose_Subcutaneous	0.22816056645463	1.89607600129673e-34	1
ENSG00000132718.8	Adipose_Subcutaneous	0.030784936597501	2.10813803883189e-05	1
ENSG00000134198.9	Adipose_Subcutaneous	0.065432826406749	3.92799907678593e-10	1
ENSG00000134247.9	Adipose_Subcutaneous	0.0756625870498741	1.51430994564152e-11	1
ENSG00000134259.3	Adipose_Subcutaneous	0.241452803595523	1.20682555177721e-36	1
ENSG00000135766.8	Adipose_Subcutaneous	0.049432032130562	6.1121160517024e-08	1
ENSG00000135801.9	Adipose_Subcutaneous	0.0976745208986548	1.24888886782579e-14	1
ENSG00000135845.9	Adipose_Subcutaneous	0.228372495116883	1.75037208361416e-34	1
ENSG00000135862.5	Adipose_Subcutaneous	0.0830225590167689	1.43135503489762e-12	1
ENSG00000142677.3	Adipose_Subcutaneous	0.0927995808185883	6.09122932068286e-14	1
ENSG00000142686.7	Adipose_Subcutaneous	0.205206932253074	9.66099961619337e-31	1
ENSG00000142694.6	Adipose_Subcutaneous	0.0346770864626348	6.22795627047575e-06	1
ENSG00000142959.4	Adipose_Subcutaneous	0.0226961507089221	0.000268103626742579	1
ENSG00000143001.4	Adipose_Subcutaneous	0.218714471040511	6.55051469319364e-33	1
ENSG00000143028.8	Adipose_Subcutaneous	0.192903366577819	8.50379297436852e-29	1
ENSG00000143067.4	Adipose_Subcutaneous	0.129760291004108	3.05088798007783e-19	1
ENSG00000143126.7	Adipose_Subcutaneous	0.102648686944927	2.46079226299161e-15	1
ENSG00000143162.7	Adipose_Subcutaneous	0.241634365341009	1.12560575240185e-36	1
ENSG00000143184.4	Adipose_Subcutaneous	0.038382495282797	1.95201507855684e-06	1
ENSG00000143185.3	Adipose_Subcutaneous	0.108487078367601	3.62023420966663e-16	1
ENSG00000143196.4	Adipose_Subcutaneous	0.0995594414072481	6.75448258662733e-15	1
ENSG00000143217.8	Adipose_Subcutaneous	0.0719255377332776	4.98926538443641e-11	1
ENSG00000143256.4	Adipose_Subcutaneous	0.0696266274542098	1.03713167564297e-10	1
ENSG00000143320.8	Adipose_Subcutaneous	0.05633379280022	6.96991668936167e-09	1
ENSG00000143412.9	Adipose_Subcutaneous	0.087928371456802	2.94640801814388e-13	1
ENSG00000143443.9	Adipose_Subcutaneous	0.257031534179653	2.87879574391901e-39	1
ENSG00000143545.8	Adipose_Subcutaneous	0.0301937888780869	2.53740474435886e-05	1
ENSG00000143546.9	Adipose_Subcutaneous	0.140587121753542	7.82388877520936e-21	1
ENSG00000143552.9	Adipose_Subcutaneous	0.369538375146302	5.45128110051315e-60	1
ENSG00000143556.8	Adipose_Subcutaneous	0.0799127431141901	3.88496642276937e-12	1
ENSG00000143614.9	Adipose_Subcutaneous	0.0514017944456644	3.29159238827556e-08	1
ENSG00000143630.9	Adipose_Subcutaneous	0.0956303282105293	2.42927346341123e-14	1
